Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/06,3/23/06,82,2981.0,2980.6,-0.00013418316001344882
3/24/06,3/29/06,6,2980.8,2980.8,0.0
3/30/06,4/3/06,5,2981.0,2981.0,0.0
4/23/06,4/27/06,5,2982.8,2982.8,0.0
6/11/06,6/21/06,11,2988.8,2988.4,-0.00013383297644542656
6/26/06,11/9/06,137,2988.8,2981.6,-0.0024089935760172217
11/17/06,3/11/07,115,2982.4,2975.8,-0.002212982832617995
3/12/07,3/26/07,15,2976.0,2975.8,-6.72043010752077e-05
4/8/07,4/15/07,8,2976.8,2976.8,0.0
4/20/07,4/25/07,6,2977.2,2977.2,0.0
4/26/07,5/1/07,6,2977.4,2977.4,0.0
6/15/07,3/12/08,272,2983.0,2974.0,-0.0030170968823332216
3/13/08,4/21/08,40,2974.2,2974.0,-6.724497343817434e-05
4/22/08,5/1/08,10,2974.2,2974.2,0.0
6/5/08,6/10/08,6,2989.4,2989.2,-6.690305746981763e-05
7/6/08,8/31/08,57,2994.4,2989.2,-0.0017365749398878816
9/1/08,3/23/09,204,2989.4,2979.6,-0.0032782498160166527
3/24/09,4/15/09,23,2979.8,2979.6,-6.711859856375355e-05
4/16/09,4/21/09,6,2979.8,2979.8,0.0
7/5/09,4/24/10,294,2991.8,2979.6,-0.004077812688013996
5/6/10,5/12/10,7,2980.4,2980.4,0.0
5/13/10,5/18/10,6,2980.6,2980.6,0.0
7/9/10,3/11/11,246,2990.4,2983.0,-0.0024745853397539095
3/22/11,3/31/11,10,2985.0,2985.0,0.0
4/5/11,4/16/11,12,2985.6,2985.4,-6.698821007496588e-05
4/17/11,5/11/11,25,2985.6,2984.0,-0.0005359056806001839
7/15/11,4/19/12,280,3011.4,2980.6,-0.010227801022780163
4/20/12,4/24/12,5,2980.8,2980.8,0.0
5/4/12,5/10/12,7,2983.6,2983.6,0.0
7/4/12,11/2/12,122,2990.6,2985.4,-0.001738781515414906
11/3/12,11/8/12,6,2985.6,2985.6,0.0
11/9/12,11/15/12,7,2985.8,2985.6,-6.698372295541323e-05
11/16/12,11/29/12,14,2985.8,2985.8,0.0
11/30/12,4/3/13,125,2986.0,2983.0,-0.0010046885465505692
4/4/13,4/10/13,7,2983.2,2983.2,0.0
4/11/13,4/29/13,19,2983.4,2983.4,0.0
6/12/13,6/20/13,9,2992.0,2991.8,-6.684491978603546e-05
6/27/13,7/7/13,11,2992.4,2992.4,0.0
7/8/13,8/1/13,25,2992.6,2991.2,-0.00046782062420640616
8/2/13,3/9/14,220,2991.4,2980.0,-0.0038109246506652706
3/19/14,4/10/14,23,2982.4,2982.0,-0.00013412017167385024
4/14/14,4/23/14,10,2982.4,2982.4,0.0
5/31/14,6/11/14,12,2988.4,2987.2,-0.00040155267032534895
7/6/14,12/11/14,159,2993.4,2985.2,-0.0027393599251687955
12/15/14,1/25/15,42,2985.6,2985.0,-0.00020096463022504992
1/30/15,2/8/15,10,2986.0,2986.0,0.0
2/16/15,3/14/15,27,2986.8,2986.6,-6.696129637078909e-05
4/8/15,4/15/15,8,2989.2,2989.2,0.0
4/16/15,4/23/15,8,2989.4,2989.4,0.0
4/24/15,5/2/15,9,2989.6,2989.6,0.0
5/10/15,5/14/15,5,2990.2,2990.2,0.0
6/11/15,4/11/16,306,2993.0,2980.4,-0.00420982292014698
6/13/16,10/15/16,125,2987.6,2982.2,-0.0018074708796358586
10/24/16,10/29/16,6,2982.8,2982.8,0.0
11/5/16,2/17/17,105,2983.4,2980.4,-0.001005564121472146
2/25/17,3/14/17,18,2982.2,2982.2,0.0
4/30/17,5/5/17,6,2989.6,2989.6,0.0
5/27/17,5/31/17,5,2992.0,2992.0,0.0
6/9/17,6/13/17,5,2992.8,2992.8,0.0
6/14/17,11/25/17,165,2993.0,2984.0,-0.003007016371533578
11/27/17,3/19/18,113,2984.4,2981.4,-0.0010052271813429834
4/3/18,4/8/18,6,2983.4,2983.4,0.0
4/23/18,5/5/18,13,2988.8,2988.0,-0.00026766595289085313
5/28/18,6/18/18,22,2993.0,2992.0,-0.0003341129301703976
6/30/18,3/21/19,265,2996.0,2981.2,-0.004939919893190982
3/29/19,4/5/19,8,2984.0,2984.0,0.0
4/14/19,4/20/19,7,2984.8,2984.8,0.0
6/21/19,6/25/19,5,3001.0,3001.0,0.0
6/26/19,11/16/19,144,3001.2,2988.6,-0.0041983206717312775
11/17/19,12/23/19,37,2988.8,2988.0,-0.00026766595289085313
12/24/19,3/27/20,95,2988.2,2985.6,-0.0008700890167993807
3/28/20,4/1/20,5,2985.8,2985.8,0.0
4/2/20,4/11/20,10,2986.0,2986.0,0.0
4/12/20,4/16/20,5,2986.2,2986.2,0.0
4/17/20,4/21/20,5,2986.4,2986.4,0.0
5/7/20,5/14/20,8,2988.4,2988.2,-6.692544505430091e-05
6/7/20,6/28/20,22,2992.6,2992.2,-0.00013366303548756632
7/5/20,11/6/20,125,2993.6,2985.8,-0.002605558524852929
