Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/06,4/8/06,98,2981.0,2981.0,0.0
4/9/06,4/19/06,11,2982.0,2982.0,0.0
4/20/06,5/4/06,15,2983.0,2983.0,0.0
5/5/06,5/19/06,15,2984.0,2984.0,0.0
5/27/06,6/2/06,7,2987.0,2987.0,0.0
6/3/06,6/9/06,7,2988.0,2988.0,0.0
6/10/06,6/21/06,12,2989.0,2988.0,-0.00033456005352960856
6/22/06,4/3/07,286,2989.0,2976.0,-0.004349280695884911
4/4/07,5/1/07,28,2977.0,2977.0,0.0
5/2/07,5/9/07,8,2978.0,2978.0,0.0
5/10/07,5/14/07,5,2979.0,2979.0,0.0
5/15/07,5/21/07,7,2980.0,2980.0,0.0
5/22/07,6/1/07,11,2981.0,2981.0,0.0
6/2/07,6/9/07,8,2982.0,2982.0,0.0
6/10/07,5/3/08,329,2983.0,2974.0,-0.0030170968823332216
5/4/08,5/10/08,7,2975.0,2975.0,0.0
5/11/08,5/17/08,7,2976.0,2976.0,0.0
6/2/08,6/11/08,10,2989.0,2989.0,0.0
6/18/08,6/22/08,5,2992.0,2992.0,0.0
6/23/08,6/28/08,6,2993.0,2993.0,0.0
6/29/08,4/27/09,303,2994.0,2980.0,-0.004676018704074816
4/28/09,5/4/09,7,2981.0,2981.0,0.0
5/9/09,5/15/09,7,2983.0,2983.0,0.0
5/16/09,5/21/09,6,2984.0,2984.0,0.0
6/5/09,6/11/09,7,2989.0,2989.0,0.0
6/12/09,6/20/09,9,2990.0,2990.0,0.0
6/21/09,7/1/09,11,2991.0,2991.0,0.0
7/2/09,5/12/10,315,2992.0,2980.0,-0.004010695187165776
5/13/10,5/22/10,10,2981.0,2981.0,0.0
5/23/10,5/28/10,6,2982.0,2982.0,0.0
6/6/10,6/10/10,5,2985.0,2985.0,0.0
6/11/10,6/16/10,6,2986.0,2986.0,0.0
6/23/10,6/27/10,5,2989.0,2989.0,0.0
6/28/10,3/14/11,260,2990.0,2983.0,-0.0023411371237458192
