Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/18/97,1/25/97,8,1195.8,1195.6,-0.0001672520488376363
1/26/97,2/7/97,13,1195.8,1195.4,-0.00033450409767508244
2/8/97,2/21/97,14,1195.6,1195.6,0.0
3/31/97,4/4/97,5,1199.2,1199.2,0.0
4/12/97,4/18/97,7,1199.8,1199.6,-0.00016669444907488372
4/23/97,5/4/97,12,1200.0,1200.0,0.0
5/5/97,5/9/97,5,1200.2,1200.0,-0.00016663889351778492
5/10/97,6/5/97,27,1200.2,1200.0,-0.00016663889351778492
6/8/97,6/13/97,6,1200.4,1200.4,0.0
7/6/97,7/12/97,7,1203.0,1203.0,0.0
7/15/97,7/19/97,5,1203.4,1203.4,0.0
7/26/97,7/31/97,6,1203.6,1203.4,-0.00016616816217997516
8/10/97,8/15/97,6,1204.0,1204.0,0.0
8/16/97,8/23/97,8,1204.2,1204.2,0.0
8/24/97,8/30/97,7,1204.4,1204.4,0.0
8/31/97,9/5/97,6,1204.6,1204.2,-0.00033206043499905665
12/20/97,12/24/97,5,1214.2,1214.2,0.0
1/1/98,1/17/98,17,1214.8,1214.6,-0.00016463615409947769
1/18/98,2/14/98,28,1214.8,1214.0,-0.0006585446163977235
2/15/98,2/21/98,7,1214.2,1214.0,-0.00016471750947129424
2/24/98,2/28/98,5,1214.2,1214.0,-0.00016471750947129424
3/1/98,3/6/98,6,1214.2,1214.0,-0.00016471750947129424
3/7/98,3/20/98,14,1214.2,1213.8,-0.0003294350189425885
3/29/98,4/3/98,6,1214.4,1214.2,-0.00016469038208172387
4/4/98,4/24/98,21,1214.4,1212.8,-0.0013175230566536036
4/25/98,5/2/98,8,1213.0,1212.8,-0.00016488046166533016
5/3/98,5/30/98,28,1213.0,1211.4,-0.0013190436933222663
6/7/98,6/12/98,6,1211.8,1211.6,-0.00016504373659023393
6/13/98,6/19/98,7,1211.8,1211.6,-0.00016504373659023393
6/20/98,6/26/98,7,1211.8,1211.6,-0.00016504373659023393
6/27/98,7/21/98,25,1211.8,1211.6,-0.00016504373659023393
8/1/98,8/7/98,7,1212.6,1212.6,0.0
8/30/98,9/3/98,5,1214.4,1214.4,0.0
9/13/98,9/29/98,17,1215.8,1214.6,-0.0009870044415200242
10/10/98,10/17/98,8,1215.4,1215.2,-0.0001645548790522013
10/18/98,10/24/98,7,1215.4,1215.2,-0.0001645548790522013
10/31/98,12/24/98,55,1215.8,1212.6,-0.0026320118440533355
12/25/98,1/13/99,20,1212.8,1212.0,-0.0006596306068601209
1/24/99,2/14/99,22,1212.8,1212.8,0.0
2/15/99,2/19/99,5,1213.0,1213.0,0.0
2/20/99,2/25/99,6,1213.2,1213.0,-0.00016485328058032104
2/26/99,3/27/99,30,1213.2,1212.0,-0.0009891196834817388
3/28/99,5/13/99,47,1212.2,1207.4,-0.003959742616729875
5/14/99,5/30/99,17,1207.6,1207.2,-0.0003312355084463925
5/31/99,6/4/99,5,1207.4,1207.4,0.0
6/5/99,6/18/99,14,1207.6,1206.6,-0.0008280887711162638
6/19/99,6/26/99,8,1206.8,1206.4,-0.0003314550878354852
6/27/99,7/3/99,7,1206.6,1206.4,-0.00016575501408902545
7/4/99,7/15/99,12,1206.6,1206.4,-0.00016575501408902545
7/25/99,7/31/99,7,1207.2,1207.2,0.0
8/8/99,8/18/99,11,1207.8,1207.6,-0.0001655903295247934
8/23/99,8/27/99,5,1208.2,1208.2,0.0
9/5/99,9/9/99,5,1209.6,1209.6,0.0
9/25/99,9/30/99,6,1211.2,1211.2,0.0
10/9/99,10/13/99,5,1212.0,1212.0,0.0
10/16/99,11/6/99,22,1212.4,1212.0,-0.0003299241174530608
11/11/99,11/16/99,6,1212.4,1212.4,0.0
11/17/99,11/24/99,8,1212.6,1212.4,-0.0001649348507338101
11/25/99,12/11/99,17,1212.6,1212.6,0.0
12/31/99,1/8/00,9,1214.0,1214.0,0.0
1/9/00,2/3/00,26,1214.2,1214.2,0.0
2/4/00,5/4/00,91,1214.4,1208.4,-0.004940711462450592
5/7/00,9/6/00,123,1209.0,1196.2,-0.010587262200165388
9/10/00,10/6/00,27,1197.4,1196.6,-0.0006681142475364806
10/7/00,10/12/00,6,1196.8,1196.6,-0.00016711229946527863
10/13/00,10/30/00,18,1196.8,1196.4,-0.0003342245989303673
10/31/00,11/10/00,11,1196.6,1196.4,-0.0001671402306533663
11/11/00,11/23/00,13,1196.6,1196.4,-0.0001671402306533663
11/24/00,12/13/00,20,1196.6,1195.6,-0.0008357011532675915
12/14/00,12/22/00,9,1195.8,1195.8,0.0
12/23/00,12/30/00,8,1196.0,1196.0,0.0
12/31/00,1/13/01,14,1196.2,1196.0,-0.00016719612105002966
1/14/01,1/19/01,6,1196.2,1196.2,0.0
1/28/01,2/2/01,6,1197.2,1197.2,0.0
2/3/01,2/10/01,8,1197.4,1197.2,-0.00016702856188412015
2/11/01,3/10/01,28,1197.4,1196.0,-0.001169199933188651
3/11/01,7/8/01,120,1196.2,1182.4,-0.011536532352449384
7/9/01,8/3/01,26,1182.6,1180.4,-0.0018603077963807021
8/4/01,10/6/01,64,1180.6,1177.6,-0.0025410808063696427
10/13/01,10/19/01,7,1177.8,1177.8,0.0
10/20/01,11/3/01,15,1178.0,1178.0,0.0
11/4/01,11/8/01,5,1178.2,1178.0,-0.00016975046681382233
11/13/01,11/21/01,9,1178.4,1177.6,-0.0006788866259336235
11/22/01,12/8/01,17,1177.8,1177.2,-0.0005094243504838759
12/9/01,12/15/01,7,1177.4,1177.2,-0.00016986580601328815
12/22/01,12/29/01,8,1177.4,1177.2,-0.00016986580601328815
1/5/02,1/9/02,5,1177.6,1177.6,0.0
1/10/02,1/21/02,12,1177.8,1177.8,0.0
1/22/02,6/7/02,137,1178.0,1161.6,-0.01392190152801366
6/8/02,7/3/02,26,1161.8,1158.8,-0.0025822000344293337
7/8/02,7/17/02,10,1159.2,1158.4,-0.0006901311249136944
7/20/02,8/16/02,28,1158.6,1157.0,-0.0013809770412566108
8/17/02,10/25/02,70,1157.2,1154.8,-0.0020739716557207836
10/26/02,12/28/02,64,1155.0,1152.2,-0.0024242424242423848
12/29/02,1/3/03,6,1152.4,1152.2,-0.0001735508503992064
1/16/03,1/20/03,5,1153.0,1153.0,0.0
1/21/03,1/25/03,5,1153.2,1153.2,0.0
1/26/03,2/8/03,14,1153.4,1153.2,-0.00017340038148087867
2/9/03,2/13/03,5,1153.4,1153.4,0.0
2/22/03,2/26/03,5,1154.2,1154.2,0.0
2/27/03,3/5/03,7,1154.4,1154.4,0.0
3/6/03,5/25/03,81,1154.6,1145.4,-0.007968127490039684
5/26/03,6/4/03,10,1145.6,1144.6,-0.000872905027932961
6/5/03,6/20/03,16,1144.8,1143.6,-0.0010482180293501446
6/21/03,7/7/03,17,1143.8,1143.0,-0.0006994229760447233
7/8/03,7/25/03,18,1143.2,1142.2,-0.000874737578726382
7/26/03,8/1/03,7,1142.4,1142.0,-0.00035014005602248855
8/2/03,8/6/03,5,1142.2,1142.2,0.0
8/17/03,8/21/03,5,1142.8,1142.8,0.0
8/22/03,8/26/03,5,1143.0,1143.0,0.0
9/1/03,10/1/03,31,1143.4,1142.0,-0.0012244184012594813
10/6/03,11/27/03,53,1142.4,1139.4,-0.002626050420168067
11/28/03,12/13/03,16,1139.6,1139.2,-0.00035100035100023134
12/14/03,12/20/03,7,1139.4,1139.0,-0.0003510619624364498
12/21/03,12/30/03,10,1139.2,1139.0,-0.0001755617977528489
12/31/03,1/6/04,7,1139.2,1139.2,0.0
1/17/04,1/21/04,5,1140.2,1140.2,0.0
1/25/04,2/14/04,21,1140.6,1140.2,-0.0003506926179202732
2/15/04,2/28/04,14,1140.4,1140.0,-0.0003507541213610057
2/29/04,3/26/04,27,1140.2,1139.0,-0.0010524469391335251
3/27/04,7/26/04,122,1139.2,1125.8,-0.011762640449438281
7/27/04,8/5/04,10,1126.0,1125.8,-0.00017761989342810432
8/8/04,8/12/04,5,1126.2,1126.2,0.0
8/22/04,8/31/04,10,1127.0,1126.6,-0.0003549245785271437
9/1/04,9/25/04,25,1126.8,1126.0,-0.0007099751508696792
9/26/04,10/1/04,6,1126.2,1125.8,-0.000355176700408534
10/10/04,10/19/04,10,1126.4,1126.4,0.0
10/30/04,11/5/04,7,1127.4,1127.4,0.0
11/6/04,11/10/04,5,1127.6,1127.6,0.0
11/14/04,11/22/04,9,1128.0,1128.0,0.0
11/27/04,12/8/04,12,1130.4,1129.8,-0.000530785562632817
12/9/04,12/17/04,9,1130.0,1130.0,0.0
12/18/04,12/28/04,11,1130.2,1130.0,-0.0001769598301186033
3/27/05,4/1/05,6,1147.8,1147.6,-0.00017424638438756358
4/2/05,4/8/05,7,1147.8,1147.0,-0.0006969855375500562
4/10/05,5/5/05,26,1147.4,1143.8,-0.0031375283249086075
5/6/05,5/16/05,11,1144.0,1142.8,-0.0010489510489510886
5/17/05,6/25/05,40,1143.0,1140.8,-0.0019247594050744055
6/26/05,7/23/05,28,1141.0,1139.2,-0.001577563540753685
7/24/05,8/13/05,21,1139.4,1138.8,-0.0005265929436546747
8/15/05,8/19/05,5,1139.2,1139.2,0.0
8/22/05,8/29/05,8,1139.6,1139.4,-0.0001755001755000159
9/5/05,12/3/05,90,1140.0,1135.2,-0.004210526315789434
12/26/05,12/30/05,5,1137.4,1137.4,0.0
1/21/06,1/27/06,7,1139.4,1139.4,0.0
1/28/06,2/1/06,5,1139.6,1139.4,-0.0001755001755000159
2/12/06,2/17/06,6,1140.4,1140.4,0.0
2/26/06,3/20/06,23,1141.4,1139.8,-0.0014017872787805644
3/21/06,4/14/06,25,1140.0,1137.8,-0.0019298245614035486
4/15/06,6/5/06,52,1138.0,1130.6,-0.006502636203866512
6/6/06,7/31/06,56,1130.8,1126.4,-0.003891050583657467
8/4/06,8/12/06,9,1126.8,1126.4,-0.0003549875754347387
8/15/06,8/19/06,5,1126.8,1126.8,0.0
8/20/06,9/5/06,17,1127.0,1126.4,-0.0005323868677905137
9/6/06,10/7/06,32,1126.6,1125.2,-0.0012426770814839905
10/15/06,10/28/06,14,1126.0,1126.0,0.0
10/29/06,11/3/06,6,1126.2,1126.0,-0.000177588350204267
11/4/06,11/8/06,5,1126.2,1126.2,0.0
11/9/06,11/19/06,11,1126.4,1126.4,0.0
11/24/06,12/3/06,10,1126.8,1126.6,-0.00017749378771747025
12/13/06,12/17/06,5,1127.6,1127.6,0.0
12/18/06,12/22/06,5,1127.8,1127.6,-0.00017733640716443118
12/23/06,12/27/06,5,1127.8,1127.8,0.0
1/5/07,1/9/07,5,1128.4,1128.4,0.0
1/12/07,1/17/07,6,1128.8,1128.8,0.0
1/28/07,2/3/07,7,1129.6,1129.6,0.0
2/4/07,2/11/07,8,1129.8,1129.8,0.0
2/12/07,6/16/07,125,1130.0,1114.4,-0.013805309734513193
6/17/07,6/29/07,13,1114.6,1113.4,-0.0010766194150366214
6/30/07,7/7/07,8,1113.6,1113.0,-0.0005387931034481942
7/8/07,7/23/07,16,1113.2,1111.6,-0.0014372978799857496
7/24/07,7/30/07,7,1111.8,1111.4,-0.0003597769382981324
7/31/07,8/9/07,10,1111.6,1111.6,0.0
8/10/07,8/25/07,16,1111.8,1111.8,0.0
8/26/07,9/22/07,28,1112.0,1111.2,-0.0007194244604316138
9/23/07,10/4/07,12,1111.4,1110.8,-0.0005398596364946341
10/5/07,10/12/07,8,1111.0,1111.0,0.0
10/17/07,11/4/07,19,1111.4,1111.0,-0.00035990642432975607
11/5/07,11/9/07,5,1111.2,1111.0,-0.00017998560115194877
11/10/07,11/16/07,7,1111.2,1111.0,-0.00017998560115194877
11/17/07,11/29/07,13,1111.2,1111.0,-0.00017998560115194877
12/24/07,12/28/07,5,1114.4,1114.4,0.0
1/14/08,1/19/08,6,1115.8,1115.8,0.0
1/20/08,1/25/08,6,1116.0,1116.0,0.0
2/2/08,2/8/08,7,1116.8,1116.8,0.0
2/17/08,2/23/08,7,1117.4,1117.0,-0.00035797386790772413
2/24/08,2/28/08,5,1117.2,1116.8,-0.0003580379520229958
2/29/08,3/6/08,7,1117.0,1116.0,-0.0008952551477170994
3/10/08,6/13/08,96,1117.8,1105.8,-0.010735373054213635
6/14/08,7/5/08,22,1106.0,1104.6,-0.0012658227848102088
7/6/08,7/10/08,5,1104.8,1104.6,-0.00018102824040554442
7/11/08,7/18/08,8,1104.8,1104.8,0.0
7/20/08,8/2/08,14,1105.2,1104.4,-0.000723850886717295
8/3/08,8/7/08,5,1104.6,1104.6,0.0
8/11/08,8/16/08,6,1105.2,1105.2,0.0
8/19/08,9/7/08,20,1105.6,1104.8,-0.000723589001447137
9/13/08,9/20/08,8,1105.4,1105.2,-0.0001809299800977433
9/21/08,9/26/08,6,1105.4,1105.4,0.0
10/19/08,10/24/08,6,1107.8,1107.8,0.0
10/25/08,11/2/08,9,1108.0,1108.0,0.0
11/3/08,11/15/08,13,1108.2,1107.6,-0.0005414185165133878
11/16/08,11/22/08,7,1107.8,1107.4,-0.000361076006499245
11/23/08,12/2/08,10,1107.6,1107.2,-0.0003611412062115056
1/3/09,1/7/09,5,1111.4,1111.4,0.0
1/18/09,1/23/09,6,1112.4,1112.4,0.0
1/24/09,2/7/09,15,1112.6,1111.6,-0.0008987956138774044
2/8/09,2/18/09,11,1111.8,1111.2,-0.0005396654074473009
2/22/09,6/19/09,118,1111.8,1095.4,-0.014750854470228336
6/20/09,6/24/09,5,1095.6,1095.4,-0.00018254837531929364
6/25/09,7/18/09,24,1095.6,1094.6,-0.0009127418765972983
7/19/09,8/1/09,14,1094.8,1094.2,-0.0005480453050784701
8/2/09,8/11/09,10,1094.4,1094.0,-0.0003654970760234749
8/12/09,9/15/09,35,1094.2,1093.6,-0.0005483458234327696
9/16/09,10/1/09,16,1093.8,1093.6,-0.0001828487840556276
10/2/09,10/6/09,5,1093.8,1093.8,0.0
10/11/09,11/10/09,31,1094.2,1093.2,-0.0009139097057210748
11/13/09,12/3/09,21,1093.6,1093.4,-0.00018288222384767568
2/25/10,3/27/10,31,1103.4,1101.0,-0.0021750951604133503
3/28/10,5/22/10,56,1101.2,1095.4,-0.0052669814747547715
5/23/10,7/3/10,42,1095.6,1089.0,-0.006024096385542087
7/4/10,7/17/10,14,1089.2,1088.2,-0.000918105031215571
7/18/10,8/5/10,19,1088.4,1087.0,-0.0012862918044837292
