Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/3/97,1/13/97,11,1195.0,1195.0,0.0
1/14/97,2/7/97,25,1196.0,1195.0,-0.0008361204013377926
2/8/97,2/27/97,20,1196.0,1196.0,0.0
2/28/97,3/9/97,10,1197.0,1197.0,0.0
3/10/97,3/22/97,13,1198.0,1198.0,0.0
3/23/97,4/5/97,14,1199.0,1199.0,0.0
4/6/97,6/13/97,69,1200.0,1200.0,0.0
6/14/97,6/22/97,9,1201.0,1201.0,0.0
6/23/97,7/2/97,10,1202.0,1202.0,0.0
7/3/97,7/19/97,17,1203.0,1203.0,0.0
7/26/97,7/31/97,6,1204.0,1203.0,-0.0008305647840531562
8/1/97,8/30/97,30,1204.0,1204.0,0.0
8/31/97,9/15/97,16,1205.0,1204.0,-0.0008298755186721991
9/16/97,9/26/97,11,1205.0,1205.0,0.0
9/27/97,10/5/97,9,1206.0,1206.0,0.0
10/6/97,10/15/97,10,1207.0,1207.0,0.0
10/16/97,10/22/97,7,1208.0,1208.0,0.0
10/23/97,10/29/97,7,1209.0,1209.0,0.0
10/30/97,11/6/97,8,1210.0,1210.0,0.0
11/7/97,11/15/97,9,1211.0,1211.0,0.0
11/16/97,11/27/97,12,1212.0,1212.0,0.0
11/28/97,12/12/97,15,1213.0,1213.0,0.0
12/13/97,12/27/97,15,1214.0,1214.0,0.0
12/28/97,5/30/98,154,1215.0,1211.0,-0.0032921810699588477
6/3/98,7/31/98,59,1212.0,1212.0,0.0
8/1/98,8/19/98,19,1213.0,1213.0,0.0
8/20/98,9/3/98,15,1214.0,1214.0,0.0
9/4/98,9/11/98,8,1215.0,1215.0,0.0
9/12/98,10/27/98,46,1216.0,1215.0,-0.0008223684210526315
10/28/98,1/20/99,85,1216.0,1212.0,-0.003289473684210526
1/21/99,5/13/99,113,1213.0,1207.0,-0.00494641384995878
5/14/99,6/4/99,22,1208.0,1207.0,-0.0008278145695364238
6/5/99,6/26/99,22,1208.0,1206.0,-0.0016556291390728477
6/27/99,7/3/99,7,1207.0,1206.0,-0.0008285004142502071
7/4/99,7/15/99,12,1207.0,1206.0,-0.0008285004142502071
7/16/99,8/4/99,20,1207.0,1207.0,0.0
8/5/99,8/28/99,24,1208.0,1208.0,0.0
8/29/99,9/4/99,7,1209.0,1209.0,0.0
9/5/99,9/17/99,13,1210.0,1210.0,0.0
9/18/99,10/2/99,15,1211.0,1211.0,0.0
10/3/99,11/16/99,45,1212.0,1212.0,0.0
11/17/99,11/24/99,8,1213.0,1212.0,-0.0008244023083264633
11/25/99,12/24/99,30,1213.0,1213.0,0.0
12/25/99,5/4/00,132,1214.0,1208.0,-0.004942339373970346
5/5/00,9/7/00,126,1209.0,1196.0,-0.010752688172043012
9/8/00,10/30/00,53,1197.0,1196.0,-0.000835421888053467
10/31/00,11/10/00,11,1197.0,1196.0,-0.000835421888053467
11/11/00,11/23/00,13,1197.0,1196.0,-0.000835421888053467
11/24/00,1/20/01,58,1197.0,1196.0,-0.000835421888053467
1/21/01,7/8/01,169,1197.0,1182.0,-0.012531328320802004
7/9/01,8/3/01,26,1183.0,1180.0,-0.00253592561284869
8/4/01,1/4/02,154,1181.0,1177.0,-0.003386960203217612
1/5/02,7/17/02,194,1178.0,1158.0,-0.01697792869269949
7/20/02,1/5/03,170,1159.0,1152.0,-0.0060396893874029335
1/10/03,2/13/03,35,1153.0,1153.0,0.0
2/14/03,3/5/03,20,1154.0,1154.0,0.0
3/6/03,5/25/03,81,1155.0,1145.0,-0.008658008658008658
5/26/03,8/14/03,81,1146.0,1142.0,-0.0034904013961605585
8/15/03,11/27/03,105,1143.0,1139.0,-0.003499562554680665
11/28/03,1/9/04,43,1140.0,1139.0,-0.0008771929824561404
1/10/04,1/24/04,15,1140.0,1140.0,0.0
1/25/04,8/14/04,203,1141.0,1126.0,-0.013146362839614373
8/15/04,10/19/04,66,1127.0,1126.0,-0.0008873114463176575
10/20/04,11/5/04,17,1127.0,1127.0,0.0
11/6/04,11/23/04,18,1128.0,1128.0,0.0
11/25/04,1/6/05,43,1130.0,1130.0,0.0
1/18/05,1/22/05,5,1135.0,1135.0,0.0
1/23/05,1/27/05,5,1136.0,1136.0,0.0
1/28/05,2/1/05,5,1137.0,1137.0,0.0
2/2/05,2/9/05,8,1138.0,1138.0,0.0
2/10/05,2/15/05,6,1139.0,1139.0,0.0
3/6/05,3/11/05,6,1145.0,1145.0,0.0
3/12/05,3/16/05,5,1146.0,1146.0,0.0
3/17/05,3/23/05,7,1147.0,1147.0,0.0
3/24/05,8/21/05,151,1148.0,1139.0,-0.0078397212543554
8/22/05,8/29/05,8,1140.0,1139.0,-0.0008771929824561404
8/30/05,12/6/05,99,1140.0,1135.0,-0.0043859649122807015
12/7/05,12/18/05,12,1136.0,1136.0,0.0
12/19/05,12/30/05,12,1137.0,1137.0,0.0
12/31/05,1/12/06,13,1138.0,1138.0,0.0
1/13/06,1/27/06,15,1139.0,1139.0,0.0
1/28/06,2/1/06,5,1140.0,1139.0,-0.0008771929824561404
2/2/06,2/17/06,16,1140.0,1140.0,0.0
2/18/06,7/31/06,164,1141.0,1126.0,-0.013146362839614373
8/1/06,8/12/06,12,1127.0,1126.0,-0.0008873114463176575
8/13/06,9/5/06,24,1127.0,1126.0,-0.0008873114463176575
9/6/06,10/8/06,33,1127.0,1125.0,-0.001774622892635315
10/11/06,11/19/06,40,1126.0,1126.0,0.0
11/20/06,12/12/06,23,1127.0,1127.0,0.0
12/13/06,1/9/07,28,1128.0,1128.0,0.0
1/10/07,1/27/07,18,1129.0,1129.0,0.0
1/28/07,6/16/07,140,1130.0,1114.0,-0.01415929203539823
6/17/07,6/29/07,13,1115.0,1113.0,-0.0017937219730941704
6/30/07,7/30/07,31,1114.0,1111.0,-0.0026929982046678637
7/31/07,12/2/07,125,1112.0,1111.0,-0.0008992805755395684
12/3/07,12/11/07,9,1112.0,1112.0,0.0
12/12/07,12/16/07,5,1113.0,1113.0,0.0
12/17/07,12/28/07,12,1114.0,1114.0,0.0
12/29/07,1/10/08,13,1115.0,1115.0,0.0
1/11/08,1/31/08,21,1116.0,1116.0,0.0
2/1/08,3/7/08,36,1117.0,1116.0,-0.0008952551477170994
3/10/08,8/2/08,146,1118.0,1104.0,-0.012522361359570662
8/3/08,8/18/08,16,1105.0,1105.0,0.0
8/19/08,9/26/08,39,1106.0,1105.0,-0.0009041591320072332
9/27/08,10/6/08,10,1106.0,1106.0,0.0
10/7/08,10/14/08,8,1107.0,1107.0,0.0
10/15/08,11/22/08,39,1108.0,1107.0,-0.0009025270758122744
11/23/08,12/4/08,12,1108.0,1107.0,-0.0009025270758122744
12/5/08,12/12/08,8,1108.0,1108.0,0.0
12/13/08,12/19/08,7,1109.0,1109.0,0.0
12/20/08,12/26/08,7,1110.0,1110.0,0.0
12/27/08,1/7/09,12,1111.0,1111.0,0.0
1/8/09,1/23/09,16,1112.0,1112.0,0.0
1/24/09,2/19/09,27,1113.0,1111.0,-0.0017969451931716084
2/20/09,6/19/09,120,1112.0,1095.0,-0.015287769784172662
6/20/09,6/24/09,5,1096.0,1095.0,-0.0009124087591240876
6/25/09,11/12/09,141,1096.0,1093.0,-0.002737226277372263
11/13/09,12/3/09,21,1094.0,1093.0,-0.0009140767824497258
12/4/09,12/14/09,11,1094.0,1094.0,0.0
12/15/09,12/23/09,9,1095.0,1095.0,0.0
12/24/09,1/3/10,11,1096.0,1096.0,0.0
1/4/10,1/15/10,12,1097.0,1097.0,0.0
1/16/10,1/23/10,8,1098.0,1098.0,0.0
1/24/10,1/28/10,5,1099.0,1099.0,0.0
1/29/10,2/3/10,6,1100.0,1100.0,0.0
2/4/10,2/10/10,7,1101.0,1101.0,0.0
2/11/10,2/15/10,5,1102.0,1102.0,0.0
2/16/10,5/22/10,96,1103.0,1095.0,-0.007252946509519492
5/23/10,8/12/10,82,1096.0,1087.0,-0.008211678832116789
8/13/10,12/5/10,115,1088.0,1082.0,-0.0055147058823529415
12/6/10,12/11/10,6,1083.0,1083.0,0.0
12/14/10,12/21/10,8,1084.0,1084.0,0.0
12/24/10,1/5/11,13,1086.0,1086.0,0.0
1/6/11,1/12/11,7,1087.0,1087.0,0.0
1/24/11,1/28/11,5,1091.0,1091.0,0.0
1/29/11,2/5/11,8,1092.0,1092.0,0.0
2/6/11,2/10/11,5,1093.0,1093.0,0.0
