Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/3/97,1/12/97,10,639.2,638.8,-0.0006257822277848732
1/24/97,1/29/97,6,641.4,641.2,-0.0003118178983472588
2/10/97,2/17/97,8,642.2,641.8,-0.0006228589224542057
3/4/97,3/10/97,7,642.8,642.8,0.0
3/24/97,3/28/97,5,644.0,643.8,-0.0003105590062112507
3/31/97,4/6/97,7,644.0,643.4,-0.0009316770186335757
4/18/97,4/29/97,12,644.6,643.4,-0.0018616196090599525
5/2/97,5/7/97,6,644.0,643.4,-0.0009316770186335757
5/13/97,5/19/97,7,643.8,643.4,-0.0006213109661385171
5/20/97,5/24/97,5,643.6,643.4,-0.00031075201988819994
5/30/97,6/8/97,10,645.0,643.4,-0.002480620155038795
6/20/97,7/2/97,13,644.8,643.2,-0.0024813895781636308
7/9/97,7/17/97,9,643.4,641.4,-0.003108486167236556
7/31/97,8/6/97,7,642.8,642.0,-0.001244555071561846
8/7/97,8/11/97,5,642.2,641.0,-0.0018685767673622632
8/22/97,8/27/97,6,641.8,640.8,-0.0015581177937052041
8/28/97,9/4/97,8,641.0,640.4,-0.0009360374414976954
9/10/97,9/14/97,5,641.2,640.8,-0.0006238303181536041
9/16/97,9/21/97,6,641.4,640.0,-0.002182725288431521
10/2/97,10/14/97,13,642.8,639.8,-0.004667081518357188
10/15/97,11/3/97,20,640.0,634.4,-0.008750000000000036
11/5/97,11/10/97,6,634.8,634.0,-0.0012602394454945725
11/20/97,11/24/97,5,635.2,634.8,-0.0006297229219145008
11/25/97,11/29/97,5,635.2,634.4,-0.0012594458438288227
12/30/97,1/4/98,6,643.2,642.2,-0.0015547263681592038
1/12/98,1/19/98,8,644.4,643.2,-0.001862197392923544
1/20/98,2/5/98,17,643.4,642.0,-0.002175940317065554
2/10/98,2/16/98,7,642.6,641.6,-0.001556178026766262
2/23/98,2/27/98,5,641.6,641.2,-0.0006234413965086927
3/19/98,3/23/98,5,642.4,641.4,-0.0015566625155666253
3/26/98,3/30/98,5,641.6,641.0,-0.0009351620947631277
4/22/98,4/26/98,5,644.8,643.0,-0.002791563275434173
4/30/98,5/10/98,11,644.0,641.0,-0.004658385093167702
6/5/98,6/9/98,5,644.6,643.4,-0.0018616196090599525
6/16/98,6/22/98,7,644.4,642.6,-0.0027932960893854043
6/29/98,7/4/98,6,643.0,642.0,-0.0015552099533437014
7/10/98,7/15/98,6,643.4,642.6,-0.0012433944668945518
7/21/98,7/26/98,6,643.6,643.0,-0.0009322560596644232
7/27/98,8/2/98,7,643.2,642.0,-0.0018656716417911154
8/6/98,8/10/98,5,643.0,642.0,-0.0015552099533437014
8/13/98,8/19/98,7,643.0,642.0,-0.0015552099533437014
9/3/98,9/14/98,12,643.8,638.8,-0.007766387076731905
9/28/98,10/5/98,8,644.8,642.8,-0.003101736972704715
10/6/98,10/12/98,7,643.0,642.2,-0.0012441679626748903
10/22/98,10/28/98,7,644.0,642.0,-0.003105590062111801
11/6/98,11/10/98,5,641.4,640.8,-0.0009354536950421309
11/12/98,11/17/98,6,641.2,640.0,-0.0018714909544604575
11/18/98,11/22/98,5,640.4,639.4,-0.0015615240474703312
11/29/98,12/6/98,8,639.8,638.0,-0.0028133791809939897
12/11/98,12/16/98,6,638.6,636.8,-0.002818665831506527
12/23/98,12/29/98,7,639.0,635.6,-0.005320813771517961
1/8/99,1/14/99,7,640.4,639.8,-0.0009369144284822341
2/11/99,2/21/99,11,645.2,643.4,-0.002789832610043503
2/22/99,2/28/99,7,643.6,642.2,-0.0021752641392168695
3/11/99,3/15/99,5,644.2,643.8,-0.00062092517851613
3/16/99,3/24/99,9,644.2,642.4,-0.0027941633033220555
4/21/99,4/25/99,5,643.4,641.8,-0.00248678893378928
4/27/99,5/2/99,6,642.4,641.0,-0.0021793275217932397
5/28/99,6/6/99,10,644.8,642.2,-0.004032258064515988
6/18/99,6/24/99,7,643.8,643.0,-0.0012426219322770342
6/25/99,7/5/99,11,643.4,641.2,-0.0034193347839601056
7/16/99,7/22/99,7,644.2,643.4,-0.0012418503570320834
7/23/99,7/28/99,6,643.6,642.2,-0.0021752641392168695
8/4/99,8/10/99,7,643.2,642.0,-0.0018656716417911154
8/26/99,9/6/99,12,644.6,641.6,-0.004654049022649705
9/7/99,9/12/99,6,641.8,640.6,-0.0018697413524461387
9/13/99,9/21/99,9,640.8,637.8,-0.0046816479400749065
9/22/99,10/4/99,13,638.0,635.4,-0.004075235109717904
10/5/99,10/19/99,15,635.6,629.0,-0.010383889238514825
11/9/99,11/14/99,6,633.6,632.4,-0.0018939393939394655
11/23/99,11/27/99,5,634.4,633.0,-0.0022068095838587284
12/28/99,1/2/00,6,639.6,638.6,-0.0015634771732332708
1/7/00,1/11/00,5,639.6,639.2,-0.0006253908692932728
1/31/00,2/7/00,8,642.6,642.0,-0.0009337068160597926
2/14/00,2/23/00,10,641.8,640.6,-0.0018697413524461387
3/8/00,3/13/00,6,643.4,642.2,-0.0018650917003418274
3/17/00,3/26/00,10,642.6,641.0,-0.0024898848428260545
4/11/00,4/18/00,8,642.6,641.2,-0.0021786492374727315
5/11/00,5/15/00,5,644.0,643.4,-0.0009316770186335757
6/5/00,6/11/00,7,645.4,643.6,-0.00278896808180966
6/15/00,6/20/00,6,645.0,643.6,-0.0021705426356588794
6/21/00,6/25/00,5,644.0,643.0,-0.0015527950310559005
6/28/00,7/4/00,7,643.8,641.2,-0.004038521279900449
7/8/00,7/13/00,6,642.6,642.6,0.0
7/25/00,7/30/00,6,642.4,641.8,-0.0009339975093400105
