Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/4/97,2/14/97,42,2062.8,2062.4,-0.00019391118867563065
2/15/97,3/11/97,25,2062.6,2062.0,-0.0002908949869096815
3/24/97,4/17/97,25,2082.2,2065.0,-0.00826049370857738
4/21/97,5/4/97,14,2067.6,2064.8,-0.0013542271232345362
5/7/97,6/17/97,42,2065.2,2065.0,-9.684292078240274e-05
6/18/97,6/30/97,13,2065.2,2065.0,-9.684292078240274e-05
7/5/97,7/17/97,13,2065.6,2065.2,-0.00019364833462436626
7/19/97,8/18/97,31,2066.0,2064.2,-0.0008712487899323242
8/19/97,3/25/98,219,2064.4,2061.8,-0.0012594458438286713
4/12/98,6/17/98,67,2065.4,2064.2,-0.0005810012588361929
6/22/98,7/8/98,17,2066.4,2064.6,-0.0008710801393729103
7/9/98,7/31/98,23,2064.8,2063.0,-0.0008717551336692085
8/1/98,8/17/98,17,2063.2,2062.6,-0.00029081039162461665
8/22/98,9/12/98,22,2067.2,2064.0,-0.0015479876160989833
9/13/98,9/17/98,5,2064.2,2063.8,-0.00019377967251217723
9/18/98,10/4/98,17,2064.0,2063.2,-0.00038759689922489434
10/6/98,11/3/98,29,2063.6,2063.4,-9.691800736568042e-05
11/4/98,11/12/98,9,2063.6,2063.6,0.0
11/13/98,11/20/98,8,2063.8,2063.8,0.0
11/21/98,11/25/98,5,2064.0,2064.0,0.0
11/29/98,12/3/98,5,2064.4,2064.4,0.0
12/4/98,12/15/98,12,2064.6,2064.2,-0.00019374212922604426
12/16/98,2/7/99,54,2064.4,2063.0,-0.0006781631466770446
2/8/99,2/21/99,14,2063.6,2063.6,0.0
3/3/99,3/14/99,12,2069.0,2065.6,-0.0016433059449009622
3/19/99,3/29/99,11,2067.2,2064.8,-0.0011609907120741275
3/30/99,4/7/99,9,2065.0,2064.8,-9.685230024204267e-05
4/9/99,4/18/99,10,2065.2,2064.8,-0.00019368584156480547
4/19/99,5/2/99,14,2065.0,2064.6,-0.00019370460048430554
5/14/99,5/18/99,5,2065.6,2065.4,-9.682416731207306e-05
5/19/99,5/29/99,11,2065.6,2064.2,-0.0006777691711851719
6/3/99,6/7/99,5,2064.4,2064.4,0.0
6/8/99,7/18/99,41,2064.6,2064.0,-0.00029061319383895623
7/19/99,7/28/99,10,2064.2,2063.4,-0.00038755934502457477
7/29/99,8/11/99,14,2063.6,2062.6,-0.00048459003682884284
8/19/99,9/2/99,15,2063.2,2062.6,-0.00029081039162461665
9/3/99,2/23/00,174,2062.8,2061.2,-0.0007756447547025226
3/8/00,3/12/00,5,2062.4,2062.4,0.0
3/13/00,3/17/00,5,2062.6,2062.6,0.0
3/18/00,3/25/00,8,2062.8,2062.8,0.0
3/26/00,4/4/00,10,2063.0,2063.0,0.0
4/7/00,4/21/00,15,2063.2,2063.2,0.0
4/26/00,5/6/00,11,2063.6,2063.6,0.0
5/7/00,5/13/00,7,2063.8,2063.8,0.0
5/14/00,6/12/00,30,2064.0,2063.6,-0.00019379844961244717
6/15/00,10/2/00,110,2063.8,2060.8,-0.001453629227638337
10/3/00,10/17/00,15,2061.0,2060.8,-9.704027171267254e-05
10/18/00,10/24/00,7,2061.0,2060.8,-9.704027171267254e-05
10/25/00,11/1/00,8,2061.0,2061.0,0.0
11/2/00,3/5/01,124,2061.2,2059.6,-0.0007762468464971421
3/17/01,4/5/01,20,2068.0,2064.4,-0.0017408123791102074
4/12/01,6/12/01,62,2066.2,2063.8,-0.0011615526086533909
6/18/01,7/18/01,31,2067.0,2064.2,-0.0013546202225448388
7/19/01,7/25/01,7,2064.4,2064.0,-0.00019376089905061565
7/30/01,10/8/01,71,2066.4,2061.2,-0.002516453735966063
10/9/01,10/22/01,14,2061.4,2061.0,-0.00019404288347729258
10/23/01,10/30/01,8,2061.2,2061.0,-9.703085581206002e-05
10/31/01,11/12/01,13,2061.2,2061.0,-9.703085581206002e-05
11/13/01,3/18/02,126,2061.2,2059.8,-0.0006792159906848615
3/19/02,3/26/02,8,2060.0,2059.8,-9.70873786406884e-05
3/27/02,4/2/02,7,2060.0,2060.0,0.0
4/12/02,4/17/02,6,2060.8,2060.8,0.0
4/24/02,4/29/02,6,2061.4,2061.4,0.0
4/30/02,5/6/02,7,2061.6,2061.6,0.0
5/7/02,5/13/02,7,2061.8,2061.8,0.0
5/14/02,6/10/02,28,2062.0,2060.8,-0.0005819592628515122
6/19/02,6/27/02,9,2063.8,2063.4,-0.00019381723035182232
6/28/02,8/6/02,40,2063.6,2061.0,-0.0012599340957549473
8/7/02,8/15/02,9,2061.2,2060.4,-0.00038812342324846073
8/16/02,10/6/02,52,2060.6,2059.6,-0.00048529554498689704
10/10/02,10/23/02,14,2059.8,2059.8,0.0
10/24/02,11/12/02,20,2060.0,2060.0,0.0
11/13/02,12/3/02,21,2060.2,2060.2,0.0
12/4/02,12/20/02,17,2060.4,2060.4,0.0
12/21/02,2/9/03,51,2060.6,2060.6,0.0
2/10/03,3/14/03,33,2060.8,2060.8,0.0
3/20/03,4/15/03,27,2070.4,2065.0,-0.002608191653786752
4/16/03,5/4/03,19,2065.2,2064.8,-0.00019368584156480547
5/8/03,5/15/03,8,2065.0,2065.0,0.0
5/16/03,6/14/03,30,2065.2,2064.8,-0.00019368584156480547
6/15/03,7/15/03,31,2065.0,2063.8,-0.0005811138014526964
7/16/03,9/9/03,56,2064.0,2060.6,-0.0016472868217054704
9/10/03,10/1/03,22,2060.8,2060.6,-9.704968944112618e-05
10/2/03,10/6/03,5,2060.8,2060.6,-9.704968944112618e-05
10/7/03,10/22/03,16,2060.8,2060.6,-9.704968944112618e-05
