Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/97,2/14/97,45,2063.0,2062.0,-0.0004847309743092584
2/15/97,3/12/97,26,2063.0,2062.0,-0.0004847309743092584
3/24/97,4/17/97,25,2082.0,2065.0,-0.008165225744476465
4/21/97,7/4/97,75,2068.0,2065.0,-0.0014506769825918763
7/5/97,7/17/97,13,2066.0,2065.0,-0.000484027105517909
7/18/97,3/26/98,252,2066.0,2062.0,-0.001936108422071636
3/31/98,4/4/98,5,2064.0,2064.0,0.0
4/5/98,6/19/98,76,2065.0,2064.0,-0.00048426150121065375
6/21/98,8/18/98,59,2066.0,2063.0,-0.001452081316553727
8/22/98,10/5/98,45,2067.0,2063.0,-0.0019351717464925011
10/6/98,11/3/98,29,2064.0,2063.0,-0.00048449612403100775
11/4/98,12/3/98,30,2064.0,2064.0,0.0
12/4/98,2/7/99,66,2065.0,2063.0,-0.0009685230024213075
2/8/99,2/26/99,19,2064.0,2064.0,0.0
3/2/99,3/16/99,15,2069.0,2066.0,-0.0014499758337361043
3/17/99,5/13/99,58,2067.0,2065.0,-0.0009675858732462506
5/14/99,5/18/99,5,2066.0,2065.0,-0.000484027105517909
5/19/99,6/7/99,20,2066.0,2064.0,-0.000968054211035818
6/8/99,7/28/99,51,2065.0,2063.0,-0.0009685230024213075
7/29/99,2/27/00,214,2064.0,2061.0,-0.0014534883720930232
2/28/00,3/12/00,14,2062.0,2062.0,0.0
3/13/00,4/25/00,44,2063.0,2063.0,0.0
4/26/00,3/8/01,317,2064.0,2060.0,-0.001937984496124031
3/16/01,4/5/01,21,2068.0,2064.0,-0.0019342359767891683
4/10/01,6/14/01,66,2066.0,2064.0,-0.000968054211035818
6/17/01,7/26/01,40,2067.0,2064.0,-0.001451378809869376
7/28/01,4/9/02,256,2066.0,2060.0,-0.002904162633107454
4/10/02,4/29/02,20,2061.0,2061.0,0.0
4/30/02,6/11/02,43,2062.0,2061.0,-0.00048496605237633366
6/15/02,6/27/02,13,2064.0,2063.0,-0.00048449612403100775
6/28/02,8/15/02,49,2064.0,2060.0,-0.001937984496124031
8/16/02,12/20/02,127,2061.0,2060.0,-0.00048520135856380397
12/21/02,3/14/03,84,2061.0,2061.0,0.0
3/20/03,2/28/04,346,2070.0,2061.0,-0.004347826086956522
2/29/04,3/4/04,5,2062.0,2062.0,0.0
3/12/04,11/16/04,250,2069.0,2061.0,-0.0038666022232962784
11/17/04,3/27/05,131,2062.0,2062.0,0.0
3/28/05,5/17/05,51,2063.0,2063.0,0.0
5/18/05,6/6/05,20,2064.0,2064.0,0.0
6/7/05,6/30/05,24,2065.0,2065.0,0.0
7/1/05,7/20/05,20,2066.0,2064.0,-0.000968054211035818
7/21/05,10/11/05,83,2065.0,2061.0,-0.001937046004842615
10/16/05,11/11/05,27,2062.0,2061.0,-0.00048496605237633366
11/12/05,2/25/06,106,2062.0,2062.0,0.0
2/26/06,4/1/06,35,2063.0,2063.0,0.0
4/2/06,4/21/06,20,2064.0,2064.0,0.0
4/22/06,9/26/06,158,2065.0,2058.0,-0.003389830508474576
9/27/06,3/14/07,169,2059.0,2059.0,0.0
3/15/07,3/29/07,15,2060.0,2060.0,0.0
3/30/07,5/20/07,52,2061.0,2061.0,0.0
5/21/07,6/9/07,20,2062.0,2062.0,0.0
6/10/07,4/19/08,315,2063.0,2060.0,-0.001454192922927775
4/20/08,5/13/08,24,2061.0,2060.0,-0.00048520135856380397
5/14/08,11/27/08,198,2061.0,2056.0,-0.0024260067928190197
