Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/97,4/14/97,104,5953.2,5835.0,-0.019854867970167275
5/29/97,12/5/97,191,5991.6,5834.0,-0.026303491554843506
12/6/97,3/3/98,88,5834.8,5834.8,0.0
3/30/98,4/3/98,5,5901.2,5899.2,-0.0003389141191622043
4/4/98,4/20/98,17,5899.6,5892.8,-0.001152620516645227
5/21/98,5/27/98,7,5914.4,5907.2,-0.0012173677803327164
6/21/98,8/12/98,53,5919.4,5835.0,-0.014258201844781505
8/18/98,12/18/98,123,5853.6,5835.0,-0.003177531775317815
7/3/99,10/14/99,104,5996.4,5972.0,-0.004069108131545533
10/15/99,10/23/99,9,5972.2,5972.2,0.0
10/24/99,11/1/99,9,5972.4,5972.4,0.0
11/2/99,11/7/99,6,5972.6,5972.6,0.0
11/8/99,11/16/99,9,5972.8,5972.8,0.0
11/17/99,11/24/99,8,5973.0,5973.0,0.0
11/25/99,12/1/99,7,5973.2,5973.2,0.0
12/2/99,12/9/99,8,5973.4,5973.4,0.0
12/10/99,12/18/99,9,5973.6,5973.6,0.0
12/19/99,12/24/99,6,5973.8,5973.8,0.0
12/25/99,12/31/99,7,5974.0,5974.0,0.0
1/1/00,1/6/00,6,5974.2,5974.2,0.0
1/10/00,1/14/00,5,5974.6,5974.6,0.0
1/27/00,2/2/00,7,5975.6,5975.6,0.0
2/3/00,2/7/00,5,5975.8,5975.8,0.0
2/8/00,2/12/00,5,5976.0,5976.0,0.0
2/29/00,3/4/00,5,5977.2,5977.2,0.0
5/31/00,10/10/00,133,5992.0,5957.6,-0.005740987983978578
10/14/00,10/23/00,10,5958.0,5958.0,0.0
10/24/00,10/29/00,6,5958.2,5958.2,0.0
10/30/00,11/4/00,6,5958.4,5958.4,0.0
11/5/00,11/12/00,8,5958.6,5958.6,0.0
11/13/00,11/26/00,14,5958.8,5958.8,0.0
11/27/00,12/5/00,9,5959.0,5959.0,0.0
12/6/00,12/12/00,7,5959.2,5959.2,0.0
12/13/00,12/17/00,5,5959.4,5959.4,0.0
