Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/97,4/14/97,104,5953.0,5835.0,-0.019821938518394085
5/29/97,12/5/97,191,5992.0,5834.0,-0.02636849132176235
12/6/97,3/3/98,88,5835.0,5835.0,0.0
3/30/98,4/3/98,5,5901.0,5899.0,-0.0003389256058295204
4/4/98,4/21/98,18,5900.0,5893.0,-0.0011864406779661016
4/27/98,5/1/98,5,5899.0,5899.0,0.0
5/21/98,5/27/98,7,5914.0,5907.0,-0.0011836320595197836
6/20/98,8/12/98,54,5919.0,5835.0,-0.01419158641662443
8/18/98,12/18/98,123,5854.0,5835.0,-0.0032456440040997607
3/26/99,4/1/99,7,5917.0,5917.0,0.0
6/16/99,6/20/99,5,5994.0,5994.0,0.0
6/21/99,6/25/99,5,5995.0,5995.0,0.0
6/26/99,11/1/99,129,5996.0,5972.0,-0.004002668445630421
11/2/99,12/9/99,38,5973.0,5973.0,0.0
12/10/99,1/9/00,31,5974.0,5974.0,0.0
1/10/00,1/26/00,17,5975.0,5975.0,0.0
1/27/00,2/18/00,23,5976.0,5976.0,0.0
2/19/00,3/7/00,18,5977.0,5977.0,0.0
3/8/00,3/22/00,15,5978.0,5978.0,0.0
3/23/00,4/2/00,11,5979.0,5979.0,0.0
4/3/00,4/7/00,5,5980.0,5980.0,0.0
5/10/00,5/15/00,6,5990.0,5990.0,0.0
5/16/00,5/24/00,9,5991.0,5991.0,0.0
5/25/00,11/4/00,164,5992.0,5958.0,-0.005674232309746329
11/5/00,12/17/00,43,5959.0,5959.0,0.0
12/18/00,1/27/01,41,5960.0,5960.0,0.0
1/28/01,2/24/01,28,5961.0,5961.0,0.0
2/25/01,3/16/01,20,5962.0,5962.0,0.0
3/17/01,3/22/01,6,5963.0,5963.0,0.0
3/30/01,4/3/01,5,5966.0,5966.0,0.0
5/15/01,5/19/01,5,5984.0,5984.0,0.0
5/20/01,12/1/01,196,5985.0,5944.0,-0.00685045948203843
12/2/01,12/27/01,26,5945.0,5945.0,0.0
12/28/01,2/3/02,38,5946.0,5946.0,0.0
2/4/02,3/4/02,29,5947.0,5947.0,0.0
3/5/02,3/23/02,19,5948.0,5948.0,0.0
3/24/02,3/29/02,6,5949.0,5949.0,0.0
5/24/02,5/30/02,7,5972.0,5972.0,0.0
5/31/02,11/17/02,171,5973.0,5941.0,-0.005357441821530219
11/18/02,12/20/02,33,5942.0,5942.0,0.0
12/21/02,1/17/03,28,5943.0,5943.0,0.0
1/18/03,2/3/03,17,5944.0,5944.0,0.0
2/4/03,2/22/03,19,5945.0,5945.0,0.0
2/23/03,3/11/03,17,5946.0,5946.0,0.0
3/12/03,3/16/03,5,5947.0,5947.0,0.0
3/17/03,3/23/03,7,5948.0,5948.0,0.0
3/24/03,3/31/03,8,5949.0,5949.0,0.0
4/1/03,4/6/03,6,5950.0,5950.0,0.0
4/7/03,4/12/03,6,5951.0,5951.0,0.0
4/20/03,4/24/03,5,5954.0,5954.0,0.0
4/27/03,5/1/03,5,5956.0,5956.0,0.0
5/2/03,5/6/03,5,5957.0,5957.0,0.0
5/7/03,5/11/03,5,5958.0,5958.0,0.0
5/15/03,5/20/03,6,5960.0,5960.0,0.0
5/21/03,11/8/03,172,5961.0,5921.0,-0.006710283509478276
11/9/03,11/30/03,22,5922.0,5922.0,0.0
12/1/03,12/19/03,19,5923.0,5923.0,0.0
12/20/03,1/5/04,17,5924.0,5924.0,0.0
1/6/04,1/19/04,14,5925.0,5925.0,0.0
1/20/04,2/7/04,19,5926.0,5926.0,0.0
2/8/04,2/24/04,17,5927.0,5927.0,0.0
2/25/04,3/9/04,14,5928.0,5928.0,0.0
5/14/04,5/21/04,8,5958.0,5958.0,0.0
5/22/04,5/28/04,7,5959.0,5959.0,0.0
5/29/04,10/19/04,144,5960.0,5931.0,-0.004865771812080537
10/24/04,11/1/04,9,5933.0,5933.0,0.0
11/2/04,11/26/04,25,5934.0,5934.0,0.0
11/27/04,12/4/04,8,5935.0,5934.0,-0.00016849199663016007
12/5/04,12/26/04,22,5935.0,5935.0,0.0
12/27/04,1/17/05,22,5936.0,5936.0,0.0
1/18/05,1/31/05,14,5937.0,5937.0,0.0
2/1/05,2/17/05,17,5938.0,5938.0,0.0
2/18/05,3/2/05,13,5939.0,5939.0,0.0
3/3/05,3/10/05,8,5940.0,5940.0,0.0
3/14/05,3/18/05,5,5942.0,5942.0,0.0
3/22/05,3/26/05,5,5944.0,5944.0,0.0
3/30/05,4/3/05,5,5946.0,5946.0,0.0
5/31/05,6/4/05,5,5998.0,5998.0,0.0
6/5/05,6/9/05,5,5999.0,5999.0,0.0
6/10/05,6/17/05,8,6000.0,6000.0,0.0
6/18/05,12/21/05,187,6001.0,5982.0,-0.003166138976837194
12/22/05,1/10/06,20,5983.0,5983.0,0.0
1/11/06,2/27/06,48,5984.0,5984.0,0.0
2/28/06,3/11/06,12,5985.0,5985.0,0.0
3/12/06,3/27/06,16,5986.0,5986.0,0.0
3/28/06,4/1/06,5,5987.0,5987.0,0.0
4/2/06,4/13/06,12,5988.0,5987.0,-0.00016700066800267202
4/16/06,4/27/06,12,5989.0,5989.0,0.0
5/22/06,6/7/06,17,6006.0,6005.0,-0.0001665001665001665
6/8/06,11/14/06,160,6006.0,5985.0,-0.0034965034965034965
11/15/06,12/26/06,42,5986.0,5986.0,0.0
12/27/06,2/8/07,44,5987.0,5987.0,0.0
2/9/07,3/7/07,27,5988.0,5988.0,0.0
3/8/07,3/15/07,8,5989.0,5989.0,0.0
3/16/07,3/22/07,7,5990.0,5990.0,0.0
3/23/07,3/27/07,5,5991.0,5991.0,0.0
3/28/07,4/4/07,8,5992.0,5992.0,0.0
4/9/07,4/15/07,7,5994.0,5994.0,0.0
4/16/07,4/20/07,5,5995.0,5995.0,0.0
4/21/07,4/28/07,8,5996.0,5996.0,0.0
5/3/07,12/18/07,230,5998.0,5974.0,-0.0040013337779259755
12/19/07,1/9/08,22,5975.0,5975.0,0.0
1/10/08,2/7/08,29,5976.0,5976.0,0.0
2/8/08,3/1/08,23,5977.0,5977.0,0.0
3/2/08,3/23/08,22,5978.0,5978.0,0.0
3/24/08,3/31/08,8,5979.0,5979.0,0.0
4/1/08,4/12/08,12,5980.0,5980.0,0.0
5/28/08,11/19/08,176,6006.0,5984.0,-0.003663003663003663
11/20/08,11/25/08,6,5985.0,5984.0,-0.0001670843776106934
11/30/08,12/9/08,10,5985.0,5984.0,-0.0001670843776106934
12/10/08,1/24/09,46,5985.0,5985.0,0.0
1/25/09,3/5/09,40,5986.0,5986.0,0.0
3/6/09,3/20/09,15,5987.0,5987.0,0.0
3/21/09,4/3/09,14,5988.0,5988.0,0.0
4/4/09,4/11/09,8,5989.0,5989.0,0.0
5/18/09,10/12/09,148,6006.0,5987.0,-0.0031635031635031635
10/13/09,2/24/10,135,5988.0,5988.0,0.0
2/25/10,3/31/10,35,5989.0,5989.0,0.0
4/1/10,4/15/10,15,5990.0,5990.0,0.0
4/16/10,4/20/10,5,5991.0,5991.0,0.0
4/21/10,4/26/10,6,5992.0,5992.0,0.0
4/27/10,5/2/10,6,5993.0,5993.0,0.0
5/3/10,5/10/10,8,5994.0,5994.0,0.0
5/11/10,5/15/10,5,5995.0,5995.0,0.0
5/29/10,6/3/10,6,6000.0,6000.0,0.0
6/4/10,6/10/10,7,6001.0,6001.0,0.0
6/11/10,6/20/10,10,6002.0,6002.0,0.0
6/21/10,10/30/10,132,6003.0,5981.0,-0.003664834249541896
10/31/10,12/9/10,40,5982.0,5982.0,0.0
12/10/10,12/23/10,14,5983.0,5983.0,0.0
12/24/10,1/16/11,24,5984.0,5984.0,0.0
1/17/11,2/3/11,18,5985.0,5985.0,0.0
2/4/11,3/9/11,34,5986.0,5986.0,0.0
3/10/11,3/16/11,7,5987.0,5987.0,0.0
3/17/11,4/17/11,32,5988.0,5978.0,-0.0016700066800267202
4/23/11,5/2/11,10,5984.0,5984.0,0.0
5/26/11,6/8/11,14,6004.0,6002.0,-0.00033311125916055963
6/16/11,11/1/11,139,6006.0,5994.0,-0.001998001998001998
11/2/11,12/2/11,31,5995.0,5995.0,0.0
12/3/11,1/6/12,35,5996.0,5996.0,0.0
1/7/12,1/28/12,22,5997.0,5997.0,0.0
1/29/12,2/23/12,26,5998.0,5998.0,0.0
2/24/12,3/13/12,19,5999.0,5999.0,0.0
3/14/12,3/20/12,7,6000.0,6000.0,0.0
3/21/12,3/28/12,8,6001.0,6001.0,0.0
3/29/12,4/3/12,6,6002.0,6002.0,0.0
4/4/12,4/11/12,8,6003.0,6003.0,0.0
4/12/12,4/19/12,8,6004.0,6004.0,0.0
4/20/12,4/25/12,6,6005.0,6005.0,0.0
4/26/12,10/11/12,169,6006.0,5981.0,-0.004162504162504163
10/12/12,12/1/12,51,5982.0,5982.0,0.0
12/2/12,1/23/13,53,5983.0,5983.0,0.0
1/24/13,3/9/13,45,5984.0,5984.0,0.0
3/10/13,3/25/13,16,5985.0,5985.0,0.0
3/26/13,4/6/13,12,5986.0,5986.0,0.0
4/7/13,4/13/13,7,5987.0,5987.0,0.0
4/14/13,4/22/13,9,5988.0,5988.0,0.0
4/23/13,4/29/13,7,5989.0,5989.0,0.0
4/30/13,5/5/13,6,5990.0,5990.0,0.0
5/6/13,5/12/13,7,5991.0,5991.0,0.0
5/13/13,11/19/13,191,5992.0,5963.0,-0.0048397863818424565
11/20/13,12/25/13,36,5964.0,5964.0,0.0
12/26/13,1/21/14,27,5965.0,5965.0,0.0
1/22/14,2/10/14,20,5966.0,5966.0,0.0
2/11/14,2/25/14,15,5967.0,5967.0,0.0
2/26/14,3/6/14,9,5968.0,5968.0,0.0
3/7/14,3/15/14,9,5969.0,5969.0,0.0
3/16/14,3/24/14,9,5970.0,5970.0,0.0
3/25/14,3/31/14,7,5971.0,5971.0,0.0
4/1/14,4/8/14,8,5972.0,5972.0,0.0
5/26/14,5/30/14,5,5993.0,5993.0,0.0
5/31/14,11/5/14,159,5994.0,5975.0,-0.0031698365031698366
11/6/14,11/23/14,18,5976.0,5975.0,-0.00016733601070950468
11/24/14,1/10/15,48,5976.0,5976.0,0.0
1/11/15,2/7/15,28,5977.0,5977.0,0.0
2/8/15,3/4/15,25,5978.0,5978.0,0.0
3/5/15,3/22/15,18,5979.0,5979.0,0.0
3/23/15,4/2/15,11,5980.0,5980.0,0.0
4/3/15,4/16/15,14,5981.0,5981.0,0.0
4/17/15,5/15/15,29,5982.0,5982.0,0.0
5/16/15,5/22/15,7,5983.0,5983.0,0.0
5/23/15,5/27/15,5,5984.0,5984.0,0.0
5/28/15,6/3/15,7,5985.0,5985.0,0.0
6/4/15,6/8/15,5,5986.0,5985.0,-0.0001670564650851988
6/9/15,12/9/15,184,5986.0,5965.0,-0.0035081857667891747
12/10/15,1/14/16,36,5966.0,5966.0,0.0
1/15/16,2/13/16,30,5967.0,5967.0,0.0
2/14/16,2/26/16,13,5968.0,5968.0,0.0
2/27/16,3/7/16,10,5969.0,5969.0,0.0
3/8/16,3/14/16,7,5970.0,5970.0,0.0
3/15/16,3/22/16,8,5971.0,5971.0,0.0
3/23/16,3/31/16,9,5972.0,5972.0,0.0
4/1/16,4/5/16,5,5973.0,5973.0,0.0
5/29/16,11/22/16,178,6000.0,5979.0,-0.0035
11/23/16,12/27/16,35,5980.0,5980.0,0.0
12/28/16,1/12/17,16,5981.0,5981.0,0.0
1/13/17,2/2/17,21,5982.0,5982.0,0.0
2/3/17,2/9/17,7,5983.0,5983.0,0.0
2/14/17,2/20/17,7,5985.0,5985.0,0.0
2/21/17,2/25/17,5,5986.0,5986.0,0.0
2/26/17,3/18/17,21,5987.0,5980.0,-0.0011691999331885753
3/25/17,4/2/17,9,5984.0,5984.0,0.0
4/3/17,4/8/17,6,5985.0,5985.0,0.0
4/9/17,4/14/17,6,5986.0,5986.0,0.0
5/12/17,5/17/17,6,6001.0,6001.0,0.0
5/28/17,10/21/17,147,6006.0,5990.0,-0.002664002664002664
10/22/17,11/28/17,38,5991.0,5991.0,0.0
11/29/17,1/8/18,41,5992.0,5992.0,0.0
1/9/18,2/3/18,26,5993.0,5993.0,0.0
2/4/18,3/2/18,27,5994.0,5994.0,0.0
3/3/18,3/18/18,16,5995.0,5995.0,0.0
3/19/18,3/26/18,8,5996.0,5996.0,0.0
3/27/18,4/5/18,10,5997.0,5997.0,0.0
4/6/18,4/11/18,6,5998.0,5998.0,0.0
4/12/18,4/18/18,7,5999.0,5999.0,0.0
4/19/18,4/23/18,5,6000.0,6000.0,0.0
4/24/18,4/28/18,5,6001.0,6001.0,0.0
4/29/18,5/3/18,5,6002.0,6002.0,0.0
5/4/18,11/28/18,209,6003.0,5978.0,-0.004164584374479427
11/29/18,1/9/19,42,5979.0,5979.0,0.0
1/10/19,2/8/19,30,5980.0,5980.0,0.0
2/9/19,3/7/19,27,5981.0,5981.0,0.0
3/8/19,3/26/19,19,5982.0,5982.0,0.0
3/27/19,4/2/19,7,5983.0,5983.0,0.0
4/29/19,5/3/19,5,6002.0,6002.0,0.0
5/16/19,12/12/19,211,6007.0,5988.0,-0.003162976527384718
12/13/19,1/25/20,44,5989.0,5989.0,0.0
1/26/20,3/9/20,44,5990.0,5990.0,0.0
3/10/20,3/21/20,12,5991.0,5991.0,0.0
3/22/20,4/1/20,11,5992.0,5992.0,0.0
4/2/20,4/9/20,8,5993.0,5993.0,0.0
4/10/20,4/14/20,5,5994.0,5994.0,0.0
4/15/20,4/20/20,6,5995.0,5995.0,0.0
5/17/20,5/26/20,10,6005.0,6005.0,0.0
5/27/20,1/12/21,231,6006.0,5980.0,-0.004329004329004329
1/13/21,3/4/21,51,5981.0,5981.0,0.0
3/5/21,3/25/21,21,5982.0,5982.0,0.0
3/26/21,4/7/21,13,5983.0,5983.0,0.0
4/8/21,4/19/21,12,5984.0,5984.0,0.0
4/20/21,4/30/21,11,5985.0,5985.0,0.0
