Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
4/2/97,4/7/97,6,8121.0,8121.0,0.0
4/8/97,4/14/97,7,8122.0,8122.0,0.0
4/15/97,4/21/97,7,8123.0,8123.0,0.0
4/22/97,4/28/97,7,8124.0,8124.0,0.0
5/1/97,5/12/97,12,8126.0,8123.0,-0.00036918533103618014
5/24/97,5/30/97,7,8134.0,8134.0,0.0
6/1/97,8/13/97,74,8137.0,8121.0,-0.0019663266560157305
8/18/97,9/14/97,28,8124.0,8112.0,-0.0014771048744460858
10/1/97,10/24/97,24,8125.0,8120.0,-0.0006153846153846154
10/25/97,10/31/97,7,8121.0,8121.0,0.0
11/1/97,11/5/97,5,8122.0,8122.0,0.0
11/14/97,11/19/97,6,8125.0,8125.0,0.0
11/20/97,11/24/97,5,8126.0,8126.0,0.0
11/25/97,12/2/97,8,8127.0,8127.0,0.0
12/3/97,12/11/97,9,8128.0,8128.0,0.0
12/12/97,12/20/97,9,8129.0,8129.0,0.0
12/21/97,12/29/97,9,8130.0,8130.0,0.0
12/30/97,1/8/98,10,8131.0,8131.0,0.0
1/9/98,1/18/98,10,8132.0,8132.0,0.0
1/19/98,1/28/98,10,8133.0,8133.0,0.0
1/29/98,2/8/98,11,8134.0,8134.0,0.0
2/9/98,2/20/98,12,8135.0,8135.0,0.0
2/21/98,5/28/98,97,8136.0,8118.0,-0.0022123893805309734
6/3/98,6/10/98,8,8130.0,8130.0,0.0
9/1/98,9/30/98,30,8130.0,8122.0,-0.0009840098400984009
10/8/98,10/12/98,5,8125.0,8124.0,-0.00012307692307692307
10/13/98,10/22/98,10,8125.0,8124.0,-0.00012307692307692307
10/26/98,11/7/98,13,8125.0,8124.0,-0.00012307692307692307
11/8/98,11/13/98,6,8125.0,8125.0,0.0
11/14/98,11/19/98,6,8126.0,8126.0,0.0
11/20/98,11/25/98,6,8127.0,8127.0,0.0
11/26/98,12/4/98,9,8128.0,8128.0,0.0
12/5/98,12/13/98,9,8129.0,8129.0,0.0
12/14/98,12/24/98,11,8130.0,8130.0,0.0
12/25/98,1/4/99,11,8131.0,8131.0,0.0
1/5/99,1/26/99,22,8132.0,8132.0,0.0
1/27/99,2/3/99,8,8133.0,8133.0,0.0
3/30/99,4/4/99,6,8137.0,8137.0,0.0
4/5/99,5/7/99,33,8138.0,8133.0,-0.0006144015728680265
5/8/99,5/24/99,17,8134.0,8127.0,-0.0008605851979345956
5/31/99,6/12/99,13,8134.0,8129.0,-0.0006147037128104253
6/17/99,6/21/99,5,8135.0,8135.0,0.0
6/26/99,6/30/99,5,8137.0,8137.0,0.0
7/1/99,7/24/99,24,8138.0,8137.0,-0.0001228803145736053
7/25/99,9/2/99,40,8138.0,8126.0,-0.0014745637748832638
9/7/99,10/13/99,37,8129.0,8121.0,-0.0009841308894082913
10/14/99,10/21/99,8,8122.0,8122.0,0.0
10/22/99,10/28/99,7,8123.0,8123.0,0.0
10/29/99,11/5/99,8,8124.0,8124.0,0.0
11/6/99,11/13/99,8,8125.0,8125.0,0.0
11/14/99,11/25/99,12,8126.0,8126.0,0.0
11/26/99,12/5/99,10,8127.0,8127.0,0.0
12/6/99,12/18/99,13,8128.0,8128.0,0.0
12/19/99,12/30/99,12,8129.0,8129.0,0.0
12/31/99,1/13/00,14,8130.0,8130.0,0.0
1/14/00,1/25/00,12,8131.0,8131.0,0.0
1/26/00,2/11/00,17,8132.0,8132.0,0.0
2/12/00,2/23/00,12,8133.0,8133.0,0.0
2/24/00,3/12/00,18,8134.0,8134.0,0.0
3/13/00,3/30/00,18,8135.0,8135.0,0.0
3/31/00,4/13/00,14,8136.0,8136.0,0.0
4/14/00,4/22/00,9,8137.0,8137.0,0.0
4/23/00,4/28/00,6,8138.0,8138.0,0.0
4/29/00,5/21/00,23,8139.0,8131.0,-0.000982921734856862
5/27/00,8/31/00,97,8138.0,8087.0,-0.006266896043253871
9/10/00,9/22/00,13,8091.0,8088.0,-0.0003707823507601038
10/2/00,10/6/00,5,8092.0,8092.0,0.0
10/18/00,10/22/00,5,8096.0,8096.0,0.0
10/23/00,10/28/00,6,8097.0,8097.0,0.0
11/6/00,11/11/00,6,8100.0,8100.0,0.0
11/12/00,11/16/00,5,8101.0,8101.0,0.0
11/17/00,11/22/00,6,8102.0,8102.0,0.0
11/23/00,11/28/00,6,8103.0,8103.0,0.0
11/29/00,12/5/00,7,8104.0,8104.0,0.0
12/6/00,12/12/00,7,8105.0,8105.0,0.0
12/13/00,12/20/00,8,8106.0,8106.0,0.0
12/21/00,12/27/00,7,8107.0,8107.0,0.0
12/28/00,1/5/01,9,8108.0,8108.0,0.0
1/6/01,1/13/01,8,8109.0,8109.0,0.0
1/14/01,1/23/01,10,8110.0,8110.0,0.0
1/24/01,2/1/01,9,8111.0,8111.0,0.0
2/2/01,2/12/01,11,8112.0,8112.0,0.0
2/13/01,2/22/01,10,8113.0,8113.0,0.0
2/23/01,3/6/01,12,8114.0,8114.0,0.0
3/7/01,3/16/01,10,8115.0,8115.0,0.0
3/17/01,3/28/01,12,8116.0,8116.0,0.0
3/29/01,4/5/01,8,8117.0,8117.0,0.0
