Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/97,3/16/97,75,4579.4,4577.4,-0.0004367384373498712
4/4/97,4/8/97,5,4578.8,4578.4,-8.735913339751587e-05
4/9/97,4/13/97,5,4578.6,4578.6,0.0
4/24/97,5/3/97,10,4581.0,4581.0,0.0
5/10/97,5/24/97,15,4582.4,4580.0,-0.0005237430167596972
6/6/97,6/26/97,21,4583.2,4580.0,-0.0006982021295164554
6/30/97,7/18/97,19,4580.4,4580.0,-8.732861758790416e-05
7/25/97,7/31/97,7,4580.8,4580.8,0.0
8/1/97,8/5/97,5,4581.0,4581.0,0.0
8/6/97,8/21/97,16,4581.2,4579.6,-0.00034925347070624606
8/22/97,8/26/97,5,4579.8,4579.6,-4.3670029258879885e-05
8/27/97,10/25/97,60,4579.8,4575.4,-0.0009607406436963504
11/9/97,11/18/97,10,4576.4,4576.2,-4.3702473559963754e-05
11/26/97,12/13/97,18,4576.8,4576.8,0.0
12/14/97,12/30/97,17,4577.0,4577.0,0.0
12/31/97,1/13/98,14,4577.2,4577.0,-4.369483527043129e-05
1/18/98,1/23/98,6,4577.4,4577.4,0.0
1/24/98,1/29/98,6,4577.6,4577.6,0.0
1/30/98,2/5/98,7,4577.8,4577.8,0.0
2/6/98,2/11/98,6,4578.0,4578.0,0.0
2/22/98,3/11/98,18,4578.8,4578.4,-8.735913339751587e-05
3/17/98,3/24/98,8,4579.0,4578.8,-4.367765887744444e-05
3/25/98,4/23/98,30,4579.0,4578.0,-0.00021838829438742082
5/12/98,5/16/98,5,4580.0,4579.8,-4.366812227070264e-05
5/17/98,5/25/98,9,4580.0,4580.0,0.0
5/26/98,6/4/98,10,4580.2,4580.0,-4.366621544906731e-05
6/8/98,6/16/98,9,4580.4,4580.2,-4.366430879395208e-05
6/23/98,7/10/98,18,4584.8,4580.4,-0.0009596928982726718
7/12/98,7/23/98,12,4580.8,4579.8,-0.00021830247991617185
7/30/98,8/9/98,11,4580.6,4580.0,-0.00013098720691620395
8/11/98,9/12/98,33,4580.4,4577.0,-0.000742293249497781
9/15/98,9/20/98,6,4577.6,4577.6,0.0
9/21/98,10/20/98,30,4577.8,4576.4,-0.0003058237581372156
11/5/98,12/25/98,51,4579.6,4575.4,-0.0009171106646870311
1/1/99,1/5/99,5,4576.2,4576.2,0.0
1/6/99,1/10/99,5,4576.4,4576.4,0.0
1/11/99,1/21/99,11,4576.6,4576.6,0.0
1/22/99,2/13/99,23,4576.8,4576.4,-8.739730816302781e-05
2/14/99,2/23/99,10,4576.6,4576.4,-4.370056373743119e-05
2/28/99,3/4/99,5,4576.8,4576.8,0.0
4/13/99,4/20/99,8,4580.2,4580.0,-4.366621544906731e-05
5/1/99,5/26/99,26,4581.2,4579.6,-0.00034925347070624606
6/1/99,6/6/99,6,4580.2,4580.2,0.0
6/20/99,7/16/99,27,4584.4,4579.4,-0.0010906552656836227
7/17/99,7/30/99,14,4579.6,4578.6,-0.00021835968206830288
7/31/99,9/12/99,44,4578.8,4576.2,-0.000567834367083158
9/21/99,9/27/99,7,4576.8,4576.8,0.0
11/22/99,1/15/00,55,4581.6,4579.2,-0.0005238344683081337
1/16/00,2/13/00,29,4579.4,4579.0,-8.73476874698948e-05
2/14/00,2/23/00,10,4579.2,4579.0,-4.3675751222881316e-05
2/24/00,3/7/00,13,4579.2,4579.2,0.0
3/8/00,4/17/00,41,4579.4,4579.0,-8.73476874698948e-05
4/26/00,5/25/00,30,4580.2,4579.8,-8.733243089813462e-05
5/26/00,6/7/00,13,4580.0,4579.8,-4.366812227070264e-05
6/8/00,6/23/00,16,4580.0,4580.0,0.0
6/24/00,7/9/00,16,4580.2,4580.0,-4.366621544906731e-05
