Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/97,3/16/97,75,4579.0,4577.0,-0.00043677658877484165
3/17/97,3/30/97,14,4578.0,4578.0,0.0
3/31/97,4/8/97,9,4579.0,4578.0,-0.00021838829438742082
4/9/97,4/19/97,11,4579.0,4579.0,0.0
4/22/97,5/5/97,14,4581.0,4581.0,0.0
5/6/97,5/26/97,21,4582.0,4580.0,-0.00043649061545176777
5/27/97,6/2/97,7,4581.0,4581.0,0.0
6/4/97,7/20/97,47,4583.0,4580.0,-0.0006545930613135501
7/21/97,10/25/97,97,4581.0,4575.0,-0.0013097576948264572
10/26/97,11/21/97,27,4576.0,4576.0,0.0
11/22/97,1/23/98,63,4577.0,4577.0,0.0
1/24/98,2/17/98,25,4578.0,4578.0,0.0
2/18/98,3/11/98,22,4579.0,4578.0,-0.00021838829438742082
3/12/98,4/27/98,47,4579.0,4578.0,-0.00021838829438742082
4/28/98,5/7/98,10,4579.0,4579.0,0.0
5/8/98,6/17/98,41,4580.0,4580.0,0.0
6/22/98,7/10/98,19,4585.0,4580.0,-0.0010905125408942203
7/11/98,7/29/98,19,4581.0,4580.0,-0.00021829294913774285
7/30/98,9/14/98,47,4581.0,4577.0,-0.0008731717965509714
9/15/98,10/20/98,36,4578.0,4576.0,-0.00043687199650502403
10/25/98,10/29/98,5,4578.0,4578.0,0.0
10/30/98,11/4/98,6,4579.0,4579.0,0.0
11/5/98,12/25/98,51,4580.0,4575.0,-0.001091703056768559
12/26/98,1/10/99,16,4576.0,4576.0,0.0
1/11/99,2/13/99,34,4577.0,4576.0,-0.00021848372296263927
2/14/99,2/23/99,10,4577.0,4576.0,-0.00021848372296263927
2/24/99,3/15/99,20,4577.0,4577.0,0.0
3/16/99,3/24/99,9,4578.0,4578.0,0.0
3/25/99,4/6/99,13,4579.0,4579.0,0.0
4/7/99,4/25/99,19,4580.0,4580.0,0.0
4/26/99,6/10/99,46,4581.0,4580.0,-0.00021829294913774285
6/17/99,7/16/99,30,4584.0,4579.0,-0.0010907504363001745
7/17/99,9/16/99,62,4580.0,4576.0,-0.0008733624454148472
9/17/99,10/5/99,19,4577.0,4577.0,0.0
10/6/99,10/17/99,12,4578.0,4578.0,0.0
10/18/99,10/28/99,11,4579.0,4579.0,0.0
10/29/99,11/9/99,12,4580.0,4580.0,0.0
11/10/99,11/21/99,12,4581.0,4581.0,0.0
11/22/99,4/22/00,153,4582.0,4579.0,-0.0006547359231776517
4/23/00,10/17/00,178,4580.0,4577.0,-0.0006550218340611354
10/18/00,11/16/00,30,4578.0,4578.0,0.0
11/17/00,4/5/01,140,4579.0,4579.0,0.0
4/6/01,4/23/01,18,4580.0,4579.0,-0.0002183406113537118
4/24/01,6/3/01,41,4580.0,4579.0,-0.0002183406113537118
6/4/01,9/28/01,117,4580.0,4576.0,-0.0008733624454148472
9/29/01,12/3/01,66,4577.0,4577.0,0.0
12/4/01,12/8/01,5,4578.0,4577.0,-0.00021843599825251202
12/9/01,3/12/02,94,4578.0,4577.0,-0.00021843599825251202
3/13/02,4/8/02,27,4578.0,4578.0,0.0
4/9/02,4/21/02,13,4579.0,4579.0,0.0
4/22/02,11/10/02,203,4580.0,4568.0,-0.0026200873362445414
11/11/02,2/11/03,93,4569.0,4569.0,0.0
2/12/03,3/14/03,31,4570.0,4570.0,0.0
3/15/03,3/20/03,6,4571.0,4571.0,0.0
3/21/03,4/2/03,13,4572.0,4572.0,0.0
4/3/03,4/14/03,12,4573.0,4573.0,0.0
4/15/03,4/23/03,9,4574.0,4574.0,0.0
4/24/03,4/29/03,6,4575.0,4575.0,0.0
5/15/03,6/14/03,31,4580.0,4580.0,0.0
6/15/03,11/18/03,157,4581.0,4570.0,-0.0024012224405151714
11/19/03,11/30/03,12,4571.0,4570.0,-0.0002187705097352877
12/1/03,3/12/04,103,4571.0,4571.0,0.0
3/13/04,4/2/04,21,4572.0,4572.0,0.0
4/3/04,4/26/04,24,4573.0,4573.0,0.0
4/27/04,4/4/05,343,4574.0,4562.0,-0.0026235242675994755
4/5/05,5/12/05,38,4563.0,4563.0,0.0
5/13/05,6/14/05,33,4564.0,4564.0,0.0
6/15/05,1/9/06,209,4565.0,4553.0,-0.002628696604600219
1/10/06,3/17/06,67,4554.0,4554.0,0.0
3/18/06,4/2/06,16,4555.0,4555.0,0.0
4/3/06,4/13/06,11,4556.0,4556.0,0.0
4/14/06,4/23/06,10,4557.0,4557.0,0.0
4/24/06,4/28/06,5,4558.0,4558.0,0.0
4/29/06,5/4/06,6,4559.0,4559.0,0.0
5/5/06,5/11/06,7,4560.0,4560.0,0.0
5/12/06,1/24/07,258,4561.0,4546.0,-0.00328875246656435
1/25/07,3/6/07,41,4547.0,4546.0,-0.00021992522542335605
3/7/07,3/18/07,12,4547.0,4547.0,0.0
3/19/07,3/28/07,10,4548.0,4548.0,0.0
3/29/07,4/18/07,21,4549.0,4549.0,0.0
4/19/07,5/4/07,16,4550.0,4550.0,0.0
5/5/07,5/10/07,6,4551.0,4551.0,0.0
5/11/07,5/28/07,18,4552.0,4551.0,-0.0002196836555360281
5/29/07,6/3/07,6,4552.0,4552.0,0.0
6/4/07,6/11/07,8,4553.0,4553.0,0.0
6/12/07,3/3/08,266,4554.0,4539.0,-0.0032938076416337285
3/8/08,4/13/08,37,4540.0,4540.0,0.0
4/14/08,4/23/08,10,4541.0,4541.0,0.0
4/24/08,5/3/08,10,4542.0,4542.0,0.0
5/18/08,5/22/08,5,4547.0,4547.0,0.0
7/2/08,7/6/08,5,4564.0,4564.0,0.0
7/19/08,7/25/08,7,4571.0,4571.0,0.0
7/26/08,8/10/08,16,4572.0,4572.0,0.0
8/11/08,9/2/08,23,4573.0,4572.0,-0.00021867483052700635
9/3/08,10/17/08,45,4573.0,4573.0,0.0
10/18/08,11/21/08,35,4574.0,4574.0,0.0
11/22/08,2/3/09,74,4575.0,4575.0,0.0
2/4/09,3/1/09,26,4576.0,4576.0,0.0
3/2/09,3/15/09,14,4577.0,4577.0,0.0
3/16/09,3/22/09,7,4578.0,4578.0,0.0
3/23/09,4/15/09,24,4579.0,4579.0,0.0
4/16/09,3/23/10,342,4580.0,4578.0,-0.0004366812227074236
3/24/10,4/20/10,28,4579.0,4579.0,0.0
4/21/10,5/14/10,24,4580.0,4580.0,0.0
5/15/10,5/21/10,7,4581.0,4581.0,0.0
5/22/10,5/26/10,5,4582.0,4582.0,0.0
5/27/10,8/2/10,68,4583.0,4579.0,-0.0008727907484180668
8/3/10,9/23/10,52,4580.0,4577.0,-0.0006550218340611354
9/24/10,4/23/11,212,4578.0,4578.0,0.0
4/24/11,5/11/11,18,4579.0,4579.0,0.0
5/12/11,5/20/11,9,4580.0,4580.0,0.0
6/1/11,6/19/11,19,4585.0,4581.0,-0.0008724100327153762
6/20/11,6/25/11,6,4582.0,4582.0,0.0
6/26/11,7/12/11,17,4583.0,4583.0,0.0
7/13/11,11/28/11,139,4584.0,4577.0,-0.0015270506108202443
11/29/11,3/16/12,109,4578.0,4577.0,-0.00021843599825251202
3/17/12,4/9/12,24,4578.0,4578.0,0.0
4/10/12,5/4/12,25,4579.0,4579.0,0.0
5/5/12,11/21/12,201,4580.0,4570.0,-0.002183406113537118
11/22/12,1/9/13,49,4571.0,4571.0,0.0
1/10/13,2/8/13,30,4572.0,4572.0,0.0
2/9/13,3/12/13,32,4573.0,4573.0,0.0
3/13/13,4/3/13,22,4574.0,4574.0,0.0
4/4/13,4/19/13,16,4575.0,4575.0,0.0
4/20/13,4/30/13,11,4576.0,4576.0,0.0
5/1/13,5/12/13,12,4577.0,4577.0,0.0
5/13/13,5/26/13,14,4578.0,4578.0,0.0
5/27/13,6/5/13,10,4579.0,4579.0,0.0
6/6/13,10/3/13,120,4580.0,4574.0,-0.0013100436681222707
10/4/13,10/11/13,8,4575.0,4575.0,0.0
10/15/13,11/4/13,21,4577.0,4575.0,-0.00043696744592527855
11/5/13,11/10/13,6,4576.0,4576.0,0.0
11/11/13,3/10/14,120,4577.0,4574.0,-0.0006554511688879179
3/11/14,4/3/14,24,4575.0,4575.0,0.0
4/4/14,4/12/14,9,4576.0,4576.0,0.0
4/13/14,4/19/14,7,4577.0,4577.0,0.0
4/20/14,4/24/14,5,4578.0,4578.0,0.0
4/25/14,5/4/14,10,4579.0,4579.0,0.0
5/5/14,6/27/14,54,4580.0,4580.0,0.0
6/28/14,8/6/14,40,4581.0,4578.0,-0.0006548788474132286
8/7/14,9/30/14,55,4579.0,4568.0,-0.0024022712382616293
10/1/14,10/5/14,5,4569.0,4569.0,0.0
10/6/14,10/10/14,5,4570.0,4570.0,0.0
10/11/14,10/16/14,6,4571.0,4571.0,0.0
10/17/14,10/23/14,7,4572.0,4572.0,0.0
10/24/14,10/31/14,8,4573.0,4573.0,0.0
11/1/14,11/9/14,9,4574.0,4574.0,0.0
11/10/14,11/22/14,13,4575.0,4575.0,0.0
11/23/14,2/12/15,82,4576.0,4576.0,0.0
2/13/15,4/19/15,66,4577.0,4577.0,0.0
4/20/15,4/27/15,8,4578.0,4578.0,0.0
