Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
3/11/03,3/17/03,7,6577.0,6573.0,-0.0006081800212863008
3/20/03,4/10/03,22,6579.0,6570.0,-0.0013679890560875513
4/11/03,4/16/03,6,6574.0,6571.0,-0.00045634317006388805
4/18/03,4/24/03,7,6576.0,6571.0,-0.0007603406326034064
4/25/03,4/29/03,5,6575.0,6571.0,-0.0006083650190114068
4/30/03,5/7/03,8,6576.0,6568.0,-0.0012165450121654502
5/8/03,5/12/03,5,6575.0,6572.0,-0.00045627376425855514
5/24/03,6/2/03,10,6577.0,6572.0,-0.000760225026607876
6/4/03,6/8/03,5,6577.0,6565.0,-0.0018245400638589023
6/14/03,6/24/03,11,6578.0,6569.0,-0.0013681970203709335
7/5/03,7/11/03,7,6578.0,6574.0,-0.0006080875646093037
7/27/03,8/3/03,8,6577.0,6574.0,-0.00045613501596472556
8/25/03,8/31/03,7,6578.0,6571.0,-0.0010641532380662815
9/13/03,9/19/03,7,6578.0,6574.0,-0.0006080875646093037
9/26/03,11/4/03,40,6577.0,6567.0,-0.001520450053215752
11/9/03,11/17/03,9,6579.0,6574.0,-0.0007599939200486396
11/21/03,11/30/03,10,6577.0,6575.0,-0.0003040900106431504
12/1/03,12/6/03,6,6576.0,6576.0,0.0
12/22/03,12/28/03,7,6576.0,6574.0,-0.00030413625304136254
12/30/03,1/4/04,6,6576.0,6574.0,-0.00030413625304136254
1/8/04,1/12/04,5,6576.0,6573.0,-0.0004562043795620438
1/15/04,1/19/04,5,6575.0,6575.0,0.0
1/23/04,1/29/04,7,6578.0,6576.0,-0.0003040437823046519
1/31/04,2/19/04,20,6578.0,6573.0,-0.0007601094557616296
3/27/04,3/31/04,5,6578.0,6576.0,-0.0003040437823046519
4/1/04,4/8/04,8,6577.0,6574.0,-0.00045613501596472556
4/14/04,4/19/04,6,6575.0,6573.0,-0.0003041825095057034
4/25/04,5/4/04,10,6576.0,6574.0,-0.00030413625304136254
5/5/04,5/11/04,7,6575.0,6568.0,-0.001064638783269962
5/20/04,5/27/04,8,6578.0,6572.0,-0.0009121313469139556
5/29/04,6/3/04,6,6575.0,6571.0,-0.0006083650190114068
6/9/04,6/14/04,6,6573.0,6569.0,-0.0006085501293169025
6/27/04,7/2/04,6,6571.0,6569.0,-0.00030436767615279255
7/4/04,7/11/04,8,6575.0,6572.0,-0.00045627376425855514
7/15/04,7/21/04,7,6576.0,6572.0,-0.0006082725060827251
7/23/04,7/28/04,6,6576.0,6572.0,-0.0006082725060827251
8/5/04,8/9/04,5,6577.0,6572.0,-0.000760225026607876
8/11/04,8/16/04,6,6577.0,6568.0,-0.0013684050478941767
8/26/04,9/2/04,8,6578.0,6566.0,-0.0018242626938279112
9/22/04,9/26/04,5,6575.0,6575.0,0.0
9/27/04,10/3/04,7,6576.0,6576.0,0.0
10/4/04,10/13/04,10,6577.0,6577.0,0.0
10/14/04,10/18/04,5,6578.0,6567.0,-0.0016722408026755853
