Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
2/25/98,3/4/98,8,4879.6,4879.4,-4.098696614491507e-05
3/10/98,3/17/98,8,4880.0,4880.0,0.0
3/18/98,3/23/98,6,4880.2,4880.0,-4.098192697016887e-05
3/27/98,6/2/98,68,4880.6,4863.8,-0.0034421997295414866
6/3/98,6/8/98,6,4864.0,4861.4,-0.0005345394736842854
6/12/98,6/23/98,12,4861.8,4860.8,-0.0002056851371919865
7/16/98,8/9/98,25,4865.6,4861.4,-0.0008632028937850887
8/12/98,8/18/98,7,4861.8,4861.2,-0.00012341108231526672
8/19/98,8/24/98,6,4861.4,4860.8,-0.0001234212366806793
8/25/98,10/2/98,39,4861.2,4852.0,-0.0018925368221837857
10/3/98,11/5/98,34,4852.2,4851.4,-0.00016487366555380692
11/6/98,11/14/98,9,4851.6,4851.6,0.0
3/1/99,3/5/99,5,4874.0,4874.0,0.0
3/12/99,4/26/99,46,4874.6,4868.8,-0.00118984121774098
5/8/99,5/16/99,9,4880.6,4880.4,-4.097856820897586e-05
5/17/99,5/24/99,8,4880.6,4880.4,-4.097856820897586e-05
5/26/99,6/8/99,14,4881.0,4880.4,-0.00012292562999392825
6/9/99,6/15/99,7,4880.6,4880.4,-4.097856820897586e-05
6/16/99,6/21/99,6,4880.6,4880.4,-4.097856820897586e-05
6/25/99,7/5/99,11,4881.0,4880.4,-0.00012292562999392825
7/6/99,7/10/99,5,4880.6,4880.2,-8.195713641776536e-05
7/13/99,7/18/99,6,4880.6,4880.4,-4.097856820897586e-05
7/19/99,7/31/99,13,4880.6,4880.0,-0.00012293570462655487
8/7/99,8/16/99,10,4881.6,4880.4,-0.0002458210422813683
8/17/99,9/30/99,45,4880.6,4876.6,-0.0008195713641765356
10/1/99,10/7/99,7,4876.8,4876.6,-4.1010498687626745e-05
10/8/99,10/17/99,10,4876.8,4876.6,-4.1010498687626745e-05
10/18/99,11/16/99,30,4876.8,4876.8,0.0
11/17/99,11/21/99,5,4877.0,4877.0,0.0
11/30/99,12/13/99,14,4878.0,4877.8,-4.100041000406275e-05
1/1/00,1/5/00,5,4879.6,4879.6,0.0
1/9/00,1/15/00,7,4880.0,4880.0,0.0
1/20/00,1/24/00,5,4880.4,4880.4,0.0
3/10/00,5/20/00,72,4885.2,4878.2,-0.0014328993695242776
5/29/00,6/26/00,29,4878.8,4876.6,-0.0004509305566942318
6/29/00,9/26/00,90,4877.2,4856.0,-0.004346756335602358
9/27/00,10/7/00,11,4856.2,4856.0,-4.1184465219681664e-05
10/8/00,10/15/00,8,4856.2,4855.8,-8.236893043936333e-05
10/16/00,10/23/00,8,4856.0,4855.8,-4.118616144971542e-05
10/24/00,11/9/00,17,4856.0,4855.8,-4.118616144971542e-05
11/10/00,11/15/00,6,4856.0,4856.0,0.0
3/19/01,5/4/01,47,4873.4,4866.4,-0.0014363688595231256
5/5/01,6/2/01,29,4866.6,4861.8,-0.0009863148810258047
6/3/01,7/12/01,40,4862.0,4853.6,-0.0017276840806251823
7/13/01,10/19/01,99,4853.8,4832.2,-0.004450121554246233
10/20/01,10/26/01,7,4832.4,4832.2,-4.138730237559352e-05
10/27/01,11/14/01,19,4832.4,4832.4,0.0
3/13/02,7/5/02,115,4851.6,4834.8,-0.0034627751669552686
7/6/02,8/27/02,53,4835.0,4826.8,-0.0016959669079627338
8/29/02,10/25/02,58,4827.2,4826.0,-0.00024859131587666103
10/26/02,11/15/02,21,4826.2,4826.0,-4.144047076371019e-05
3/19/03,5/30/03,73,4840.8,4832.0,-0.0018178813419269916
5/31/03,6/9/03,10,4832.2,4827.4,-0.0009933363685278305
6/10/03,7/23/03,44,4827.6,4822.8,-0.000994282873477542
7/29/03,8/9/03,12,4823.6,4822.6,-0.00020731403930674184
8/12/03,10/29/03,79,4823.0,4819.8,-0.0006634874559402484
11/3/03,11/9/03,7,4820.2,4820.2,0.0
3/12/04,4/3/04,23,4841.6,4841.4,-4.130865829492886e-05
4/4/04,4/21/04,18,4841.6,4840.8,-0.0001652346331791519
4/25/04,6/5/04,42,4841.4,4833.8,-0.0015697938612796824
6/9/04,6/15/04,7,4834.0,4832.8,-0.0002482416218452251
6/19/04,7/2/04,14,4833.2,4832.8,-8.276090374899368e-05
7/11/04,7/15/04,5,4833.6,4833.6,0.0
7/18/04,7/25/04,8,4834.4,4833.8,-0.00012411054112184642
8/1/04,8/5/04,5,4834.4,4834.2,-4.137018037394881e-05
8/22/04,10/25/04,65,4837.0,4834.6,-0.0004961753152779897
10/26/04,11/1/04,7,4834.8,4834.6,-4.136675767349592e-05
11/2/04,11/8/04,7,4834.8,4834.6,-4.136675767349592e-05
11/9/04,11/14/04,6,4834.8,4834.8,0.0
3/7/05,3/19/05,13,4851.2,4850.2,-0.00020613456464379948
