Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/7/98,1/12/98,6,4872.0,4872.0,0.0
1/13/98,1/18/98,6,4873.0,4873.0,0.0
1/19/98,1/24/98,6,4874.0,4874.0,0.0
1/25/98,1/29/98,5,4875.0,4875.0,0.0
1/30/98,2/4/98,6,4876.0,4876.0,0.0
2/5/98,2/11/98,7,4877.0,4877.0,0.0
2/12/98,2/17/98,6,4878.0,4878.0,0.0
2/18/98,2/24/98,7,4879.0,4879.0,0.0
2/25/98,3/4/98,8,4880.0,4879.0,-0.00020491803278688525
3/5/98,3/26/98,22,4880.0,4880.0,0.0
3/27/98,6/8/98,74,4881.0,4861.0,-0.004097520999795124
6/9/98,6/26/98,18,4862.0,4861.0,-0.00020567667626491157
7/9/98,7/15/98,7,4865.0,4865.0,0.0
7/16/98,8/9/98,25,4866.0,4861.0,-0.0010275380189066995
8/10/98,11/5/98,88,4862.0,4851.0,-0.0022624434389140274
11/6/98,11/16/98,11,4852.0,4852.0,0.0
11/17/98,11/21/98,5,4853.0,4853.0,0.0
11/26/98,11/30/98,5,4855.0,4855.0,0.0
12/1/98,12/5/98,5,4856.0,4856.0,0.0
12/6/98,12/11/98,6,4857.0,4857.0,0.0
12/12/98,12/18/98,7,4858.0,4858.0,0.0
12/19/98,12/25/98,7,4859.0,4859.0,0.0
1/7/99,1/11/99,5,4863.0,4863.0,0.0
1/16/99,1/20/99,5,4865.0,4865.0,0.0
1/21/99,1/25/99,5,4866.0,4866.0,0.0
1/30/99,2/3/99,5,4868.0,4868.0,0.0
2/4/99,2/8/99,5,4869.0,4869.0,0.0
2/9/99,2/13/99,5,4870.0,4870.0,0.0
2/22/99,2/26/99,5,4873.0,4873.0,0.0
2/27/99,3/11/99,13,4874.0,4874.0,0.0
3/12/99,4/29/99,49,4875.0,4869.0,-0.0012307692307692308
5/8/99,5/16/99,9,4881.0,4880.0,-0.0002048760499897562
5/17/99,5/24/99,8,4881.0,4880.0,-0.0002048760499897562
5/25/99,6/8/99,15,4881.0,4880.0,-0.0002048760499897562
6/9/99,6/15/99,7,4881.0,4880.0,-0.0002048760499897562
6/16/99,6/21/99,6,4881.0,4880.0,-0.0002048760499897562
6/22/99,7/5/99,14,4881.0,4880.0,-0.0002048760499897562
7/6/99,7/12/99,7,4881.0,4880.0,-0.0002048760499897562
7/13/99,7/18/99,6,4881.0,4880.0,-0.0002048760499897562
7/19/99,8/4/99,17,4881.0,4880.0,-0.0002048760499897562
8/7/99,8/16/99,10,4882.0,4880.0,-0.00040966816878328555
8/17/99,11/26/99,102,4881.0,4877.0,-0.0008195041999590248
11/27/99,12/21/99,25,4878.0,4878.0,0.0
12/22/99,12/31/99,10,4879.0,4879.0,0.0
1/1/00,1/24/00,24,4880.0,4880.0,0.0
1/25/00,2/3/00,10,4881.0,4881.0,0.0
2/4/00,2/9/00,6,4882.0,4882.0,0.0
2/10/00,2/18/00,9,4883.0,4883.0,0.0
2/19/00,2/29/00,11,4884.0,4884.0,0.0
3/1/00,5/23/00,84,4885.0,4878.0,-0.0014329580348004093
5/24/00,11/18/00,179,4879.0,4856.0,-0.00471408075425292
11/19/00,11/23/00,5,4857.0,4857.0,0.0
11/24/00,11/29/00,6,4858.0,4858.0,0.0
11/30/00,12/4/00,5,4859.0,4859.0,0.0
12/5/00,12/10/00,6,4860.0,4860.0,0.0
12/11/00,12/15/00,5,4861.0,4861.0,0.0
12/16/00,12/21/00,6,4862.0,4862.0,0.0
12/22/00,12/26/00,5,4863.0,4863.0,0.0
12/27/00,1/1/01,6,4864.0,4864.0,0.0
1/2/01,1/8/01,7,4865.0,4865.0,0.0
1/9/01,1/16/01,8,4866.0,4866.0,0.0
1/17/01,1/23/01,7,4867.0,4867.0,0.0
1/24/01,1/29/01,6,4868.0,4868.0,0.0
1/30/01,2/6/01,8,4869.0,4869.0,0.0
2/7/01,2/13/01,7,4870.0,4870.0,0.0
2/14/01,2/22/01,9,4871.0,4871.0,0.0
2/23/01,3/6/01,12,4872.0,4872.0,0.0
3/7/01,5/4/01,59,4873.0,4866.0,-0.0014364867638005335
5/5/01,11/14/01,194,4867.0,4832.0,-0.007191288267926854
11/15/01,11/21/01,7,4833.0,4833.0,0.0
11/22/01,11/27/01,6,4834.0,4834.0,0.0
11/28/01,12/3/01,6,4835.0,4835.0,0.0
12/7/01,12/11/01,5,4837.0,4837.0,0.0
12/12/01,12/16/01,5,4838.0,4838.0,0.0
12/17/01,12/21/01,5,4839.0,4839.0,0.0
12/22/01,12/26/01,5,4840.0,4840.0,0.0
12/31/01,1/4/02,5,4842.0,4842.0,0.0
1/5/02,1/9/02,5,4843.0,4843.0,0.0
1/10/02,1/15/02,6,4844.0,4844.0,0.0
1/16/02,1/22/02,7,4845.0,4845.0,0.0
1/23/02,1/29/02,7,4846.0,4846.0,0.0
1/30/02,2/5/02,7,4847.0,4847.0,0.0
2/6/02,2/14/02,9,4848.0,4848.0,0.0
2/15/02,2/21/02,7,4849.0,4849.0,0.0
2/22/02,3/2/02,9,4850.0,4850.0,0.0
3/3/02,3/12/02,10,4851.0,4851.0,0.0
3/13/02,11/18/02,251,4852.0,4826.0,-0.0053586150041220115
11/19/02,11/26/02,8,4827.0,4827.0,0.0
11/27/02,12/3/02,7,4828.0,4828.0,0.0
12/4/02,12/10/02,7,4829.0,4829.0,0.0
12/11/02,12/17/02,7,4830.0,4830.0,0.0
12/18/02,12/26/02,9,4831.0,4831.0,0.0
12/27/02,1/1/03,6,4832.0,4832.0,0.0
1/2/03,1/7/03,6,4833.0,4833.0,0.0
1/8/03,1/16/03,9,4834.0,4834.0,0.0
1/17/03,1/26/03,10,4835.0,4835.0,0.0
1/27/03,2/5/03,10,4836.0,4836.0,0.0
2/6/03,2/15/03,10,4837.0,4837.0,0.0
2/16/03,2/24/03,9,4838.0,4838.0,0.0
2/25/03,3/5/03,9,4839.0,4839.0,0.0
3/6/03,3/17/03,12,4840.0,4840.0,0.0
3/18/03,6/9/03,84,4841.0,4827.0,-0.0028919644701507954
6/10/03,7/28/03,49,4828.0,4823.0,-0.001035625517812759
7/29/03,11/13/03,108,4824.0,4820.0,-0.0008291873963515755
11/14/03,11/20/03,7,4821.0,4821.0,0.0
11/21/03,11/25/03,5,4822.0,4822.0,0.0
11/26/03,12/1/03,6,4823.0,4823.0,0.0
12/21/03,12/25/03,5,4829.0,4829.0,0.0
12/26/03,12/30/03,5,4830.0,4830.0,0.0
12/31/03,1/4/04,5,4831.0,4831.0,0.0
1/5/04,1/9/04,5,4832.0,4832.0,0.0
1/10/04,1/15/04,6,4833.0,4833.0,0.0
1/16/04,1/22/04,7,4834.0,4834.0,0.0
1/23/04,1/29/04,7,4835.0,4835.0,0.0
1/30/04,2/4/04,6,4836.0,4836.0,0.0
2/5/04,2/13/04,9,4837.0,4837.0,0.0
2/14/04,2/19/04,6,4838.0,4838.0,0.0
2/20/04,2/26/04,7,4839.0,4839.0,0.0
2/27/04,3/3/04,6,4840.0,4840.0,0.0
3/4/04,3/11/04,8,4841.0,4841.0,0.0
3/12/04,4/3/04,23,4842.0,4841.0,-0.00020652622883106156
4/4/04,7/10/04,98,4842.0,4833.0,-0.0018587360594795538
7/11/04,8/6/04,27,4834.0,4834.0,0.0
8/11/04,8/19/04,9,4836.0,4836.0,0.0
8/20/04,11/17/04,90,4837.0,4835.0,-0.0004134794293983874
11/18/04,11/22/04,5,4836.0,4836.0,0.0
11/23/04,11/29/04,7,4837.0,4837.0,0.0
11/30/04,12/7/04,8,4838.0,4838.0,0.0
12/8/04,12/14/04,7,4839.0,4839.0,0.0
12/15/04,12/21/04,7,4840.0,4840.0,0.0
12/22/04,1/1/05,11,4841.0,4841.0,0.0
1/2/05,1/11/05,10,4842.0,4842.0,0.0
1/12/05,1/18/05,7,4843.0,4843.0,0.0
1/19/05,1/27/05,9,4844.0,4844.0,0.0
1/28/05,2/3/05,7,4845.0,4845.0,0.0
2/4/05,2/10/05,7,4846.0,4846.0,0.0
2/11/05,2/16/05,6,4847.0,4847.0,0.0
2/21/05,2/26/05,6,4849.0,4849.0,0.0
2/27/05,3/3/05,5,4850.0,4850.0,0.0
3/4/05,6/2/05,91,4851.0,4846.0,-0.0010307153164296021
6/7/05,8/13/05,68,4848.0,4836.0,-0.0024752475247524753
8/14/05,10/29/05,77,4837.0,4832.0,-0.0010336985734959686
11/3/05,11/16/05,14,4833.0,4833.0,0.0
12/3/05,12/8/05,6,4838.0,4838.0,0.0
12/9/05,12/13/05,5,4839.0,4839.0,0.0
12/14/05,12/19/05,6,4840.0,4840.0,0.0
12/28/05,1/1/06,5,4843.0,4843.0,0.0
1/2/06,1/7/06,6,4844.0,4844.0,0.0
1/8/06,1/14/06,7,4845.0,4845.0,0.0
1/15/06,1/20/06,6,4846.0,4846.0,0.0
1/21/06,1/26/06,6,4847.0,4847.0,0.0
1/27/06,2/1/06,6,4848.0,4848.0,0.0
2/2/06,2/8/06,7,4849.0,4849.0,0.0
2/9/06,2/13/06,5,4850.0,4850.0,0.0
2/14/06,2/18/06,5,4851.0,4851.0,0.0
2/19/06,2/25/06,7,4852.0,4852.0,0.0
2/26/06,3/4/06,7,4853.0,4853.0,0.0
3/5/06,3/24/06,20,4854.0,4854.0,0.0
3/25/06,3/30/06,6,4855.0,4855.0,0.0
3/31/06,7/5/06,97,4856.0,4844.0,-0.002471169686985173
7/9/06,8/25/06,48,4846.0,4844.0,-0.0004127115146512588
8/26/06,11/15/06,82,4845.0,4841.0,-0.000825593395252838
11/16/06,11/20/06,5,4842.0,4842.0,0.0
11/21/06,11/25/06,5,4843.0,4843.0,0.0
11/26/06,12/1/06,6,4844.0,4844.0,0.0
12/10/06,12/14/06,5,4847.0,4847.0,0.0
12/15/06,12/19/06,5,4848.0,4848.0,0.0
12/20/06,12/24/06,5,4849.0,4849.0,0.0
12/29/06,1/3/07,6,4851.0,4851.0,0.0
1/4/07,1/8/07,5,4852.0,4852.0,0.0
1/13/07,1/19/07,7,4854.0,4854.0,0.0
2/1/07,2/5/07,5,4858.0,4858.0,0.0
2/13/07,2/17/07,5,4861.0,4861.0,0.0
2/26/07,3/7/07,10,4864.0,4864.0,0.0
3/8/07,3/29/07,22,4865.0,4865.0,0.0
3/30/07,4/7/07,9,4866.0,4865.0,-0.0002055076037813399
4/8/07,4/15/07,8,4866.0,4865.0,-0.0002055076037813399
4/16/07,5/13/07,28,4866.0,4864.0,-0.0004110152075626798
5/14/07,5/22/07,9,4865.0,4864.0,-0.00020554984583761563
5/23/07,5/30/07,8,4865.0,4865.0,0.0
5/31/07,6/10/07,11,4866.0,4864.0,-0.0004110152075626798
