Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/97,1/10/97,10,8894.0,8894.0,0.0
1/11/97,2/3/97,24,8895.0,8895.0,0.0
2/4/97,3/13/97,38,8896.0,8896.0,0.0
3/14/97,3/21/97,8,8897.0,8897.0,0.0
3/25/97,3/29/97,5,8899.0,8899.0,0.0
3/30/97,4/3/97,5,8900.0,8900.0,0.0
4/4/97,4/9/97,6,8901.0,8901.0,0.0
4/10/97,4/16/97,7,8902.0,8902.0,0.0
5/16/97,5/29/97,14,8927.0,8926.0,-0.0001120197154699227
5/30/97,6/28/97,30,8927.0,8926.0,-0.0001120197154699227
6/29/97,7/23/97,25,8927.0,8925.0,-0.0002240394309398454
7/28/97,10/2/97,67,8926.0,8903.0,-0.002576742101725297
10/3/97,10/12/97,10,8904.0,8904.0,0.0
10/13/97,10/19/97,7,8905.0,8905.0,0.0
10/20/97,11/21/97,33,8906.0,8905.0,-0.00011228385358185493
11/22/97,11/28/97,7,8906.0,8906.0,0.0
11/29/97,12/6/97,8,8907.0,8907.0,0.0
12/7/97,12/16/97,10,8908.0,8908.0,0.0
12/17/97,12/29/97,13,8909.0,8909.0,0.0
12/30/97,1/14/98,16,8910.0,8910.0,0.0
1/17/98,2/7/98,22,8911.0,8911.0,0.0
2/8/98,3/14/98,35,8912.0,8912.0,0.0
3/15/98,3/25/98,11,8913.0,8913.0,0.0
3/26/98,4/7/98,13,8914.0,8914.0,0.0
4/8/98,4/15/98,8,8915.0,8915.0,0.0
4/16/98,4/23/98,8,8916.0,8916.0,0.0
5/9/98,5/18/98,10,8926.0,8926.0,0.0
5/19/98,5/26/98,8,8927.0,8926.0,-0.0001120197154699227
5/27/98,6/21/98,26,8927.0,8926.0,-0.0001120197154699227
6/22/98,10/8/98,109,8927.0,8872.0,-0.006161084350845749
10/9/98,10/24/98,16,8873.0,8872.0,-0.00011270145384875464
10/31/98,11/5/98,6,8875.0,8875.0,0.0
11/6/98,11/13/98,8,8876.0,8876.0,0.0
11/14/98,11/21/98,8,8877.0,8877.0,0.0
11/22/98,12/2/98,11,8878.0,8878.0,0.0
12/3/98,3/20/99,108,8879.0,8876.0,-0.0003378758869242032
4/1/99,4/8/99,8,8880.0,8880.0,0.0
4/9/99,4/15/99,7,8881.0,8881.0,0.0
6/8/99,6/12/99,5,8927.0,8926.0,-0.0001120197154699227
6/17/99,6/29/99,13,8927.0,8926.0,-0.0001120197154699227
6/30/99,7/26/99,27,8927.0,8922.0,-0.0005600985773496135
7/30/99,8/3/99,5,8924.0,8923.0,-0.00011205737337516809
8/4/99,8/11/99,6,8924.0,8924.0,0.0
8/12/99,11/10/99,91,8925.0,8900.0,-0.0028011204481792717
11/11/99,11/29/99,19,8901.0,8901.0,0.0
11/30/99,12/12/99,13,8902.0,8902.0,0.0
12/13/99,5/16/00,129,8903.0,8902.0,-0.00011232168931820734
5/17/00,5/22/00,6,8926.0,8926.0,0.0
5/29/00,6/3/00,6,8927.0,8926.0,-0.0001120197154699227
6/4/00,9/17/00,95,8927.0,8882.0,-0.005040887196146522
9/18/00,9/25/00,8,8883.0,8882.0,-0.00011257458065968704
9/29/00,11/9/00,42,8883.0,8881.0,-0.00022514916131937407
11/10/00,3/25/01,136,8882.0,8877.0,-0.0005629362756136005
3/26/01,4/1/01,7,8878.0,8877.0,-0.00011263798152737103
4/2/01,4/16/01,15,8878.0,8878.0,0.0
5/25/01,6/18/01,25,8927.0,8925.0,-0.0002240394309398454
6/19/01,10/20/01,124,8926.0,8870.0,-0.006273806856374636
10/21/01,10/27/01,7,8871.0,8871.0,0.0
10/28/01,11/6/01,10,8872.0,8872.0,0.0
11/7/01,12/16/01,40,8873.0,8873.0,0.0
12/21/01,12/25/01,5,8874.0,8873.0,-0.0001126887536623845
12/26/01,3/1/02,66,8874.0,8870.0,-0.000450755014649538
3/2/02,3/23/02,21,8872.0,8869.0,-0.00033814247069431923
3/24/02,3/29/02,6,8870.0,8870.0,0.0
5/21/02,5/26/02,6,8906.0,8906.0,0.0
6/7/02,9/10/02,96,8913.0,8859.0,-0.006058566139347021
9/11/02,10/4/02,24,8860.0,8854.0,-0.0006772009029345372
10/5/02,10/12/02,8,8855.0,8855.0,0.0
10/13/02,10/17/02,5,8856.0,8856.0,0.0
10/18/02,10/25/02,8,8857.0,8855.0,-0.00022581009371118888
11/2/02,11/7/02,6,8858.0,8858.0,0.0
11/8/02,11/12/02,5,8859.0,8859.0,0.0
11/13/02,11/17/02,5,8860.0,8860.0,0.0
11/22/02,11/27/02,6,8862.0,8862.0,0.0
11/28/02,12/2/02,5,8863.0,8863.0,0.0
12/3/02,12/11/02,9,8864.0,8864.0,0.0
12/12/02,12/19/02,8,8865.0,8865.0,0.0
