Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/97,3/28/97,87,9299.4,9296.2,-0.00034410822203571293
4/1/97,4/20/97,20,9296.4,9294.8,-0.00017210963383679315
4/21/97,4/27/97,7,9295.0,9294.6,-4.3033889187696204e-05
4/28/97,5/4/97,7,9294.8,9294.6,-2.1517407582617014e-05
6/27/97,7/4/97,8,9328.0,9327.2,-8.576329331038512e-05
7/5/97,10/18/97,106,9327.4,9312.6,-0.0015867229881852685
10/31/97,11/5/97,6,9313.4,9313.4,0.0
11/6/97,11/11/97,6,9313.6,9313.6,0.0
11/14/97,11/18/97,5,9313.8,9313.6,-2.1473512422309756e-05
11/19/97,11/30/97,12,9313.8,9313.8,0.0
12/1/97,12/9/97,9,9314.0,9313.8,-2.1473051320670775e-05
12/10/97,12/23/97,14,9314.0,9313.8,-2.1473051320670775e-05
12/24/97,1/6/98,14,9314.0,9313.6,-4.294610264114625e-05
1/7/98,5/3/98,117,9313.8,9311.4,-0.0002576821490690842
5/6/98,5/10/98,5,9312.0,9312.0,0.0
7/10/98,9/30/98,83,9323.0,9309.8,-0.001415853266116135
10/1/98,11/2/98,33,9310.0,9308.0,-0.00021482277121374866
11/3/98,3/22/99,140,9308.2,9303.0,-0.0005586472142842577
3/29/99,4/7/99,10,9303.6,9303.6,0.0
4/8/99,4/12/99,5,9303.8,9303.8,0.0
4/13/99,4/20/99,8,9304.0,9303.2,-8.598452278582034e-05
4/21/99,4/28/99,8,9303.4,9303.4,0.0
4/29/99,5/9/99,11,9303.6,9303.4,-2.1497054903556427e-05
7/2/99,7/6/99,5,9327.6,9327.4,-2.1441742784931558e-05
7/7/99,8/10/99,35,9327.6,9325.6,-0.00021441742784853552
8/11/99,2/10/00,184,9325.8,9312.2,-0.0014583199296573533
2/11/00,4/9/00,59,9312.4,9310.2,-0.00023624414758804482
4/10/00,4/16/00,7,9310.4,9310.0,-4.296270836909652e-05
6/6/00,10/27/00,144,9326.8,9306.8,-0.002144358193592658
10/28/00,11/4/00,8,9307.0,9307.0,0.0
11/5/00,1/13/01,70,9307.2,9306.0,-0.00012893243940183166
1/14/01,4/2/01,79,9306.2,9305.0,-0.0001289462938686819
4/7/01,4/16/01,10,9305.4,9305.4,0.0
4/20/01,4/24/01,5,9306.0,9305.8,-2.1491510853291165e-05
6/13/01,8/13/01,62,9321.6,9313.2,-0.0009011328527291061
8/14/01,10/21/01,69,9313.4,9306.6,-0.0007301307793071566
10/22/01,10/29/01,8,9306.8,9306.6,-2.1489663471752765e-05
10/30/01,11/6/01,8,9306.8,9306.8,0.0
11/7/01,1/15/02,70,9307.0,9306.4,-6.446760502851228e-05
1/16/02,3/7/02,51,9306.6,9305.4,-0.00012894075172466073
3/8/02,3/29/02,22,9305.6,9305.2,-4.298486932595815e-05
4/21/02,4/26/02,6,9307.6,9307.6,0.0
5/9/02,5/13/02,5,9308.8,9308.8,0.0
5/24/02,5/29/02,6,9310.0,9309.8,-2.1482277121453018e-05
6/4/02,11/21/02,171,9310.4,9289.0,-0.002298504897748715
11/22/02,3/25/03,124,9289.2,9286.6,-0.00027989493174873653
3/26/03,4/12/03,18,9286.8,9286.4,-4.3071886979329395e-05
5/1/03,5/12/03,12,9289.8,9289.6,-2.1528988783279363e-05
6/24/03,9/6/03,75,9316.6,9308.0,-0.0009230835283258231
9/18/03,10/2/03,15,9309.2,9309.0,-2.1484123233009022e-05
10/3/03,10/10/03,8,9309.2,9309.2,0.0
10/11/03,10/18/03,8,9309.4,9309.4,0.0
10/19/03,10/28/03,10,9309.6,9309.6,0.0
10/29/03,11/5/03,8,9309.8,9309.8,0.0
11/6/03,11/10/03,5,9310.0,9310.0,0.0
11/11/03,11/16/03,6,9310.2,9310.2,0.0
11/17/03,12/2/03,16,9310.4,9310.4,0.0
12/3/03,12/16/03,14,9310.6,9310.6,0.0
12/17/03,1/1/04,16,9310.8,9310.8,0.0
1/2/04,1/17/04,16,9311.0,9311.0,0.0
1/18/04,2/8/04,22,9311.2,9311.2,0.0
2/9/04,2/18/04,10,9311.4,9311.2,-2.1479047189349466e-05
2/19/04,3/11/04,22,9311.4,9311.4,0.0
3/12/04,3/20/04,9,9311.6,9311.6,0.0
4/22/04,4/27/04,6,9314.6,9314.6,0.0
4/28/04,5/2/04,5,9314.8,9314.8,0.0
6/18/04,6/29/04,12,9325.8,9325.4,-4.289176263694656e-05
6/30/04,10/21/04,114,9325.6,9306.6,-0.0020374024191472935
10/22/04,10/27/04,6,9306.8,9306.8,0.0
10/28/04,11/7/04,11,9307.0,9307.0,0.0
11/8/04,11/16/04,9,9307.2,9307.2,0.0
11/17/04,11/25/04,9,9307.4,9307.4,0.0
11/26/04,12/9/04,14,9307.6,9307.6,0.0
12/10/04,12/17/04,8,9307.8,9307.8,0.0
12/22/04,12/29/04,8,9308.0,9307.8,-2.1486892995351053e-05
12/30/04,1/5/05,7,9308.0,9308.0,0.0
1/10/05,1/25/05,16,9308.4,9308.4,0.0
1/26/05,2/1/05,7,9308.6,9308.6,0.0
2/2/05,2/18/05,17,9308.8,9308.8,0.0
2/19/05,3/10/05,20,9309.0,9309.0,0.0
3/11/05,4/7/05,28,9309.2,9309.0,-2.1484123233009022e-05
4/10/05,4/18/05,9,9309.4,9309.2,-2.1483661675178703e-05
4/27/05,5/18/05,22,9310.0,9309.0,-0.00010741138560687433
7/2/05,10/14/05,105,9325.0,9310.0,-0.0016085790884718498
10/28/05,11/2/05,6,9311.0,9311.0,0.0
11/3/05,11/10/05,8,9311.2,9311.2,0.0
11/11/05,11/25/05,15,9311.4,9311.2,-2.1479047189349466e-05
11/30/05,1/1/06,33,9311.4,9311.2,-2.1479047189349466e-05
1/2/06,1/20/06,19,9311.4,9311.2,-2.1479047189349466e-05
1/21/06,1/28/06,8,9311.4,9311.2,-2.1479047189349466e-05
1/29/06,2/3/06,6,9311.4,9311.2,-2.1479047189349466e-05
