Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/97,1/20/97,20,1213.6,1199.0,-0.012030323005932687
1/28/97,2/2/97,6,1200.2,1198.2,-0.0016663889351774704
2/4/97,2/10/97,7,1198.6,1195.6,-0.002502920073418989
2/11/97,2/15/97,5,1195.8,1195.0,-0.000669008195350355
2/22/97,2/26/97,5,1195.2,1194.8,-0.00033467202141908547
3/7/97,3/13/97,7,1198.8,1198.4,-0.00033366700033355323
3/16/97,3/23/97,8,1199.0,1198.0,-0.0008340283569641367
3/26/97,3/31/97,6,1198.6,1198.0,-0.0005005840146837219
4/29/97,5/3/97,5,1209.2,1208.8,-0.00033079722130341626
5/6/97,5/19/97,14,1209.6,1209.0,-0.0004960317460316709
5/26/97,5/30/97,5,1209.4,1209.0,-0.0003307425169506292
6/7/97,6/23/97,17,1209.2,1208.8,-0.00033079722130341626
6/24/97,7/2/97,9,1209.0,1208.8,-0.0001654259718776224
7/11/97,7/19/97,9,1209.2,1208.6,-0.0004961958319551244
7/26/97,7/31/97,6,1209.2,1208.6,-0.0004961958319551244
8/1/97,8/5/97,5,1208.8,1208.6,-0.0001654533421575492
8/7/97,8/11/97,5,1209.0,1209.0,0.0
8/12/97,8/17/97,6,1209.2,1209.0,-0.00016539861065170813
8/20/97,8/25/97,6,1209.2,1209.0,-0.00016539861065170813
8/26/97,9/1/97,7,1209.2,1208.8,-0.00033079722130341626
9/2/97,9/8/97,7,1209.0,1209.0,0.0
9/9/97,9/14/97,6,1209.2,1208.8,-0.00033079722130341626
9/15/97,9/20/97,6,1209.0,1208.8,-0.0001654259718776224
9/25/97,9/29/97,5,1209.2,1209.0,-0.00016539861065170813
9/30/97,10/7/97,8,1209.2,1209.0,-0.00016539861065170813
10/8/97,10/30/97,23,1209.2,1204.2,-0.004134965266291763
10/31/97,11/12/97,13,1204.4,1198.6,-0.004815675855197759
11/19/97,11/23/97,5,1199.8,1198.2,-0.0013335555925986908
11/30/97,12/4/97,5,1198.6,1198.2,-0.0003337226764557514
12/8/97,12/15/97,8,1198.8,1198.2,-0.0005005005005004246
12/18/97,12/24/97,7,1198.6,1198.2,-0.0003337226764557514
12/27/97,1/1/98,6,1198.4,1198.2,-0.0001668891855808123
1/3/98,1/11/98,9,1199.2,1198.2,-0.0008338892595063375
1/19/98,1/25/98,7,1200.8,1198.4,-0.001998667554963244
2/7/98,2/18/98,12,1214.0,1205.6,-0.006919275123558559
