Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference
1/1/07,3/27/07,86,4215.0,4213.0,-0.00047449584816132857
3/28/07,4/10/07,14,4214.0,4214.0,0.0
4/11/07,9/19/07,162,4215.0,4210.0,-0.0011862396204033216
9/20/07,9/27/07,8,4211.0,4210.0,-0.00023747328425552126
9/28/07,12/26/07,90,4211.0,4211.0,0.0
12/27/07,2/25/08,61,4212.0,4212.0,0.0
2/26/08,4/15/08,50,4213.0,4212.0,-0.00023736055067647758
4/16/08,5/3/08,18,4213.0,4213.0,0.0
5/4/08,12/6/08,217,4214.0,4213.0,-0.00023730422401518748
12/7/08,12/18/08,12,4214.0,4213.0,-0.00023730422401518748
12/19/08,1/20/09,33,4214.0,4214.0,0.0
1/21/09,2/3/09,14,4215.0,4215.0,0.0
2/4/09,2/16/09,13,4216.0,4216.0,0.0
2/17/09,3/1/09,13,4217.0,4217.0,0.0
3/2/09,3/11/09,10,4218.0,4218.0,0.0
3/12/09,3/22/09,11,4219.0,4219.0,0.0
3/23/09,4/4/09,13,4220.0,4220.0,0.0
4/5/09,4/14/09,10,4221.0,4221.0,0.0
4/15/09,4/20/09,6,4222.0,4222.0,0.0
4/21/09,4/28/09,8,4223.0,4223.0,0.0
4/29/09,5/4/09,6,4224.0,4224.0,0.0
5/5/09,5/10/09,6,4225.0,4225.0,0.0
5/11/09,5/24/09,14,4226.0,4226.0,0.0
5/25/09,10/18/09,147,4227.0,4223.0,-0.0009462976105985332
10/19/09,3/14/10,147,4224.0,4223.0,-0.00023674242424242425
3/15/10,4/22/10,39,4224.0,4224.0,0.0
4/23/10,5/6/10,14,4225.0,4225.0,0.0
5/7/10,12/13/10,221,4226.0,4222.0,-0.000946521533364884
12/14/10,2/1/11,50,4223.0,4222.0,-0.00023679848448969926
2/2/11,4/5/11,63,4223.0,4222.0,-0.00023679848448969926
4/6/11,4/25/11,20,4223.0,4223.0,0.0
4/26/11,5/31/11,36,4224.0,4224.0,0.0
6/1/11,7/1/11,31,4225.0,4224.0,-0.00023668639053254438
7/2/11,7/8/11,7,4225.0,4225.0,0.0
7/9/11,1/20/12,196,4226.0,4224.0,-0.000473260766682442
1/21/12,4/29/12,100,4225.0,4224.0,-0.00023668639053254438
4/30/12,3/19/13,324,4225.0,4219.0,-0.0014201183431952662
3/20/13,5/20/13,62,4220.0,4219.0,-0.00023696682464454977
5/21/13,2/11/14,267,4220.0,4213.0,-0.0016587677725118483
2/12/14,3/3/14,20,4214.0,4214.0,0.0
3/4/14,4/3/14,31,4215.0,4215.0,0.0
4/4/14,5/5/14,32,4216.0,4216.0,0.0
5/6/14,8/21/14,108,4217.0,4214.0,-0.0007114062129475931
8/22/14,9/27/14,37,4215.0,4214.0,-0.00023724792408066428
9/28/14,2/15/15,141,4215.0,4214.0,-0.00023724792408066428
2/16/15,5/20/15,94,4215.0,4215.0,0.0
5/21/15,5/29/15,9,4216.0,4216.0,0.0
5/30/15,1/19/16,235,4217.0,4214.0,-0.0007114062129475931
1/20/16,2/27/16,39,4215.0,4215.0,0.0
2/28/16,3/18/16,20,4216.0,4216.0,0.0
3/19/16,4/8/16,21,4217.0,4217.0,0.0
4/9/16,4/17/16,9,4218.0,4218.0,0.0
4/18/16,4/24/16,7,4219.0,4219.0,0.0
4/25/16,4/30/16,6,4220.0,4220.0,0.0
5/1/16,5/10/16,10,4221.0,4221.0,0.0
5/11/16,5/19/16,9,4222.0,4222.0,0.0
5/20/16,5/25/16,6,4223.0,4223.0,0.0
5/26/16,9/21/16,119,4224.0,4219.0,-0.0011837121212121212
9/22/16,1/14/17,115,4220.0,4220.0,0.0
1/15/17,1/27/17,13,4221.0,4221.0,0.0
1/28/17,2/6/17,10,4222.0,4222.0,0.0
2/7/17,2/13/17,7,4223.0,4223.0,0.0
2/14/17,2/19/17,6,4224.0,4224.0,0.0
2/20/17,2/26/17,7,4225.0,4225.0,0.0
2/27/17,3/4/17,6,4226.0,4225.0,-0.000236630383341221
3/5/17,4/18/17,45,4226.0,4225.0,-0.000236630383341221
4/19/17,5/5/17,17,4226.0,4226.0,0.0
5/6/17,5/13/17,8,4227.0,4227.0,0.0
5/14/17,11/16/17,187,4228.0,4222.0,-0.0014191106906338694
11/19/17,1/16/18,59,4223.0,4222.0,-0.00023679848448969926
1/17/18,3/16/18,59,4223.0,4223.0,0.0
3/17/18,4/6/18,21,4224.0,4224.0,0.0
4/7/18,11/23/18,231,4225.0,4218.0,-0.0016568047337278107
11/24/18,11/28/18,5,4219.0,4218.0,-0.00023702299123014932
11/29/18,12/11/18,13,4219.0,4218.0,-0.00023702299123014932
12/12/18,1/4/19,24,4219.0,4218.0,-0.00023702299123014932
1/5/19,2/16/19,43,4219.0,4219.0,0.0
2/17/19,3/12/19,24,4220.0,4220.0,0.0
3/13/19,3/23/19,11,4221.0,4221.0,0.0
3/24/19,3/31/19,8,4222.0,4222.0,0.0
4/1/19,4/6/19,6,4223.0,4223.0,0.0
4/7/19,4/13/19,7,4224.0,4224.0,0.0
4/14/19,4/28/19,15,4225.0,4225.0,0.0
5/1/19,5/19/19,19,4226.0,4226.0,0.0
5/20/19,5/26/19,7,4227.0,4227.0,0.0
5/27/19,10/13/19,140,4228.0,4223.0,-0.0011825922421948912
10/14/19,11/26/19,44,4224.0,4224.0,0.0
11/27/19,3/23/20,118,4225.0,4225.0,0.0
3/24/20,4/26/20,34,4226.0,4225.0,-0.000236630383341221
