Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
4/17/97,4/23/97,2,4774.8,4774.0,-0.8000000000001819
5/14/98,5/26/98,3,4774.4,4774.2,-0.1999999999998181
6/25/98,7/27/98,4,4774.4,4768.0,-6.399999999999636
7/31/98,9/7/98,4,4768.4,4758.4,-10.0
8/28/00,8/30/00,3,4746.0,4745.0,-1.0
11/10/01,2/28/02,3,4745.0,4734.6,-10.399999999999636
5/20/04,5/21/04,2,4751.8,4751.6,-0.1999999999998181
6/8/04,6/9/04,2,4753.2,4753.0,-0.1999999999998181
9/1/04,9/2/04,2,4745.6,4745.4,-0.2000000000007276
9/28/04,9/29/04,2,4745.6,4745.4,-0.2000000000007276
10/24/04,10/27/04,4,4745.6,4745.4,-0.2000000000007276
10/28/04,10/30/04,3,4745.6,4745.4,-0.2000000000007276
11/11/04,11/14/04,4,4745.6,4745.4,-0.2000000000007276
11/17/04,11/19/04,3,4745.6,4745.4,-0.2000000000007276
11/24/04,11/25/04,2,4745.6,4745.4,-0.2000000000007276
11/29/04,11/30/04,2,4745.6,4745.4,-0.2000000000007276
12/8/04,12/9/04,2,4745.6,4745.4,-0.2000000000007276
12/14/04,12/15/04,2,4745.6,4745.4,-0.2000000000007276
12/18/04,12/19/04,2,4745.6,4745.4,-0.2000000000007276
12/29/04,12/30/04,2,4745.6,4745.4,-0.2000000000007276
1/5/05,1/7/05,3,4745.6,4745.4,-0.2000000000007276
5/16/05,5/17/05,2,4774.8,4774.4,-0.4000000000005457
5/21/05,5/23/05,3,4775.4,4774.4,-1.0
6/10/05,6/11/05,2,4776.0,4775.8,-0.1999999999998181
1/5/06,1/6/06,2,4773.0,4772.8,-0.1999999999998181
2/28/06,3/1/06,2,4773.4,4773.0,-0.3999999999996362
5/25/06,5/27/06,3,4774.8,4774.4,-0.4000000000005457
2/28/07,3/2/07,3,4772.4,4772.2,-0.1999999999998181
3/25/07,3/26/07,2,4773.6,4773.2,-0.4000000000005457
5/6/07,5/9/07,4,4774.2,4774.0,-0.1999999999998181
12/21/07,12/22/07,2,4754.4,4754.2,-0.1999999999998181
1/2/08,1/4/08,3,4755.0,4754.8,-0.1999999999998181
1/18/08,1/20/08,3,4755.8,4755.4,-0.4000000000005457
1/30/08,1/31/08,2,4756.6,4756.4,-0.2000000000007276
5/1/08,5/3/08,3,4769.0,4768.8,-0.1999999999998181
5/4/08,5/5/08,2,4769.0,4768.8,-0.1999999999998181
5/11/08,5/13/08,3,4769.0,4768.2,-0.8000000000001819
8/29/08,8/31/08,3,4746.0,4745.6,-0.3999999999996362
9/10/08,9/11/08,2,4745.8,4745.4,-0.4000000000005457
9/13/08,9/15/08,3,4745.8,4745.6,-0.1999999999998181
10/11/08,10/14/08,4,4745.4,4745.2,-0.1999999999998181
10/30/08,10/31/08,2,4745.6,4745.4,-0.2000000000007276
11/9/08,11/12/08,4,4745.4,4745.2,-0.1999999999998181
10/16/12,10/17/12,2,4745.6,4745.4,-0.2000000000007276
2/19/17,2/20/17,2,4774.0,4772.8,-1.199999999999818
3/5/17,3/7/17,3,4771.2,4771.0,-0.1999999999998181
3/22/17,3/25/17,4,4773.4,4773.2,-0.1999999999998181
5/21/17,5/24/17,4,4773.8,4773.6,-0.1999999999998181
9/30/18,10/1/18,2,4746.6,4746.4,-0.2000000000007276
5/30/19,6/2/19,4,4773.8,4773.4,-0.4000000000005457
