Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,9,0.5452054794520548,22.11111111111111,18.829317828231144,-0.0015646549101505482,0.001828220967813889,-0.5905661545245038,0.7297176236052891,-6.739999999999782
1998,13,0.4821917808219178,13.538461538461538,16.64385026005972,-0.001099416229845592,0.0028992168074315006,-0.35860381448616635,0.5115222614017223,-7.959999999999127
1999,8,0.4054794520547945,18.5,17.549928774784245,-0.00115392644447633,0.001902557712852167,-0.2122500870776567,0.29048324178455764,-1.8800000000001091
2000,8,0.40273972602739727,18.375,19.68462280563181,-0.002151569585263398,0.00385379778439104,-0.3463517992424209,0.4236834363268616,-5.3200000000006185
2001,6,0.32602739726027397,19.833333333333332,25.686680508690795,-0.002323772336689661,0.0038522293215070363,-0.7176510721247688,0.5418748628954034,-5.359999999999673
2002,3,0.2273972602739726,27.666666666666668,26.411277052720404,-0.0038465115277104187,0.005395668277020115,-0.40234788359786816,0.5330956005208486,-4.780000000000655
2003,6,0.2876712328767123,17.5,20.385861113363188,-0.0019183686538855338,0.004028105672244707,-0.2791944017750316,0.40998168318104167,-4.139999999999418
2004,8,0.37534246575342467,17.125,16.728998027377493,-0.0017316279188446023,0.0035309102945430076,-0.3736826243683763,0.46653086323771464,-4.900000000000546
2005,14,0.5698630136986301,14.857142857142858,14.436348681896892,-0.0022751658040868895,0.0026868936034807967,-1.2451187099709429,1.526198473296726,-47.94000000000051
2006,7,0.4958904109589041,25.857142857142858,20.985903918232975,-0.002845000111041065,0.0036781075007230237,-0.5870795870795795,0.6167560698407657,-6.510000000000218
2007,8,0.4438356164383562,20.25,20.085753657754545,-0.002040794901499798,0.0035341555426058194,-0.5929166666666698,0.7099766804139003,-4.580000000000837
2008,12,0.5205479452054794,15.833333333333334,12.694049349553076,-0.0011884929244828457,0.0016183567853724967,-0.4852352649608887,0.4533846957664923,-9.320000000000618
2009,11,0.4767123287671233,15.818181818181818,14.596501335582763,-0.0018921309198082013,0.003425418824612381,-0.6769647524192851,0.8071357268451228,-6.769999999999527
2010,13,0.5561643835616439,15.615384615384615,14.814434029732686,-0.0015581939710433345,0.0025576654496483873,-0.6606174895993464,0.7300930845844703,-6.0600000000004
2011,11,0.4383561643835616,14.545454545454545,18.381629348908685,-0.0013397733262778026,0.003181105662344414,-0.4092323546420946,0.42822682417065044,-7.960000000000036
2012,11,0.4602739726027397,15.272727272727273,20.560734462875896,-0.0017031045399769388,0.003697696513828493,-0.5405804884286072,0.3850399625266226,-8.139999999999418
2013,13,0.4657534246575342,13.076923076923077,12.275438506731414,-0.0012666030841246257,0.0029073132490233123,-0.31976265614725913,0.3848629271063318,-7.039999999999964
2014,10,0.4301369863013699,15.7,17.146719802924405,-0.0016080447987171485,0.0025824371571691886,-0.5100664998957634,0.36264461605964093,-4.109999999999673
2015,15,0.5589041095890411,13.6,22.63566507380186,-0.000735078049999021,0.0022741709048143856,-0.16011574755903984,0.19654828354806897,-1.3400000000001455
2016,6,0.3561643835616438,21.666666666666668,27.108834148463277,-0.00295833852115461,0.004490097355017274,-0.923053181386511,1.1509456186709959,-7.279999999999745
2017,9,0.4,16.22222222222222,20.53602675937408,-0.0017976547335695333,0.0042418447294673605,-0.3636430625015214,0.3772070503813937,-15.989999999999782
2018,5,0.273972602739726,20.0,21.090282122342508,-0.002016625731278929,0.003923824046454369,-0.24432256996193571,0.39973938698719325,-2.5399999999999636
2019,14,0.42191780821917807,11.0,8.211490207542807,-0.0018381402278801293,0.0037564837430861427,-0.7003820552207796,0.8748790479834971,-65.09999999999945
2020,9,0.3150684931506849,12.777777777777779,16.10919528839061,-0.0012930625069275962,0.00338164226000131,-0.25102014294995595,0.3557811091107986,-26.82000000000062
2021,1,0.0136986301369863,5.0,0.0,-0.0014698983580922027,0.0,-2.349999999999909,0.0,-5.039999999999964
