Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,8,0.5561643835616439,25.375,25.114425635478906,-0.0015276701410195524,0.0020682518496952,-0.292018700303771,0.4527637582435967,-41.48999999999978
1998,8,0.4191780821917808,19.125,20.66662466393581,-0.0017625304211509145,0.0034977145651595366,-0.35787516601371233,0.6374366314924619,-69.10000000000036
1999,3,0.3041095890410959,37.0,27.796882319185844,-0.0029063027540466957,0.0021109492608735194,-0.42305542434259014,0.34438553739297445,-31.81999999999971
2000,5,0.3835616438356164,28.0,23.83275057562597,-0.003233850656038825,0.004432220515093324,-0.36760228758168356,0.46545524418,-72.90999999999985
2001,4,0.3232876712328767,29.5,34.93207694941714,-0.002954121523853232,0.004917600155982762,-0.2659706616728958,0.41843329952853303,-73.81999999999971
2002,1,0.1780821917808219,65.0,0.0,-0.011477209983311516,0.0,-1.15625,0.0,-74.0
2003,2,0.2,36.5,24.5,-0.005653370933074509,0.00518787232022913,-0.7184090909091269,0.4465909090908823,-69.90000000000055
2004,4,0.26301369863013696,24.0,21.563858652847824,-0.003128412116175031,0.00442459168311064,-0.46334523809525985,0.5967808487020491,-68.55999999999949
2005,11,0.589041095890411,19.545454545454547,15.107876551133767,-0.0015579136628104423,0.002543987906857912,-0.3098380003834708,0.47728363802612334,-49.73999999999978
2006,6,0.473972602739726,28.833333333333332,21.70573400944757,-0.003008684606235153,0.0036039594391161856,-0.3921370573870739,0.565906607191336,-67.97999999999956
2007,4,0.34794520547945207,31.75,24.324627438051337,-0.0035198733135737427,0.0044173119820986925,-0.48403409090912847,0.35176209885889764,-71.51999999999953
2008,13,0.5095890410958904,14.307692307692308,11.899480372524453,-0.0007679571933071693,0.001613419570911102,-0.18540329014638676,0.39753567442703786,-39.159999999999854
2009,10,0.5835616438356165,21.3,16.61956678135745,-0.002042714299576421,0.00341097842896007,-0.44974924740294037,0.451397686018097,-75.84000000000015
2010,13,0.6219178082191781,17.46153846153846,14.783646810504893,-0.001367082250830401,0.002581989983584209,-0.3268992395889668,0.39683773204593425,-64.23999999999978
2011,12,0.5972602739726027,18.166666666666668,18.456405091157077,-0.0012878416950042341,0.0030746394891588967,-0.2239833603895963,0.33633386097548323,-73.28999999999996
2012,8,0.4465753424657534,20.375,24.479264184202922,-0.002002293506154615,0.00443679741674532,-0.2975692363192192,0.32138344527628276,-88.44999999999982
2013,7,0.39452054794520547,20.571428571428573,15.079381787793583,-0.0021888617189242767,0.0036629366063806695,-0.4036072554847578,0.41440151123393826,-70.03999999999996
2014,11,0.5397260273972603,17.90909090909091,25.734499466861937,-0.0013769737953100358,0.0037811656862983207,-0.1763560934015314,0.3255858255744304,-85.68000000000029
2015,7,0.4821917808219178,25.142857142857142,28.960211973516707,-0.0014644974422567266,0.0030908729794670103,-0.1658850711422357,0.22196118203142415,-58.029999999999745
2016,6,0.3287671232876712,20.0,23.345235059857504,-0.00273893931761477,0.004504913803520034,-0.546132237871693,0.7757342148687834,-79.60000000000036
2017,6,0.3561643835616438,21.666666666666668,24.83724801359621,-0.00256199649143119,0.005020295858104375,-0.3539784484521224,0.4065198082102178,-88.81999999999971
2018,2,0.1863013698630137,34.0,27.0,-0.004891946803628207,0.004918315739160824,-0.5129166666666606,0.541250000000006,-63.25
2019,8,0.3698630136986301,16.875,8.709728755822422,-0.0016587534024914913,0.0023790755368960637,-0.45509526584526855,0.442913184186354,-47.52000000000044
2020,4,0.21643835616438356,19.75,22.675702855699974,-0.0026952750334070627,0.00466561921958168,-0.30155418719210314,0.5176078885570091,-69.47999999999956
2021,1,0.01643835616438356,6.0,0.0,0.0016669142539933002,0.0,2.131999999999971,0.0,0
