Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,14,0.3561643835616438,9.285714285714286,8.249922695989092,-0.0007059236668723918,0.00041884062168369164,-0.6705181712324573,0.3487896609031722,-6.300000000000182
2004,16,0.30684931506849317,7.0,2.4238399287081647,-0.0008764262766503934,0.0004347588547038091,-1.032936507936478,0.5552973351147044,-7.789999999999964
2005,19,0.4438356164383562,8.526315789473685,9.7136280882644,-0.0009746848137827975,0.0007492630735253468,-1.142558479532166,0.8062615495445592,-4.609999999999673
2006,14,0.33972602739726027,8.857142857142858,4.9114609821917385,-0.0007733817550827637,0.00042752244758968505,-0.783770871985155,0.5789284760756466,-6.630000000000109
2007,18,0.336986301369863,6.833333333333333,1.6414763002993507,-0.000726545764422734,0.000555718581206947,-0.8851234567901536,0.7422348717123411,-5.920000000000073
2008,21,0.4712328767123288,8.19047619047619,4.797013432176392,-0.0008299349764867026,0.0007092294217024888,-0.8553588475017116,0.6592987646307893,-17.980000000000473
2009,18,0.4767123287671233,9.666666666666666,6.624868971450597,-0.0006370352886129392,0.0005616248168026885,-0.5050393310839713,0.2676804059117481,-6.630000000000109
2010,16,0.39452054794520547,9.0,4.06201920231798,-0.0004904919739960798,0.0007122900678960086,-0.3711607142857092,0.2923073016109235,-5.829999999999927
2011,17,0.4273972602739726,9.176470588235293,4.32822873862286,-0.0009196947033757126,0.0008391773861448945,-0.8436200362498042,0.8073743224673423,-8.590000000000146
2012,17,0.4986301369863014,10.705882352941176,6.900679471083247,-0.0009626759954960519,0.0006103756508448504,-0.8241868346707126,0.5537685285493054,-5.5
2013,17,0.4547945205479452,9.764705882352942,5.836290237558806,-0.0009878130760352635,0.0006502044549127658,-0.9084258878376533,0.57595714105087,-6.75
2014,19,0.5506849315068493,10.578947368421053,4.660198657090244,-0.0012520986068207721,0.0008817783215733443,-0.8927800269905719,0.6141825738378379,-7.519999999999527
2015,16,0.336986301369863,7.6875,3.803267509655349,-0.0007130581468726333,0.0005110943751191636,-0.7516840277777963,0.5097063034399736,-3.949999999999818
2016,25,0.5315068493150685,7.76,2.3371777852786466,-0.0007229188247424718,0.00040349230359135624,-0.7299785991785863,0.36112126262407357,-5.020000000000437
2017,22,0.4465753424657534,7.409090909090909,2.6741029236514047,-0.0006653090305422525,0.0006556143087536519,-0.7037973137973055,0.5691025912902641,-3.550000000000182
2018,20,0.4136986301369863,7.55,3.398161267509239,-0.0010010800909087954,0.0007326063442381219,-1.097024276377207,0.851156321002026,-10.050000000000182
2019,17,0.4136986301369863,8.882352941176471,8.943498150586837,-0.000796498254019064,0.0006874995441318652,-0.8291783380018528,0.6571553565961232,-6.920000000000073
2020,35,0.9260273972602739,9.657142857142857,5.513323380129044,-0.0005538433136545971,0.0005461307798748143,-0.49412904391722606,0.3868211651233748,-6.300000000000182
2021,10,0.1780821917808219,6.5,0.806225774829855,-0.0005659691217605879,0.0004620913800992485,-0.6778095238095609,0.5644484876745715,-4.969999999999345
