Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,25,0.7506849315068493,10.96,6.581671520214299,-0.0002601319979447594,0.00043220937859875843,-0.12388104895105707,0.2644480113383682,-8.550000000000182
2004,26,0.6876712328767123,9.653846153846153,2.7865377979507624,-0.00043741343039110713,0.0005961258826884366,-0.26352698771815963,0.3425716833900471,-17.780000000000655
2005,29,0.8575342465753425,10.793103448275861,8.02744993366974,-0.00032632175586771274,0.0007011866815544831,-0.11776468144205735,0.3416216324736034,-22.470000000000255
2006,21,0.6767123287671233,11.761904761904763,9.47128372605853,-0.00038949283551652496,0.0005905713944659119,-0.17866778024341745,0.23298744892788784,-17.079999999999927
2007,27,0.7232876712328767,9.777777777777779,3.4676636742949407,-0.0003271834507630556,0.00044312937850444285,-0.18355389385359644,0.2646782514285321,-10.090000000000146
2008,25,0.7835616438356164,11.44,4.0504814528645845,-0.0005171234709198238,0.0008951905417387412,-0.24907743367744026,0.6953364016116834,-22.529999999999745
2009,24,0.7479452054794521,11.375,5.8081300777444715,-0.0003204365266589432,0.0005146085493774557,-0.12428145756631646,0.22992636477288503,-11.769999999999527
2010,17,0.536986301369863,11.529411764705882,5.337080575159414,-0.0004368269581526646,0.0007492490657177388,-0.21096080553435925,0.33504008929564966,-20.38000000000011
2011,18,0.5945205479452055,12.055555555555555,5.275438077883224,-0.0006243443896734479,0.000969668582411983,-0.31137531796166995,0.7149814535952134,-23.090000000000146
2012,21,0.7150684931506849,12.428571428571429,6.051929472501811,-0.00047821015525863507,0.0004941592272241933,-0.230862251971491,0.2889006426825856,-8.579999999999927
2013,22,0.7452054794520548,12.363636363636363,5.8662784745097,-0.000511697201193232,0.000803794042367807,-0.23013647938514917,0.385774537500909,-20.699999999999818
2014,21,0.7863013698630137,13.666666666666666,4.8435851866481565,-0.000759069470585578,0.0008670176402827054,-0.29102665385993215,0.3994071630134454,-17.24000000000069
2015,24,0.7424657534246575,11.291666666666666,4.266918937854599,-0.0003865120389164839,0.00045557725565613036,-0.18808271224391085,0.20560276078454387,-11.86999999999989
2016,21,0.6986301369863014,12.142857142857142,6.4163905762672275,-0.0005307638840496085,0.0006051659799797454,-0.24476312896237612,0.3032781798073071,-14.409999999999854
2017,19,0.5726027397260274,11.0,3.8251246969698154,-0.0005313571370260542,0.0007729525273355259,-0.26424765062574246,0.4682335286894124,-19.079999999999927
2018,21,0.6986301369863014,12.142857142857142,4.234616014364897,-0.0005885044603952382,0.0007978217272988838,-0.2825629648129652,0.38799065382105175,-18.579999999999927
2019,22,0.7068493150684931,11.727272727272727,8.400118062924735,-0.0003788075769219171,0.0006891169375351008,-0.14315266803903165,0.3765829704386669,-17.220000000000255
2020,30,1.0328767123287672,12.566666666666666,5.213337595906186,-0.0004068832097203275,0.0006224102238624444,-0.16754583606050114,0.24005949953583292,-20.3700000000008
2021,10,0.26301369863013696,9.6,2.8354893757515653,-0.00015191958184543374,0.00028532476049933207,-0.06189166666665187,0.2560971020662415,-3.5
