Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
5/16/16,5/21/16,7,9972.66,9972.7,4.010965981079583e-06,0.006666666666812186,0.040000000000873115
5/26/16,5/29/16,5,9972.44,9972.35,-9.02487254875893e-06,-0.02250000000003638,-0.09000000000014552
7/1/16,8/7/16,39,9996.9,9986.98,-0.000992307615360769,-0.26105263157894926,-9.920000000000073
8/11/16,8/24/16,15,9986.71,9985.4,-0.00013117433068543,-0.0935714285713922,-1.3099999999994907
8/30/16,12/15/16,109,9985.15,9974.32,-0.0010846106468105064,-0.1002777777777771,-10.829999999999927
3/25/17,4/3/17,11,9976.54,9974.23,-0.0002315432003481477,-0.23100000000013096,-2.3100000000013097
6/29/17,7/29/17,32,10011.5,10003.7,-0.0007791040303650075,-0.251612903225783,-7.799999999999272
8/17/17,9/30/17,45,10003.7,9992.96,-0.0010736027669763788,-0.24409090909094547,-10.7400000000016
5/31/18,6/17/18,19,9990.85,9989.44,-0.00014112913315682393,-0.07833333333332525,-1.4099999999998545
6/19/18,7/25/18,38,9989.3,9984.01,-0.0005295666363007472,-0.14297297297294742,-5.289999999999054
5/1/19,5/9/19,10,9981.58,9980.8,-7.81439411396447e-05,-0.08666666666673943,-0.7800000000006548
5/17/19,5/26/19,11,9981.01,9980.35,-6.612557246209096e-05,-0.06599999999998545,-0.6599999999998545
7/6/19,12/25/19,174,10024.6,9980.45,-0.00440416575224943,-0.25520231213872624,-44.149999999999636
5/3/20,5/15/20,14,9980.41,9980.12,-2.9056922511104667e-05,-0.02230769230761955,-0.2899999999990541
5/20/20,5/28/20,10,9980.59,9980.45,-1.4027226847252308e-05,-0.015555555555490881,-0.13999999999941792
6/8/20,7/26/20,48,9984.72,9975.58,-0.0009153987292582485,-0.1944680851063706,-9.139999999999418
4/17/21,4/25/21,10,9972.43,9972.21,-2.206082168550335e-05,-0.024444444444573794,-0.22000000000116415
