Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
5/16/16,5/21/16,6,9973,9972,-0.000100271,-0.2,-1,4
5/25/16,5/30/16,6,9973,9972,-0.000100271,-0.2,-1,25
6/24/16,7/15/16,22,9998,9994,-0.00040008,-0.19047619,-4,3
7/18/16,8/6/16,20,9993,9987,-0.00060042,-0.315789474,-6,5
8/11/16,8/24/16,14,9987,9985,-0.00020026,-0.153846154,-2,8
9/1/16,9/10/16,10,9985,9984,-0.00010015,-0.111111111,-1,1
9/11/16,9/24/16,14,9984,9981,-0.000300481,-0.230769231,-3,9
10/3/16,10/13/16,11,9980,9978,-0.000200401,-0.2,-2,4
10/17/16,10/26/16,10,9978,9977,-0.00010022,-0.111111111,-1,17
11/12/16,11/21/16,10,9977,9976,-0.000100231,-0.111111111,-1,2
11/23/16,12/2/16,10,9976,9975,-0.000100241,-0.111111111,-1,3
12/5/16,12/14/16,10,9975,9974,-0.000100251,-0.111111111,-1,101
3/25/17,4/3/17,10,9977,9974,-0.000300692,-0.333333333,-3,87
6/29/17,7/17/17,19,10012,10005,-0.000699161,-0.388888889,-7,1
7/18/17,7/27/17,10,10005,10004,-1.00E-04,-0.111111111,-1,22
8/18/17,9/21/17,35,10004,9993,-0.00109956,-0.323529412,-11,31
10/22/17,10/31/17,10,9994,9993,-0.00010006,-0.111111111,-1,2
11/2/17,11/11/17,10,9993,9992,-0.00010007,-0.111111111,-1,6
11/17/17,11/26/17,10,9992,9991,-0.00010008,-0.111111111,-1,3
11/29/17,12/11/17,13,9991,9989,-0.00020018,-0.166666667,-2,17
12/28/17,1/6/18,10,9989,9988,-0.00010011,-0.111111111,-1,112
4/28/18,5/7/18,10,9991,9990,-0.00010009,-0.111111111,-1,29
6/5/18,6/18/18,14,9991,9989,-0.00020018,-0.153846154,-2,4
6/22/18,7/12/18,21,9989,9985,-0.00040044,-0.2,-4,1
7/13/18,7/22/18,10,9985,9984,-0.00010015,-0.111111111,-1,14
8/5/18,8/14/18,10,9984,9983,-0.00010016,-0.111111111,-1,12
8/26/18,9/4/18,10,9983,9982,-0.00010017,-0.111111111,-1,108
12/21/18,12/30/18,10,9982,9981,-0.00010018,-0.111111111,-1,75
3/15/19,3/24/19,10,9982,9981,-0.00010018,-0.111111111,-1,38
5/1/19,5/10/19,10,9982,9981,-0.00010018,-0.111111111,-1,9
5/19/19,5/28/19,10,9981,9980,-0.00010019,-0.111111111,-1,39
7/6/19,7/15/19,10,10025,10023,-0.000199501,-0.222222222,-2,2
7/17/19,8/7/19,22,10023,10018,-0.000498853,-0.238095238,-5,2
8/9/19,10/23/19,76,10017,9986,-0.003094739,-0.413333333,-31,5
10/28/19,11/6/19,10,9986,9985,-0.00010014,-0.111111111,-1,1
11/7/19,11/20/19,14,9985,9983,-0.0002003,-0.153846154,-2,4
11/24/19,12/3/19,10,9983,9982,-0.00010017,-0.111111111,-1,1
12/4/19,12/13/19,10,9982,9981,-0.00010018,-0.111111111,-1,5
12/18/19,12/27/19,10,9981,9980,-0.00010019,-0.111111111,-1,145
5/20/20,5/29/20,10,9981,9980,-0.00010019,-0.111111111,-1,11
6/9/20,6/18/20,10,9985,9984,-0.00010015,-0.111111111,-1,1
6/19/20,7/26/20,36,9984,9975,-0.000901442,-0.257142857,-9,4
7/30/20,8/8/20,10,9976,9975,-0.000100241,-0.111111111,-1,4
8/12/20,8/21/20,10,9975,9974,-0.000100251,-0.111111111,-1,3
8/24/20,9/2/20,10,9974,9973,-0.000100261,-0.111111111,-1,1
9/3/20,9/11/20,9,9973,9972,-0.000100271,-0.125,-1,15
9/26/20,10/5/20,10,9973,9972,-0.000100271,-0.111111111,-1,16
10/21/20,10/31/20,10,9972,9971,-0.000100281,-0.111111111,-1,167
4/16/21,4/25/21,10,9973,9972,-0.000100271,-0.111111111,-1,
