Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
4/11/16,4/14/16,4,9972.2,9972.0,-0.2000000000007276
4/18/16,4/21/16,4,9972.2,9971.8,-0.4000000000014552
4/26/16,4/27/16,2,9972.0,9971.8,-0.2000000000007276
5/7/16,5/9/16,3,9972.0,9971.8,-0.2000000000007276
5/11/16,5/12/16,2,9972.0,9971.8,-0.2000000000007276
1/25/17,1/26/17,2,9975.0,9974.8,-0.2000000000007276
2/19/17,2/20/17,2,9974.8,9974.6,-0.1999999999989086
2/25/17,2/26/17,2,9974.8,9974.6,-0.1999999999989086
4/30/17,5/2/17,3,9979.4,9979.2,-0.1999999999989086
5/9/17,5/12/17,4,9980.2,9980.0,-0.2000000000007276
8/4/17,8/5/17,2,10004.0,10003.8,-0.2000000000007276
12/24/17,12/25/17,2,9988.6,9988.4,-0.2000000000007276
12/26/17,12/27/17,2,9988.6,9988.4,-0.2000000000007276
5/13/18,5/16/18,4,9991.2,9991.0,-0.2000000000007276
5/19/18,5/22/18,4,9991.2,9990.8,-0.4000000000014552
11/18/18,11/19/18,2,9982.0,9981.8,-0.2000000000007276
11/20/18,11/21/18,2,9982.0,9981.8,-0.2000000000007276
1/8/19,1/9/19,2,9981.4,9981.2,-0.1999999999989086
3/10/19,3/11/19,2,9981.6,9981.4,-0.2000000000007276
5/28/19,5/29/19,2,9980.4,9980.2,-0.1999999999989086
4/14/20,4/18/20,4,9980.2,9980.0,-0.2000000000007276
6/1/20,6/2/20,2,9982.2,9982.0,-0.2000000000007276
9/20/20,9/22/20,3,9972.6,9972.4,-0.2000000000007276
