Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
2/26/98,3/4/98,7,4879.6,4879.4,-4.098696614491507e-05,-0.0333333333334546
3/19/98,3/23/98,5,4880.2,4880.0,-4.098192697016887e-05,-0.049999999999954525
3/28/98,6/1/98,66,4880.6,4864.0,-0.0034012211613326975,-0.255384615384621
6/4/98,6/8/98,5,4864.0,4861.4,-0.0005345394736842854,-0.650000000000091
6/15/98,6/23/98,9,4861.8,4860.8,-0.0002056851371919865,-0.125
7/17/98,8/9/98,24,4865.6,4861.4,-0.0008632028937850887,-0.18260869565220555
8/13/98,8/18/98,6,4861.8,4861.2,-0.00012341108231526672,-0.12000000000007276
8/25/98,10/2/98,39,4861.2,4852.0,-0.0018925368221837857,-0.24210526315788994
10/3/98,10/17/98,15,4852.2,4851.6,-0.0001236552491652146,-0.04285714285710388
10/23/98,11/1/98,10,4851.6,4851.4,-4.122351389247415e-05,-0.022222222222303065
3/21/99,4/25/99,36,4874.6,4868.8,-0.00118984121774098,-0.16571428571429092
5/10/99,5/16/99,7,4880.6,4880.4,-4.097856820897586e-05,-0.0333333333334546
5/17/99,5/24/99,8,4880.6,4880.4,-4.097856820897586e-05,-0.028571428571532515
5/26/99,6/4/99,10,4881.0,4880.4,-0.00012292562999392825,-0.06666666666670709
6/11/99,6/15/99,5,4880.6,4880.4,-4.097856820897586e-05,-0.0500000000001819
6/25/99,7/4/99,10,4881.0,4880.4,-0.00012292562999392825,-0.06666666666670709
7/6/99,7/10/99,5,4880.6,4880.2,-8.195713641776536e-05,-0.10000000000013642
7/14/99,7/18/99,5,4880.6,4880.4,-4.097856820897586e-05,-0.0500000000001819
7/19/99,7/28/99,10,4880.6,4880.2,-8.195713641776536e-05,-0.04444444444450508
8/7/99,8/16/99,10,4881.6,4880.4,-0.0002458210422813683,-0.13333333333341418
8/17/99,9/4/99,19,4880.6,4879.0,-0.00032782854567068876,-0.0888888888889091
9/6/99,9/17/99,12,4878.8,4877.6,-0.0002459621218332004,-0.10909090909089256
9/18/99,9/30/99,13,4877.6,4876.6,-0.00020501886173527963,-0.08333333333333333
10/3/99,10/7/99,5,4876.8,4876.6,-4.1010498687626745e-05,-0.049999999999954525
10/10/99,10/17/99,8,4876.8,4876.6,-4.1010498687626745e-05,-0.028571428571402584
12/9/99,12/13/99,5,4878.0,4877.8,-4.100041000406275e-05,-0.049999999999954525
3/17/00,3/26/00,10,4885.2,4884.6,-0.00012281994595911207,-0.06666666666660603
3/28/00,5/6/00,40,4884.6,4879.0,-0.001146460303812055,-0.1435897435897529
5/10/00,5/20/00,11,4879.0,4878.2,-0.00016396802623492147,-0.0800000000000182
6/3/00,6/12/00,10,4878.8,4878.4,-8.19873739445244e-05,-0.04444444444450508
6/13/00,6/26/00,14,4878.4,4876.6,-0.00036897343391260916,-0.1384615384614825
7/3/00,9/18/00,78,4877.2,4856.2,-0.004305749200360863,-0.2727272727272727
9/28/00,10/7/00,10,4856.2,4856.0,-4.1184465219681664e-05,-0.02222222222220201
10/9/00,10/15/00,7,4856.2,4855.8,-8.236893043936333e-05,-0.06666666666660603
11/5/00,11/9/00,5,4856.0,4855.8,-4.118616144971542e-05,-0.049999999999954525
3/22/01,3/31/01,10,4873.4,4873.0,-8.207822054410396e-05,-0.04444444444440402
4/1/01,5/4/01,34,4873.0,4866.4,-0.001354401805869149,-0.20000000000001103
5/6/01,6/2/01,28,4866.6,4861.8,-0.0009863148810258047,-0.1777777777777845
6/5/01,7/12/01,38,4862.0,4853.6,-0.0017276840806251823,-0.2270270270270172
7/13/01,9/9/01,59,4853.8,4835.4,-0.003790844286950543,-0.31724137931035423
9/10/01,10/4/01,25,4835.4,4834.0,-0.00028953137279224807,-0.05833333333331817
10/7/01,10/19/01,13,4834.0,4832.2,-0.00037236243276793173,-0.15000000000001515
