Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
2/26/98,3/4/98,7,4880,4879,-0.000204918,-0.166666667,-1,24
3/28/98,4/6/98,10,4881,4880,-0.000204876,-0.111111111,-1,3
4/9/98,4/18/98,10,4880,4876,-0.000819672,-0.444444444,-4,1
4/19/98,5/5/98,17,4876,4871,-0.001025431,-0.3125,-5,3
5/8/98,5/30/98,23,4870,4864,-0.001232033,-0.272727273,-6,18
6/17/98,6/26/98,10,4862,4861,-0.000205677,-0.111111111,-1,21
7/17/98,7/27/98,11,4866,4864,-0.000411015,-0.2,-2,2
7/29/98,8/9/98,12,4863,4861,-0.000411269,-0.181818182,-2,6
8/15/98,8/24/98,10,4862,4861,-0.000205677,-0.111111111,-1,4
8/28/98,9/21/98,25,4861,4854,-0.001440033,-0.291666667,-7,3
9/24/98,10/3/98,10,4853,4852,-0.000206058,-0.111111111,-1,20
10/23/98,11/1/98,10,4852,4851,-0.000206101,-0.111111111,-1,140
3/21/99,3/30/99,10,4875,4874,-0.000205128,-0.111111111,-1,1
3/31/99,4/16/99,17,4874,4870,-0.000820681,-0.25,-4,24
5/10/99,5/16/99,7,4881,4880,-0.000204876,-0.166666667,-1,1
5/17/99,5/24/99,8,4881,4880,-0.000204876,-0.142857143,-1,4
5/28/99,6/6/99,10,4881,4880,-0.000204876,-0.111111111,-1,5
6/11/99,6/15/99,5,4881,4880,-0.000204876,-0.25,-1,11
6/26/99,7/5/99,10,4881,4880,-0.000204876,-0.111111111,-1,1
7/6/99,7/12/99,7,4881,4880,-0.000204876,-0.166666667,-1,2
7/14/99,7/18/99,5,4881,4880,-0.000204876,-0.25,-1,1
7/19/99,7/28/99,10,4881,4880,-0.000204876,-0.111111111,-1,10
8/7/99,8/16/99,10,4882,4880,-0.000409668,-0.222222222,-2,1
8/17/99,8/26/99,10,4881,4880,-0.000204876,-0.111111111,-1,1
8/27/99,9/5/99,10,4880,4879,-0.000204918,-0.111111111,-1,2
9/7/99,9/16/99,10,4879,4878,-0.00020496,-0.111111111,-1,2
9/18/99,9/27/99,10,4878,4877,-0.000205002,-0.111111111,-1,183
3/28/00,4/9/00,13,4885,4883,-0.000409417,-0.166666667,-2,1
4/10/00,4/19/00,10,4883,4880,-0.000614376,-0.333333333,-3,6
4/25/00,5/4/00,10,4880,4879,-0.000204918,-0.111111111,-1,11
5/15/00,5/23/00,9,4879,4878,-0.00020496,-0.125,-1,13
6/5/00,6/14/00,10,4879,4878,-0.00020496,-0.111111111,-1,3
6/17/00,6/26/00,10,4878,4877,-0.000205002,-0.111111111,-1,9
7/5/00,9/1/00,59,4877,4858,-0.003895838,-0.327586207,-19,4
9/5/00,9/15/00,11,4858,4856,-0.000411692,-0.2,-2,201
4/4/01,4/15/01,12,4873,4871,-0.000410425,-0.181818182,-2,1
4/16/01,5/3/01,18,4871,4867,-0.000821187,-0.235294118,-4,3
5/6/01,5/15/01,10,4867,4866,-0.000205465,-0.111111111,-1,4
5/19/01,5/31/01,13,4865,4862,-0.00061665,-0.25,-3,12
6/12/01,7/13/01,32,4862,4854,-0.001645413,-0.258064516,-8,1
7/14/01,7/26/01,13,4854,4850,-0.000824063,-0.333333333,-4,4
7/30/01,9/3/01,36,4849,4836,-0.002680965,-0.371428571,-13,1
9/4/01,9/13/01,10,4836,4835,-0.000206782,-0.111111111,-1,9
9/22/01,10/1/01,10,4835,4834,-0.000206825,-0.111111111,-1,8
10/9/01,10/22/01,14,4834,4832,-0.000413736,-0.153846154,-2,148
3/19/02,3/28/02,10,4852,4851,-0.000206101,-0.111111111,-1,12
4/9/02,4/18/02,10,4851,4850,-0.000206143,-0.111111111,-1,3
4/21/02,4/30/02,10,4850,4849,-0.000206186,-0.111111111,-1,3
5/3/02,5/17/02,15,4849,4845,-0.000824912,-0.285714286,-4,3
