Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
6/5/98,6/8/98,4,4864.0,4861.0,-3.0
6/18/99,6/21/99,4,4881.0,4880.0,-1.0
11/1/05,11/2/05,2,4833.0,4832.0,-1.0
7/6/06,7/7/06,2,4845.0,4844.0,-1.0
5/12/07,5/13/07,2,4865.0,4864.0,-1.0
8/21/07,8/22/07,2,4859.0,4858.0,-1.0
6/13/08,6/14/08,2,4874.0,4873.0,-1.0
10/23/09,10/25/09,3,4866.0,4865.0,-1.0
7/31/10,8/1/10,2,4872.0,4871.0,-1.0
8/13/10,8/15/10,3,4871.0,4870.0,-1.0
6/23/11,6/26/11,4,4873.0,4872.0,-1.0
6/29/11,7/1/11,3,4873.0,4872.0,-1.0
11/9/12,11/10/12,2,4856.0,4855.0,-1.0
11/11/12,11/14/12,4,4856.0,4855.0,-1.0
8/4/13,8/6/13,3,4845.0,4844.0,-1.0
6/3/15,6/6/15,4,4879.0,4878.0,-1.0
6/9/15,6/10/15,2,4879.0,4878.0,-1.0
4/30/16,5/2/16,3,4879.0,4878.0,-1.0
8/30/20,8/31/20,2,4866.0,4859.0,-7.0
