Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
4/9/98,5/31/98,54,4879.89,4863.94,-0.003268516298523271,-0.31900000000001455,-15.950000000000728
6/4/98,6/12/98,10,4864.01,4861.49,-0.0005180910401089711,-0.6300000000001091,-2.5200000000004366
7/18/98,8/10/98,25,4865.49,4861.37,-0.0008467800776488886,-0.196190476190471,-4.119999999999891
8/26/98,10/3/98,40,4861.08,4852.03,-0.0018617262007620081,-0.25138888888889394,-9.050000000000182
4/6/99,4/24/99,20,4872.92,4868.8,-0.0008454889470789364,-0.2574999999999932,-4.119999999999891
5/28/99,6/5/99,10,4880.71,4880.42,-5.941758473663947e-05,-0.057999999999992724,-0.2899999999999636
6/26/99,7/5/99,11,4880.88,4880.41,-9.629411089808695e-05,-0.06714285714289352,-0.47000000000025466
8/7/99,8/15/99,10,4881.59,4880.43,-0.0002376274943204682,-0.2319999999999709,-1.1599999999998545
8/26/99,10/1/99,38,4879.89,4876.66,-0.0006619001657825222,-0.0978787878788022,-3.230000000000473
4/1/00,5/5/00,36,4884.25,4879.01,-0.0010728361570353242,-0.16374999999999318,-5.239999999999782
6/14/00,6/26/00,14,4878.25,4876.51,-0.0003566852867318776,-0.15818181818179833,-1.7399999999997817
7/4/00,9/23/00,83,4877.05,4855.95,-0.004326385827498255,-0.26375000000000454,-21.100000000000364
4/6/01,6/2/01,59,4872.38,4861.75,-0.0021816853365296033,-0.19327272727272926,-10.63000000000011
6/5/01,10/22/01,141,4861.93,4832.28,-0.006098401252177745,-0.21801470588235694,-29.650000000000546
3/19/02,3/23/02,5,4851.55,4851.32,-4.740752955250856e-05,-0.11500000000023647,-0.23000000000047294
5/3/02,8/27/02,118,4848.58,4826.89,-0.004473474708058772,-0.18860869565217042,-21.6899999999996
4/6/03,5/30/03,56,4840.13,4831.98,-0.0016838390704383033,-0.15673076923077972,-8.150000000000546
5/31/03,6/9/03,11,4832.15,4827.39,-0.0009850687582130748,-0.5288888888888121,-4.759999999999309
6/21/03,7/21/03,32,4827.28,4822.71,-0.0009467029051556382,-0.16321428571427532,-4.569999999999709
8/29/03,9/6/03,10,4821.67,4821.1,-0.00011821630265026618,-0.08142857142852986,-0.569999999999709
5/10/04,6/6/04,29,4840.86,4833.79,-0.0014604842941129694,-0.28279999999998834,-7.069999999999709
6/10/04,6/18/04,10,4834.09,4832.84,-0.0002585802084777073,-0.3125,-1.25
10/1/04,10/24/04,25,4836.04,4834.56,-0.0003060355166623029,-0.06727272727270743,-1.4799999999995634
3/11/05,3/19/05,10,4850.94,4850.12,-0.00016903940267241175,-0.1639999999999418,-0.819999999999709
5/5/05,5/31/05,28,4848.93,4845.78,-0.0006496278560425795,-0.13125000000002274,-3.1500000000005457
6/28/05,8/14/05,49,4846.3,4836.35,-0.002053112683903146,-0.22111111111110707,-9.949999999999818
8/18/05,9/24/05,39,4836.34,4831.81,-0.0009366587129936574,-0.13323529411763957,-4.529999999999745
4/22/06,6/17/06,58,4855.01,4846.12,-0.0018310981851737333,-0.1616363636363696,-8.890000000000327
6/25/06,7/5/06,12,4845.64,4844.16,-0.00030542921058941084,-0.164444444444497,-1.480000000000473
7/9/06,7/18/06,11,4846.15,4843.75,-0.0004952384882844395,-0.2999999999999545,-2.399999999999636
8/26/06,9/10/06,17,4845.07,4843.42,-0.00034055235528065357,-0.11785714285711688,-1.6499999999996362
9/21/06,10/10/06,21,4843.21,4841.63,-0.00032622991776113926,-0.09874999999999545,-1.5799999999999272
5/17/07,5/25/07,9,4864.88,4864.35,-0.00010894410550717496,-0.1766666666665818,-0.5299999999997453
6/2/07,6/11/07,11,4865.27,4864.43,-0.0001726522885677764,-0.10500000000001819,-0.8400000000001455
7/2/07,9/27/07,89,4866.45,4854.04,-0.0025501135324517573,-0.1477380952380935,-12.409999999999854
10/4/07,10/12/07,10,4853.93,4853.06,-0.00017923620653777266,-0.1449999999999818,-0.8699999999998909
4/18/08,5/29/08,43,4879.27,4873.25,-0.001233791120393099,-0.1505000000000109,-6.020000000000437
7/10/08,10/17/08,101,4874.9,4860.41,-0.0029723686639725497,-0.15093749999999773,-14.489999999999782
4/20/09,5/31/09,43,4877.75,4870.2,-0.0015478448054943737,-0.18875000000000455,-7.550000000000182
8/16/09,9/25/09,42,4870.92,4865.21,-0.0011722631453606376,-0.1543243243243253,-5.710000000000036
4/27/10,5/28/10,33,4880.59,4876.58,-0.0008216219760316311,-0.13366666666667396,-4.010000000000218
7/2/10,10/16/10,108,4876.45,4862.68,-0.002823775492417543,-0.1336893203883449,-13.769999999999527
4/13/11,6/12/11,62,4881.64,4872.63,-0.0018456912021370313,-0.15271186440678336,-9.010000000000218
6/23/11,7/6/11,14,4872.77,4872.38,-8.003661161933098e-05,-0.1950000000001637,-0.3900000000003274
7/16/11,9/14/11,62,4873.1,4858.79,-0.00293652910878094,-0.2425423728813627,-14.3100000000004
4/20/12,9/13/12,148,4877.2,4857.25,-0.004090461740342783,-0.1385416666666654,-19.949999999999818
4/27/13,5/9/13,14,4859.24,4857.74,-0.0003086902478576897,-0.15,-1.5
5/18/13,6/18/13,33,4856.97,4847.17,-0.002017718865877323,-0.3379310344827649,-9.800000000000182
6/25/13,7/25/13,32,4847.06,4843.02,-0.0008334949433264625,-0.144285714285713,-4.039999999999964
9/13/13,9/21/13,10,4846.76,4845.55,-0.000249651313454769,-0.20166666666667274,-1.2100000000000364
5/4/14,5/12/14,10,4865.22,4864.46,-0.0001562108188324923,-0.12666666666670304,-0.7600000000002183
5/19/14,6/5/14,19,4864.55,4862.74,-0.00037207963737661247,-0.12066666666669335,-1.8100000000004002
7/7/14,7/15/14,9,4863.45,4862.64,-0.00016654843783723297,-0.20249999999987267,-0.8099999999994907
8/17/14,9/22/14,38,4864.08,4859.24,-0.0009950494235292482,-0.14235294117647487,-4.8400000000001455
4/13/15,5/5/15,24,4880.06,4875.23,-0.0009897419294026787,-0.23000000000003984,-4.830000000000837
5/10/15,5/18/15,9,4876.37,4875.57,-0.00016405646003075689,-0.2666666666667273,-0.8000000000001819
5/25/15,6/2/15,10,4879.82,4877.86,-0.0004016541593747385,-0.3920000000000073,-1.9600000000000364
6/23/15,7/14/15,23,4887.13,4878.63,-0.0017392621027064964,-0.425,-8.5
7/31/15,11/7/15,98,4877.7,4864.44,-0.0027184943723476676,-0.14258064516129268,-13.260000000000218
