Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
1/2/97,3/25/97,83,7735.6,7720.8,-0.001913232328455476,-0.180487804878051
3/27/97,5/4/97,39,7720.8,7714.8,-0.000777121541809139,-0.15789473684210525
7/15/97,8/14/97,31,7765.8,7763.2,-0.0003348013083005439,-0.0866666666666788
8/16/97,9/19/97,35,7763.2,7759.2,-0.0005152514427040395,-0.11764705882352941
9/27/97,11/11/97,46,7759.4,7751.4,-0.0010310075521303193,-0.17777777777777778
11/12/97,2/28/98,109,7751.6,7724.2,-0.003534754115279496,-0.25370370370370876
3/1/98,5/1/98,62,7726.6,7700.0,-0.003442652654466436,-0.43606557377049776
8/18/98,11/11/98,86,7764.0,7734.0,-0.0038639876352395673,-0.35294117647058826
11/16/98,11/25/98,10,7734.0,7733.6,-5.171967933794107e-05,-0.04444444444440402
11/29/98,3/21/99,113,7733.4,7723.6,-0.0012672304549097774,-0.0874999999999935
4/3/99,4/12/99,10,7724.2,7724.0,-2.589264907690351e-05,-0.02222222222220201
7/29/99,8/10/99,13,7766.2,7765.2,-0.00012876310164559244,-0.08333333333333333
8/11/99,11/12/99,94,7765.4,7743.0,-0.0028845906199293837,-0.24086021505375954
11/13/99,4/20/00,160,7742.8,7721.2,-0.0027896884847859126,-0.1358490566037759
6/13/00,6/19/00,7,7767.6,7767.2,-5.1495957567401214e-05,-0.06666666666675762
6/20/00,7/14/00,25,7767.4,7765.2,-0.00028323505935059584,-0.09166666666665908
7/18/00,9/22/00,67,7765.8,7741.8,-0.003090473615081511,-0.36363636363636365
10/7/00,11/2/00,27,7742.0,7738.2,-0.0004908292430896644,-0.14615384615385316
11/7/00,4/4/01,149,7738.0,7726.0,-0.0015507883173946756,-0.08108108108108109
4/12/01,4/19/01,8,7726.0,7725.4,-7.76598498576707e-05,-0.08571428571433769
7/24/01,8/7/01,15,7759.6,7758.0,-0.00020619619568023657,-0.11428571428574028
8/11/01,12/6/01,118,7758.8,7726.6,-0.004150126308191965,-0.2752136752136737
12/8/01,1/12/02,36,7726.8,7724.0,-0.00036237511000675334,-0.08000000000000519
1/16/02,3/30/02,74,7723.8,7719.6,-0.0005437737901032934,-0.057534246575339974
5/1/02,5/7/02,7,7725.8,7725.6,-2.5887286753451823e-05,-0.03333333333330302
6/24/02,9/22/02,91,7739.2,7699.4,-0.005142650403142468,-0.44222222222222424
