Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
11/27/98,11/28/98,2,7733.4,7733.2,-0.1999999999998181
6/5/99,6/7/99,3,7744.4,7744.2,-0.1999999999998181
7/5/99,7/7/99,3,7762.8,7762.4,-0.4000000000005457
4/24/00,4/26/00,3,7721.2,7721.0,-0.1999999999998181
5/19/00,5/20/00,2,7745.2,7744.8,-0.3999999999996362
4/23/03,4/24/03,2,7699.0,7698.8,-0.1999999999998181
7/6/03,7/7/03,2,7761.0,7760.4,-0.6000000000003638
7/25/04,7/26/04,2,7757.0,7756.8,-0.1999999999998181
5/23/06,5/24/06,2,7736.6,7736.4,-0.2000000000007276
11/15/06,11/16/06,2,7743.4,7743.2,-0.1999999999998181
7/18/07,7/20/07,3,7765.8,7765.6,-0.1999999999998181
10/21/07,10/23/07,3,7747.6,7747.4,-0.2000000000007276
7/15/08,7/18/08,4,7765.0,7764.8,-0.1999999999998181
6/23/09,6/25/09,3,7765.4,7765.2,-0.1999999999998181
5/12/11,5/15/11,4,7712.8,7712.4,-0.4000000000005457
5/21/11,5/23/11,3,7713.8,7713.6,-0.1999999999998181
8/2/11,8/3/11,2,7763.8,7763.6,-0.1999999999998181
10/23/11,10/24/11,2,7746.0,7745.8,-0.1999999999998181
7/16/13,7/18/13,3,7759.0,7758.8,-0.1999999999998181
10/9/13,10/11/13,3,7748.8,7748.6,-0.1999999999998181
7/22/14,7/25/14,4,7764.8,7764.6,-0.1999999999998181
6/21/15,6/23/15,3,7763.0,7762.8,-0.1999999999998181
7/11/15,7/13/15,3,7765.2,7764.8,-0.3999999999996362
11/21/18,11/23/18,3,7717.0,7716.8,-0.1999999999998181
11/25/18,11/27/18,2,7717.0,7716.8,-0.1999999999998181
12/22/18,12/23/18,2,7716.6,7716.4,-0.2000000000007276
5/24/19,5/27/19,4,7724.4,7724.2,-0.1999999999998181
