Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,6,0.9397260273972603,57.166666666666664,28.823697811966383,-0.0013510280481131693,0.0010990719043768654,-0.16236295811530851,0.05269197239608536,-0.47000000000025466
1998,4,0.7424657534246575,67.75,37.91025586830033,-0.0021563976059884304,0.0015644969762850442,-0.23023779867137087,0.1675667341464678,-3.4600000000000364
1999,4,0.7589041095890411,69.25,62.295164338815255,-0.0014572337138594482,0.0013807927854242758,-0.12056620680326768,0.08025278825234566,-0.9700000000002547
2000,5,0.7534246575342466,55.0,50.927399305285554,-0.0010933644384967696,0.0011227225723569561,-0.1498409248409429,0.11022903596585262,-0.7800000000006548
2001,4,0.4849315068493151,44.25,43.808532273976034,-0.0011990893659341564,0.0017067623434229853,-0.13880341880343922,0.079820382741264,-0.6500000000005457
2002,7,0.6109589041095891,31.857142857142858,32.45845067787684,-0.0008680031534334285,0.0017532193947037962,-0.11134494120795459,0.1399402628195866,-0.8600000000005821
2003,6,0.6602739726027397,40.166666666666664,44.629648839706945,-0.0008471534618358375,0.001231538035529267,-0.09624484309090257,0.08996026211780275,-0.5299999999997453
2004,6,0.8328767123287671,50.666666666666664,47.44704650683984,-0.0009213990628223792,0.000715458629685568,-0.13419285616050092,0.08062400256603536,-0.8900000000003274
2005,6,0.6191780821917808,37.666666666666664,45.67518168789504,-0.0010530520891138609,0.0013774722617412038,-0.15515487481136145,0.11347908979553456,-0.5199999999995271
2006,4,0.6027397260273972,55.0,45.732920309116494,-0.0011798417428977867,0.0011625228559338345,-0.1194257703081297,0.09940936430846664,-0.4000000000005457
2007,5,0.7945205479452054,58.0,67.26366032264376,-0.0014910069199284225,0.0019437482789824202,-0.1238732594486905,0.08957382651809721,-0.47000000000025466
2008,7,0.6356164383561644,33.142857142857146,29.777405487231764,-0.0006814468965953,0.0011409496891800726,-0.09657022584040595,0.11588394438766261,-0.6700000000000728
2009,8,0.7863013698630137,35.875,47.1922596937252,-0.0007092004384998327,0.0011998575155611833,-0.10411424994756753,0.09477821356603648,-0.8100000000004002
2010,6,0.8383561643835616,51.0,50.1265066273989,-0.0011610815910871907,0.0014795418277322617,-0.11778324901734406,0.08593123065435013,-0.6000000000003638
2011,6,0.6547945205479452,39.833333333333336,49.93134174933504,-0.0007735818142221047,0.0009487118426486966,-0.14519822639542282,0.1255109216648155,-0.6000000000003638
2012,6,0.473972602739726,28.833333333333332,38.10256625944709,-0.0006880251446323664,0.0014342631832129007,-0.0720848604034444,0.08745199725794438,-0.5299999999997453
2013,10,0.821917808219178,30.0,42.92085740056925,-0.0005651872776458366,0.0011201382313602883,-0.0735743855063578,0.06792025567659812,-0.3600000000005821
2014,5,0.6410958904109589,46.8,46.63646641845842,-0.0008302188194910621,0.0009031741367590597,-0.12231433691754867,0.05932602758145448,-0.4099999999998545
2015,5,0.5068493150684932,37.0,28.94131994225557,-0.0009122717373620775,0.001518340792218196,-0.10381454999431287,0.1209013057231406,-0.6199999999998909
2016,4,0.6465753424657534,59.0,58.52777118599341,-0.0012884222269049733,0.0018907051462540708,-0.0984039625756927,0.073925979418377,-0.5299999999997453
2017,4,0.9178082191780822,83.75,55.0107943952821,-0.0015930646728082422,0.0013363271643554529,-0.1327023192184479,0.09419314066884973,-0.569999999999709
2018,4,0.5780821917808219,52.75,43.27455950093542,-0.0014579886905538287,0.002067073390737268,-0.1192274601013429,0.13130789731242615,-0.8299999999999272
2019,6,0.6493150684931507,39.5,44.47002735926,-0.0007779095721473566,0.0011345141618359534,-0.10285477375030622,0.11460557880789486,-0.6300000000001091
2020,12,1.2602739726027397,38.333333333333336,53.74993540047797,-0.0005784677146736748,0.0013599335947176128,-0.050784665734419,0.048313605480023586,-0.6499999999996362
2021,3,0.0821917808219178,10.0,0.0,-3.456626911709718e-05,1.2218407829199577e-05,-0.02962962962960268,0.010475656017568953,-0.11999999999989086
