Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
5/22/97,5/29/97,8,8927.0,8926.2,-8.961577237585666e-05,-0.11428571428561034
6/4/97,6/9/97,6,8927.2,8926.8,-4.480688233728999e-05,-0.08000000000029103
6/12/97,6/16/97,5,8927.0,8926.6,-4.480788618792833e-05,-0.09999999999990905
6/23/97,6/28/97,6,8927.0,8926.4,-6.721182928199437e-05,-0.12000000000007276
6/29/97,7/8/97,10,8926.6,8925.8,-8.961978804932352e-05,-0.08888888888901016
7/18/97,7/22/97,5,8925.8,8925.2,-6.722086535644366e-05,-0.1499999999996362
7/30/97,8/3/97,5,8925.6,8924.6,-0.00011203728600878373,-0.25
8/5/97,9/22/97,49,8925.0,8903.0,-0.0024649859943977593,-0.4583333333333333
11/2/97,11/13/97,12,8906.2,8905.8,-4.491253284245303e-05,-0.03636363636376865
11/15/97,11/20/97,6,8905.6,8905.2,-4.491555874950999e-05,-0.07999999999992724
5/20/98,5/25/98,6,8926.8,8926.2,-6.721333512552593e-05,-0.11999999999970896
6/3/98,6/11/98,9,8926.8,8926.0,-8.961778016750375e-05,-0.09999999999990905
6/22/98,6/30/98,9,8926.6,8926.2,-4.480989402455987e-05,-0.049999999999954525
7/1/98,7/6/98,6,8926.4,8926.0,-4.4810898010355374e-05,-0.07999999999992724
7/9/98,10/6/98,90,8926.2,8872.0,-0.006072012726580261,-0.608988764044952
10/13/98,10/22/98,10,8872.6,8871.8,-9.016522778002969e-05,-0.08888888888901016
12/26/98,1/4/99,10,8878.8,8878.6,-2.252556651787501e-05,-0.022222222222100955
1/9/99,1/19/99,11,8878.4,8878.0,-4.5053162731982814e-05,-0.03999999999996362
1/22/99,2/12/99,22,8878.0,8877.0,-0.00011263798152737103,-0.047619047619047616
2/17/99,3/1/99,13,8876.8,8876.2,-6.759192501786059e-05,-0.04999999999987873
3/2/99,3/11/99,10,8876.2,8876.0,-2.2532164665141342e-05,-0.022222222222303065
6/8/99,6/12/99,5,8926.6,8926.4,-2.2404947012381824e-05,-0.0500000000001819
6/30/99,7/25/99,26,8926.6,8922.0,-0.000515313781282948,-0.18400000000001454
8/12/99,10/6/99,56,8924.6,8903.8,-0.002330636667189688,-0.37818181818183805
