Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,3,0.2219178082191781,27.0,21.96967607104544,-0.0008582211305352285,0.0011474231860018583,-0.14033730158723215,0.18319672769130388,-22.1299999999992
1998,3,0.2821917808219178,34.333333333333336,35.122009560324926,-0.0020021446075822588,0.0027982053521100644,-0.2296792726462149,0.2908596492894599,-53.19000000000051
1999,4,0.3506849315068493,32.0,32.29551052391029,-0.0008104409789119527,0.0011230009979012441,-0.13333562367864382,0.10522148532576271,-24.43000000000029
2000,5,0.2876712328767123,21.0,19.83935482821959,-0.000991593054282653,0.001639653127598007,-0.21737000110777954,0.23506120167540284,-37.899999999999636
2001,2,0.33424657534246577,61.0,51.0,-0.0030968366846918552,0.0030531448844105004,-0.268918918918884,0.2255855855856153,-54.88999999999942
2002,3,0.39452054794520547,48.0,46.180804092898455,-0.00229779427314847,0.00305855025249861,-0.22213624338623192,0.21746206281726171,-59.02000000000044
2003,2,0.2054794520547945,37.5,32.5,-0.0021186384393504882,0.002105195636795126,-0.2881884057969794,0.25818840579723407,-37.70000000000073
2004,2,0.3095890410958904,56.5,49.5,-0.002681899126608314,0.002666215646130392,-0.23899999999995047,0.21566666666671414,-47.73999999999978
2005,2,0.22465753424657534,41.0,34.0,-0.002486614860124921,0.0024989996812881696,-0.2915090090089605,0.30984234234239083,-44.5
2006,3,0.25753424657534246,31.333333333333332,28.075295585660754,-0.0014461064485057128,0.001971428168489353,-0.20995238095233257,0.2333136143271654,-37.79000000000087
2007,3,0.22465753424657534,27.333333333333332,26.662499674428297,-0.0011555277787917448,0.0016214904999508652,-0.16827546296302964,0.22114697971305078,-30.779999999998836
2008,5,0.36164383561643837,26.4,24.146221236458512,-0.00142160678628341,0.0021162459507794306,-0.2378131868132583,0.2810816903354373,-49.07000000000153
2009,2,0.3287671232876712,60.0,47.0,-0.0031653551365947827,0.003070137205154097,-0.2979638364779261,0.22713050314471406,-55.659999999999854
2010,3,0.3726027397260274,45.333333333333336,32.78549814916481,-0.0024375647882236484,0.002232370957780089,-0.3600968013468351,0.19826374708932978,-48.45000000000073
2011,4,0.3315068493150685,30.25,37.399030736103306,-0.0012106541009464056,0.0020561757368102317,-0.13372266548466352,0.18442594750434865,-42.590000000000146
2012,2,0.273972602739726,50.0,39.0,-0.0035061798714094688,0.0033924272978982516,-0.40032954545455474,0.29932954545453294,-61.56999999999971
2013,3,0.3589041095890411,43.666666666666664,30.922843048824312,-0.0012822710753475658,0.0009396796769828228,-0.30431720430110193,0.11873014106973322,-23.290000000000873
2014,3,0.2054794520547945,25.0,18.40289832245635,-0.0009569006714497972,0.0012644238236560678,-0.19805555555557577,0.20670511888396104,-24.5
2015,1,0.2547945205479452,93.0,0.0,-0.004776427774316779,0.0,-0.4633695652173826,0.0,-42.6299999999992
2016,3,0.23835616438356164,29.0,26.870057685088806,-0.002021940099996796,0.002805606122487842,-0.29518518518512415,0.36416580736499177,-53.45999999999913
2017,2,0.3589041095890411,65.5,57.5,-0.0028088596662986355,0.0027987761298006986,-0.21155152224825097,0.19869437939108733,-50.04999999999927
2018,2,0.3452054794520548,63.0,53.0,-0.004222072145709624,0.004187051613510357,-0.3435265700483788,0.30908212560378884,-75.04999999999927
2019,4,0.3643835616438356,33.25,38.674119253061214,-0.002196231985035037,0.0030646000476328714,-0.3811616161616721,0.30987100755358343,-66.46000000000095
2020,2,0.33424657534246577,61.0,51.0,-0.004321507071502589,0.00428762124865303,-0.36279279279285404,0.3294594594593994,-76.84000000000015
