Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,6,0.22465753424657534,13.666666666666666,12.618328820498467,-0.0004856364521909578,0.0007862645746519328,-0.2386039886039886,0.12727982006651326,-0.6900000000005093
1998,6,0.3232876712328767,19.666666666666668,23.449709782615408,-0.0010833014243920118,0.0021218323704447466,-0.24799165362545642,0.2212924532213963,-1.7600000000002183
1999,11,0.4136986301369863,13.727272727272727,8.687408956654757,-0.0003466513126700603,0.0005090158185115197,-0.18464976247132173,0.10116721921484308,-0.6899999999986903
2000,6,0.30684931506849317,18.666666666666668,17.451520150277897,-0.0008970149371860746,0.001512316986616681,-0.26585197210197214,0.19655407081122472,-10.199999999998909
2001,9,0.5095890410958904,20.666666666666668,29.124254878403708,-0.0007847704710355931,0.0018622527228110445,-0.16376180101670298,0.1304321876698497,-1.2699999999986176
2002,8,0.4191780821917808,19.125,25.70718527960617,-0.0009406530453353563,0.0019396761699179757,-0.26546528406993525,0.17505592373187154,-1.2999999999992724
2003,4,0.26575342465753427,24.25,25.262373206015305,-0.0011765561621111481,0.0018433074749313555,-0.23232794361525705,0.20201454855547457,-1.0600000000013097
2004,3,0.25753424657534246,31.333333333333332,31.594654962860762,-0.001867196054991749,0.0024821941837081312,-0.29798941798941797,0.24218502745947199,-0.9200000000000728
2005,4,0.273972602739726,25.0,28.939592256975562,-0.0013443777711419896,0.0021345067655408148,-0.27008258258258255,0.20322919543805937,-1.0200000000004366
2006,4,0.2410958904109589,22.0,13.92838827718412,-0.0010934504420794496,0.0010732265495941643,-0.33639478710257276,0.22529757361024716,-0.9599999999991269
2007,3,0.1863013698630137,22.666666666666668,8.339997335464536,-0.0011588736254904742,0.0006435582013138787,-0.4364279398762157,0.11722424136563668,-1.569999999999709
2008,4,0.3041095890410959,27.75,22.038318901404434,-0.0017662224998599685,0.0022387095114466513,-0.3878630050505051,0.2504005644292459,-6.649999999999636
2009,4,0.3150684931506849,28.75,32.47595264191645,-0.0015967975887639907,0.00257090885823999,-0.24404761904761907,0.23025278592681508,-0.930000000000291
2010,5,0.3506849315068493,25.6,14.122322755127783,-0.001459410007288891,0.0015743978641668567,-0.37921703510763816,0.2813359663890822,-1.319999999999709
2011,6,0.3041095890410959,18.5,14.314910641239317,-0.0008223258821636127,0.0012520123689997995,-0.27334771217749937,0.19267166858977175,-0.9700000000011642
2012,3,0.27671232876712326,33.666666666666664,16.73983937265296,-0.0024686943421718733,0.0019253510500585472,-0.5222222222222223,0.3451009275643306,-1.6700000000000728
2013,6,0.3452054794520548,21.0,8.266397845091497,-0.000579764020484525,0.0003743257706313168,-0.22876344086021505,0.0731074257821436,-5.420000000000073
2014,10,0.35342465753424657,12.9,8.443340571124677,-0.00039240329432170914,0.0007687613297341356,-0.18192835692835693,0.1609638826566157,-0.8299999999999272
2015,10,0.41643835616438357,15.2,16.957594168985175,-0.0005716403661804142,0.0013779049331053863,-0.17155982905982908,0.15906274683068572,-1.2399999999997817
2016,5,0.27671232876712326,20.2,22.98173187555716,-0.0013222509777009442,0.002419761826278385,-0.2858974358974359,0.2852460864356745,-1.7399999999997817
2017,7,0.37534246575342467,19.571428571428573,23.445116109496134,-0.0008326737572562436,0.0017641992304291622,-0.1817042606516291,0.17291719571025777,-1.2100000000009459
2018,1,0.3150684931506849,115.0,0.0,-0.00851445216222272,0.0,-0.6666666666666666,0.0,-1.2399999999997817
2019,6,0.38904109589041097,23.666666666666668,32.92752985303061,-0.0015887581072608307,0.0026904235034355215,-0.4135416666666667,0.322804328826864,-1.75
2020,2,0.33424657534246577,61.0,51.0,-0.004425685386241255,0.004312831306566275,-0.4069069069069069,0.2957957957957958,-1.5399999999990541
2021,1,0.024657534246575342,9.0,0.0,-0.00011295606009262397,0.0,-0.125,0.0,-0.05999999999949068
