Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
7/5/99,7/6/99,2,9328.0,9327.0,-1.0
1/13/02,1/15/02,3,9307.0,9306.0,-1.0
3/5/02,3/7/02,3,9306.0,9305.0,-1.0
4/11/03,4/12/03,2,9287.0,9286.0,-1.0
6/27/04,6/29/04,3,9326.0,9325.0,-1.0
7/6/06,7/8/06,3,9324.0,9323.0,-1.0
5/4/08,5/7/08,4,9305.0,9304.0,-1.0
5/10/08,5/12/08,3,9305.0,9304.0,-1.0
5/14/08,5/17/08,4,9305.0,9304.0,-1.0
6/15/09,6/17/09,3,9329.0,9328.0,-1.0
9/25/10,9/26/10,2,9312.0,9311.0,-1.0
2/17/11,2/18/11,2,9313.0,9312.0,-1.0
3/1/11,3/2/11,2,9313.0,9312.0,-1.0
1/14/12,1/15/12,2,9308.0,9307.0,-1.0
9/8/12,9/11/12,4,9302.0,9301.0,-1.0
4/24/13,4/25/13,2,9303.0,9302.0,-1.0
1/23/15,1/24/15,2,9316.0,9315.0,-1.0
11/23/15,11/26/15,4,9311.0,9310.0,-1.0
3/29/18,3/30/18,2,9311.0,9310.0,-1.0
3/8/19,3/10/19,3,9304.0,9303.0,-1.0
