Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,11,0.6082191780821918,20.181818181818183,27.57409252382382,-0.00020287923493293698,0.00043952800648559885,-0.0699855699855254,0.043974450339577434,-0.3000000000010914
1998,13,0.6465753424657534,18.153846153846153,18.300257055135145,-0.00016179074726799207,0.0003657567313615985,-0.048020622674965874,0.039540177408043914,-0.25
1999,15,0.6273972602739726,15.266666666666667,14.153758825445943,-0.00011730921372016426,0.0002333486425674911,-0.058157083657077606,0.03829950485900565,-0.2900000000008731
2000,11,0.6465753424657534,21.454545454545453,33.44021432174586,-0.00023009057221539317,0.0006055384426272676,-0.04790018062743633,0.03779166760124037,-0.32999999999992724
2001,10,0.5342465753424658,19.5,20.5,-0.0001781775680329723,0.00030939356334176694,-0.04816049568881228,0.04200206006299339,-0.3000000000010914
2002,11,0.6328767123287671,21.0,30.760068565947932,-0.0002343769706662289,0.000632435554605938,-0.044553224553230956,0.04264321277295825,-0.3100000000013097
2003,8,0.3917808219178082,17.875,17.912547976209304,-0.0001422966321568975,0.00029527816771202775,-0.04088112408425676,0.03562528240293408,-0.22999999999956344
2004,3,0.3315068493150685,40.333333333333336,47.14752261666448,-0.000700593691593197,0.0009453069070094626,-0.09212938005393954,0.061996531084674525,-0.2900000000008731
2005,6,0.40273972602739727,24.5,32.8062494046485,-0.0003003193922276018,0.0005859122914659907,-0.05888767056520446,0.04539686746874369,-0.2600000000002183
2006,6,0.3863013698630137,23.5,28.09359357576029,-0.00027172437951337704,0.00047847440900076907,-0.06102007469653495,0.05301536226403466,-0.2899999999990541
2007,8,0.4821917808219178,22.0,26.36759374687042,-0.00022517234867865083,0.00044814363363993666,-0.050074666282534,0.042548563612570124,-0.31999999999970896
2008,5,0.4849315068493151,35.4,32.432082880999175,-0.0005578660689948293,0.0006721139046377016,-0.08390804597701916,0.07565512235270683,-0.47999999999956344
2009,10,0.5780821917808219,21.1,25.951685879726583,-0.00023160156719614808,0.0005458437494836393,-0.05240277777777499,0.046935734316879155,-0.3600000000005821
2010,7,0.5287671232876713,27.571428571428573,28.972189339123837,-0.0002942318087077405,0.0005285732740170883,-0.06520451770450629,0.038447653607470884,-0.27000000000043656
2011,12,0.6082191780821918,18.5,21.527114685128304,-0.000278895000168503,0.0005907308884364482,-0.07302434221553002,0.07717705151869074,-0.5
2012,10,0.5041095890410959,18.4,26.62404927880055,-0.0001868014371224643,0.0004746158229208217,-0.04507930214113535,0.039534067120959054,-0.25
2013,5,0.32602739726027397,23.8,29.64051281607658,-0.0002446515402989138,0.00041441502823287037,-0.06261246612475987,0.0376897708533279,-0.20999999999912689
2014,9,0.40273972602739727,16.333333333333332,13.613718571108093,-0.00018124209249902463,0.00023519488367212214,-0.09018630244128562,0.04667297972983546,-0.3500000000003638
2015,11,0.5342465753424658,17.727272727272727,23.882633131404425,-0.00021443905166714615,0.000524860613954501,-0.0666575453532128,0.07519944270134458,-0.5199999999986176
2016,13,0.6027397260273972,16.923076923076923,22.276104957352977,-0.00014686970893109462,0.0004158441262457164,-0.03599832067572374,0.03595980604232548,-0.27000000000043656
2017,10,0.4904109589041096,17.9,21.417049283222934,-0.0001865765176938934,0.00043211770093182266,-0.05148575498575375,0.04563335209510007,-0.3400000000001455
2018,9,0.536986301369863,21.77777777777778,29.91758226185836,-0.0002480282821060982,0.0005727546641280441,-0.05513227513226012,0.0409724736402929,-0.2600000000002183
2019,11,0.4712328767123288,15.636363636363637,13.877861554371915,-0.0002243443648161216,0.0003863889645796506,-0.09069922830792064,0.1166848883190161,-0.6000000000003638
2020,14,0.6273972602739726,16.357142857142858,16.956276304732974,-0.00013488337019689574,0.0003448624155904957,-0.040997176736310335,0.037382859442191746,-0.27999999999883585
2021,6,0.1917808219178082,11.666666666666666,1.247219128924647,-4.2981020657913796e-05,3.9339864928058825e-09,-0.03804713804718995,0.004689693022627312,-0.06999999999970896
