Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
3/29/00,4/2/00,5,2078.0,2077.8,-9.624639076025895e-05,-0.049999999999954525
4/3/00,4/12/00,10,2078.0,2077.6,-0.00019249278152073674,-0.04444444444445455
4/17/00,8/28/00,134,2077.6,2051.8,-0.01241817481709652,-0.19398496240601298
9/2/00,9/11/00,10,2053.0,2052.8,-9.741841207979449e-05,-0.02222222222220201
10/2/00,10/8/00,7,2053.0,2051.2,-0.0008767657087190365,-0.3000000000000303
10/10/00,10/19/00,10,2065.6,2064.0,-0.000774593338497245,-0.17777777777776768
11/1/00,11/10/00,10,2064.0,2063.8,-9.689922480611342e-05,-0.02222222222220201
5/10/01,7/30/01,82,2091.2,2078.0,-0.006312165263963188,-0.16296296296296073
7/31/01,8/17/01,18,2078.2,2076.2,-0.0009623712828409201,-0.11764705882352941
8/18/01,10/21/01,65,2076.4,2065.2,-0.0053939510691582895,-0.17500000000000426
12/10/01,12/17/01,8,2066.8,2066.6,-9.676795045494137e-05,-0.02857142857146755
12/29/01,1/7/02,10,2067.4,2066.4,-0.0004836993324949211,-0.1111111111111111
1/9/02,1/25/02,17,2066.6,2065.0,-0.000774218523178123,-0.09999999999999432
2/12/02,2/21/02,10,2065.6,2065.0,-0.0002904725019364393,-0.06666666666665656
3/10/02,3/19/02,10,2064.8,2064.6,-9.68616815189233e-05,-0.02222222222225254
3/26/02,3/31/02,6,2064.4,2063.8,-0.0002906413485758133,-0.11999999999998182
4/1/02,4/10/02,10,2064.0,2063.2,-0.00038759689922489434,-0.0888888888889091
4/11/02,4/22/02,12,2063.4,2062.4,-0.00048463700688184546,-0.09090909090909091
4/23/02,4/29/02,7,2062.6,2061.4,-0.000581789973819363,-0.19999999999996967
5/2/02,5/7/02,6,2061.6,2060.0,-0.0007760962359332117,-0.3199999999999818
5/9/02,5/13/02,5,2060.8,2059.2,-0.0007763975155281268,-0.40000000000009095
5/15/02,7/19/02,66,2059.6,2039.8,-0.009613517187803435,-0.3046153846153839
7/23/02,8/6/02,15,2040.2,2038.6,-0.0007842368395256036,-0.11428571428572402
8/9/02,9/9/02,32,2039.2,2033.2,-0.0029423303256178894,-0.1935483870967742
11/7/02,11/11/02,5,2038.2,2037.6,-0.0002943773918163754,-0.1500000000000341
5/25/03,6/17/03,24,2078.4,2076.4,-0.0009622786759045419,-0.08695652173913043
6/18/03,7/22/03,35,2076.6,2072.8,-0.0018299142829624037,-0.11176470588234491
7/25/03,8/3/03,10,2073.0,2072.6,-0.00019295706705262469,-0.04444444444445455
8/5/03,8/15/03,11,2072.6,2071.8,-0.00038598861333577494,-0.07999999999997272
8/16/03,8/30/03,15,2072.0,2071.2,-0.00038610038610047386,-0.05714285714287014
2/12/04,2/25/04,14,2078.0,2077.6,-0.00019249278152073674,-0.030769230769237765
5/12/04,5/16/04,5,2089.0,2088.8,-9.573958831968314e-05,-0.049999999999954525
5/17/04,6/1/04,16,2089.0,2087.6,-0.0006701771182384351,-0.0933333333333394
6/2/04,8/18/04,78,2087.4,2074.6,-0.006132030276899579,-0.1662337662337686
8/24/04,9/4/04,12,2074.6,2073.8,-0.00038561650438625626,-0.07272727272724792
9/8/04,9/19/04,12,2074.0,2073.2,-0.0003857280617165776,-0.07272727272728927
10/10/04,10/19/04,10,2074.4,2074.2,-9.641342074829967e-05,-0.02222222222225254
5/5/05,5/14/05,10,2148.0,2147.6,-0.00018621973929240732,-0.04444444444445455
6/3/05,8/8/05,67,2147.6,2141.2,-0.0029800707766809886,-0.09696969696969834
8/19/05,10/13/05,56,2141.2,2135.8,-0.0025219503082382013,-0.09818181818181157
10/16/05,10/25/05,10,2135.6,2135.4,-9.365049634754547e-05,-0.02222222222220201
10/30/05,11/8/05,10,2135.4,2135.2,-9.365926758465526e-05,-0.02222222222225254
11/14/05,11/23/05,10,2135.0,2134.8,-9.36768149882052e-05,-0.02222222222220201
11/27/05,12/6/05,10,2134.8,2134.6,-9.368559115620799e-05,-0.02222222222225254
12/15/05,12/24/05,10,2134.4,2134.2,-9.370314842591493e-05,-0.02222222222225254
1/6/06,1/15/06,10,2134.2,2134.0,-9.371192952854377e-05,-0.02222222222220201
1/16/06,1/25/06,10,2134.0,2133.8,-9.372071227732807e-05,-0.02222222222220201
2/5/06,2/13/06,9,2133.8,2133.6,-9.372949667273073e-05,-0.025000000000034106
2/17/06,2/26/06,10,2133.8,2133.6,-9.372949667273073e-05,-0.02222222222225254
3/13/06,7/29/06,139,2134.0,2113.0,-0.009840674789128397,-0.15217391304347827
