Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,7,0.5095890410958904,26.571428571428573,43.895516018502526,-0.002078941524782815,0.004232375056584459,-0.11580737558180344,0.10058303549109855,-1.6100000000001273
2001,5,0.5013698630136987,36.6,30.78701024783017,-0.002649790979782452,0.0026457764395316262,-0.11905851229381462,0.0515947992386324,-0.41000000000030923
2002,13,0.5506849315068493,15.461538461538462,16.175077622523936,-0.0013917825716430804,0.0024698690106938668,-0.16701048882191108,0.1078154264222017,-0.6799999999998363
2003,5,0.2602739726027397,19.0,9.402127418834526,-0.0007514478050711638,0.0005977442031264574,-0.07606170584175456,0.023522267920288817,-0.31999999999993634
2004,7,0.40273972602739727,21.0,23.488599058144903,-0.0011368853931185093,0.0020478691092547952,-0.07257329971615571,0.04471445027673292,-0.36000000000012733
2005,8,0.5013698630136987,22.875,22.469075971209854,-0.0007695770178392658,0.0011500879195203997,-0.04383838383839077,0.03184494625492476,-0.2600000000002183
2006,6,0.5095890410958904,31.0,48.3045891539648,-0.001734064696090939,0.0036255525480695353,-0.05016390614217318,0.04731134912867582,-0.3000000000001819
2007,9,0.6136986301369863,24.88888888888889,17.87266344911782,-0.0014088643001588384,0.0015826462761592095,-0.10405348143805207,0.041571263114281554,-0.3400000000001455
2008,10,0.4054794520547945,14.8,9.421252570651102,-0.0003633605833721315,0.0003015055359295681,-0.05144984059776918,0.019877830054929498,-0.15999999999985448
2009,11,0.6547945205479452,21.727272727272727,35.28092688199805,-0.0008971086274654848,0.0023054640089112586,-0.04668962350780228,0.030097538361400316,-0.2899999999999636
2010,11,0.5095890410958904,16.90909090909091,9.317183982050151,-0.0005753646251018147,0.0004139720134251401,-0.07767712754076304,0.04108645123308053,-0.2300000000000182
2011,1,0.5150684931506849,188.0,0.0,-0.012486023108460762,0.0,-0.14331550802139134,0.0,-0.4099999999998545
2012,11,0.7698630136986301,25.545454545454547,37.976939501285486,-0.0012894458690645273,0.0025256944720049024,-0.07239743129071495,0.03846683794212822,-0.34999999999990905
2013,9,0.37534246575342467,15.222222222222221,18.54590567440562,-0.0007595698267774586,0.001420365867368128,-0.07895141895142892,0.03888202963949751,-0.2899999999999636
2014,4,0.39452054794520547,36.0,38.19031290785662,-0.0019508220046722585,0.0025082651564099245,-0.08822882288228405,0.0401160964470192,-0.5899999999996908
2015,6,0.4191780821917808,25.5,16.28649747490233,-0.001080192368144811,0.0009919319615157057,-0.08215896020243917,0.02130640054002406,-0.3000000000001819
2016,3,0.5561643835616439,67.66666666666667,33.62869145371091,-0.0037758670129218797,0.0024926922434423226,-0.10200437626180596,0.033768359765592525,-0.27999999999974534
2017,3,0.4301369863013699,52.333333333333336,33.50953429829918,-0.0023557774245066515,0.0014243821919507156,-0.12965664472515218,0.05005042588826807,-0.3000000000001819
2018,3,0.536986301369863,65.33333333333333,62.96206971043934,-0.0038241324958665558,0.003940403436420903,-0.09564352056613486,0.04742751001534292,-0.33999999999969077
2019,6,0.3506849315068493,21.333333333333332,13.682917167849192,-0.0010179036857013892,0.0009947747487560055,-0.09553380772892461,0.04275507455438275,-0.29999999999972715
2020,8,0.4904109589041096,22.375,18.431884738137878,-0.0008157809885720377,0.0010446796417524322,-0.06341930918543863,0.028616941727707408,-0.20000000000027285
