Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,3,0.35342465753424657,43.0,50.24606120549815,-0.0018469390350619598,0.0072426417023734035,0.9734529662405933,1.6486891939784185,-23.25
2001,2,0.4410958904109589,80.5,70.5,-0.00610860154258132,0.00578932600779487,-0.11956666666665974,0.04623333333334257,-24.870000000000346
2002,8,0.4547945205479452,20.75,17.61923664634765,-0.0018388906604962932,0.002925083592798685,-0.1209499863163672,0.08650088041705868,-19.25
2003,1,0.07123287671232877,26.0,0.0,-0.0008388169788125349,0.0,-0.06959999999999127,0.0,-1.7399999999997817
2004,1,0.26575342465753427,97.0,0.0,-0.006845872130598046,0.0,-0.1489583333333305,0.0,-14.299999999999727
2005,1,0.09041095890410959,33.0,0.0,-0.0011336599020293147,0.0,-0.07593749999999488,0.0,-2.4299999999998363
2006,1,0.2821917808219178,103.0,0.0,-0.007912966752398142,0.0,-0.16529411764705562,0.0,-16.859999999999673
2007,4,0.3917808219178082,35.75,17.122718826167766,-0.002130664318404364,0.0018562935180991094,-0.1135975761272173,0.05436899326920332,-10.949999999999818
2009,1,0.3643835616438356,133.0,0.0,-0.007388715331933447,0.0,-0.1202272727272719,0.0,-15.86999999999989
2010,2,0.06027397260273973,11.0,1.0,-0.0004113636203475476,0.00022543990484797478,-0.08449494949494958,0.04005050505049504,-1.3699999999998909
2011,1,0.4958904109589041,181.0,0.0,-0.011711829320602163,0.0,-0.1395555555555575,0.0,-25.120000000000346
2012,2,0.4876712328767123,89.0,23.0,-0.005659664125354206,0.0020935168482265243,-0.131746361746362,0.0163617463617466,-16.440000000000055
2013,1,0.16164383561643836,59.0,0.0,-0.004141189417909111,0.0,-0.15051724137931066,0.0,-8.730000000000018
2014,1,0.2219178082191781,81.0,0.0,-0.005330769487056354,0.0,-0.1400000000000034,0.0,-11.200000000000273
2015,1,0.36164383561643837,132.0,0.0,-0.006077148400350078,0.0,-0.09755725190839848,0.0,-12.7800000000002
2016,2,0.20821917808219179,38.0,16.0,-0.002525766640073823,0.0016722542929147725,-0.12558849955076573,0.04082659478885143,-8.819999999999709
2017,2,0.20273972602739726,37.0,27.0,-0.0016076193858877632,0.0013188414844982552,-0.08309523809524372,0.015317460317451799,-6.199999999999818
2018,1,0.5232876712328767,191.0,0.0,-0.011258607226520887,0.0,-0.12521052631578927,0.0,-23.789999999999964
2019,1,0.1589041095890411,58.0,0.0,-0.00305004135649308,0.0,-0.11385964912281117,0.0,-6.4900000000002365
2020,1,0.2054794520547945,75.0,0.0,-0.002744316511171006,0.0,-0.07945945945946094,0.0,-5.880000000000109
