Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
1/5/97,2/15/97,42,2358.6,2344.2,-0.006105316713304542,-0.35121951219512415
2/28/97,3/8/97,9,2344.4,2343.6,-0.0003412386964682571,-0.10000000000002274
5/1/97,11/10/97,194,2352.4,2297.4,-0.02338037748682197,-0.2849740932642487
3/29/98,4/22/98,25,2356.8,2347.8,-0.0038187372708757637,-0.375
7/10/98,11/6/98,120,2370.2,2341.2,-0.01223525440891064,-0.24369747899159663
11/10/98,11/20/98,11,2341.4,2339.2,-0.0009396087810712705,-0.22000000000002728
11/24/98,11/29/98,6,2339.6,2338.4,-0.0005129081894340136,-0.23999999999996363
12/15/98,1/16/99,33,2340.8,2334.4,-0.002734107997265931,-0.20000000000000284
1/29/99,2/2/99,5,2336.8,2336.6,-8.558712769611127e-05,-0.05000000000006821
3/10/99,3/16/99,7,2343.2,2342.8,-0.00017070672584484304,-0.06666666666660603
6/21/99,10/28/99,130,2366.8,2334.8,-0.013520365049856346,-0.24806201550387597
10/31/99,11/9/99,10,2334.8,2334.4,-0.00017132088401580046,-0.04444444444445455
11/19/99,11/29/99,11,2335.6,2334.2,-0.0005994177085117704,-0.1400000000000091
11/30/99,12/19/99,20,2334.4,2332.2,-0.000942426319396964,-0.11578947368422489
12/22/99,1/3/00,13,2332.4,2332.0,-0.00017149717029672909,-0.03333333333334091
1/4/00,1/10/00,7,2332.0,2331.8,-8.576329331038512e-05,-0.03333333333330302
1/30/00,2/4/00,6,2339.4,2339.2,-8.549200649750913e-05,-0.04000000000005457
3/1/00,3/29/00,29,2351.2,2347.4,-0.0016161959850288054,-0.13571428571427596
5/10/00,5/16/00,7,2363.4,2362.8,-0.0002538715410002154,-0.09999999999998484
6/8/00,6/13/00,6,2366.2,2365.6,-0.0002535711267010012,-0.11999999999998182
6/17/00,10/20/00,126,2365.8,2324.4,-0.017499365965001304,-0.3312000000000007
10/22/00,10/27/00,6,2324.4,2324.2,-8.604371020490142e-05,-0.04000000000005457
11/18/00,11/26/00,9,2324.4,2322.8,-0.000688349681638233,-0.19999999999998863
11/27/00,12/6/00,10,2323.0,2322.4,-0.00025828669823500176,-0.06666666666665656
12/12/00,1/1/01,21,2322.4,2319.8,-0.0011195315191181144,-0.12999999999999545
1/2/01,1/9/01,8,2319.8,2319.4,-0.00017242865764293945,-0.05714285714287014
1/13/01,2/4/01,23,2319.8,2317.8,-0.0008621432882145012,-0.09090909090909091
2/6/01,2/16/01,11,2318.0,2317.2,-0.0003451251078516747,-0.0800000000000182
5/24/01,11/2/01,163,2343.4,2285.2,-0.024835708799180792,-0.35925925925926094
11/4/01,11/12/01,9,2285.2,2284.8,-0.00017503938386120963,-0.049999999999954525
4/30/02,5/23/02,24,2344.4,2339.4,-0.0021327418529261217,-0.21739130434782608
6/2/02,11/6/02,158,2340.0,2294.8,-0.01931623931623924,-0.28789808917197335
11/11/02,12/3/02,23,2295.4,2294.0,-0.000609915483140233,-0.06363636363636777
12/6/02,12/12/02,7,2293.8,2293.6,-8.719155985712478e-05,-0.03333333333337881
5/9/03,5/13/03,5,2357.6,2357.4,-8.483203257542336e-05,-0.049999999999954525
6/13/03,11/19/03,160,2367.6,2319.8,-0.020189221152221545,-0.30062893081760833
11/23/03,11/29/03,7,2319.8,2319.0,-0.0003448573152858789,-0.13333333333336364
3/3/04,3/14/04,12,2348.8,2346.8,-0.0008514986376021797,-0.18181818181818182
5/14/04,11/4/04,175,2358.8,2296.0,-0.026623706969645656,-0.3609195402298861
7/4/05,11/30/05,150,2351.0,2324.0,-0.011484474691620587,-0.18120805369127516
12/3/05,12/17/05,15,2324.4,2322.8,-0.000688349681638233,-0.11428571428570779
1/12/06,1/29/06,18,2348.4,2341.2,-0.0030659172202351695,-0.4235294117647219
2/8/06,2/26/06,19,2344.2,2340.6,-0.0015357051446121958,-0.19999999999999496
3/14/06,3/21/06,8,2345.0,2344.6,-0.00017057569296379145,-0.05714285714287014
5/24/06,11/5/06,166,2373.0,2323.4,-0.02090181205225449,-0.30060606060606004
11/6/06,11/15/06,10,2323.4,2322.8,-0.00025824223121283853,-0.06666666666665656
11/28/06,12/8/06,11,2323.0,2322.4,-0.00025828669823500176,-0.05999999999999091
12/19/06,12/25/06,7,2325.4,2325.2,-8.600670852338214e-05,-0.03333333333337881
4/29/07,10/18/07,173,2345.8,2297.4,-0.020632620001705213,-0.28139534883720985
10/21/07,12/2/07,43,2298.2,2291.0,-0.0031328866069096767,-0.1714285714285671
12/27/07,1/2/08,7,2292.6,2292.4,-8.72371979411228e-05,-0.03333333333330302
5/6/08,5/14/08,9,2317.4,2315.0,-0.0010356433934582251,-0.30000000000001137
5/20/08,5/30/08,11,2317.4,2316.4,-0.00043151808060757745,-0.1
6/2/08,10/31/08,152,2316.4,2258.8,-0.024866171645657013,-0.3814569536423835
11/4/08,11/27/08,24,2259.6,2254.6,-0.0022127810231899452,-0.21739130434782608
12/4/08,12/14/08,11,2254.6,2253.4,-0.000532245187616348,-0.11999999999998182
12/15/08,12/27/08,13,2253.4,2252.8,-0.0002662643117067139,-0.04999999999999242
1/8/09,1/15/09,8,2252.8,2252.4,-0.00017755681818185855,-0.05714285714287014
4/28/09,5/2/09,5,2282.8,2281.6,-0.0005256702295427864,-0.3000000000000682
5/25/09,6/3/09,10,2285.0,2284.8,-8.752735229751339e-05,-0.02222222222220201
6/15/09,10/12/09,120,2285.0,2243.6,-0.01811816192560179,-0.3478991596638663
10/22/09,10/31/09,10,2244.6,2244.2,-0.0001782054709079974,-0.04444444444445455
11/4/09,11/13/09,10,2244.0,2243.8,-8.912655971471395e-05,-0.02222222222220201
11/29/09,12/14/09,16,2243.6,2242.8,-0.00035656979853794225,-0.05333333333331514
5/1/10,5/12/10,12,2302.0,2300.0,-0.0008688097306689834,-0.18181818181818182
7/13/10,10/23/10,103,2324.6,2301.2,-0.01006624795663774,-0.22941176470588323
4/30/11,5/11/11,12,2361.8,2357.2,-0.0019476670336185805,-0.41818181818185124
7/9/11,12/18/11,163,2368.6,2336.4,-0.013594528413408689,-0.19876543209876432
12/19/11,12/29/11,11,2336.6,2336.2,-0.000171188906958868,-0.0400000000000091
1/9/12,1/18/12,10,2336.4,2336.0,-0.00017120356103410842,-0.04444444444445455
2/17/12,3/12/12,25,2339.0,2337.4,-0.0006840530141085545,-0.06666666666666288
5/5/12,5/12/12,8,2364.0,2363.4,-0.0002538071065989463,-0.08571428571427273
5/18/12,11/16/12,183,2364.0,2320.4,-0.018443316412859522,-0.23956043956043907
12/27/12,1/8/13,13,2335.2,2334.0,-0.0005138746145939612,-0.09999999999998484
4/28/13,11/4/13,191,2350.8,2278.2,-0.030883103624298264,-0.38210526315789667
11/5/13,11/14/13,10,2278.2,2277.8,-0.0001755772100779722,-0.04444444444440402
11/22/13,2/7/14,78,2277.8,2271.8,-0.0026341206427254365,-0.07792207792207792
4/4/14,4/13/14,10,2286.8,2286.6,-8.745845723293373e-05,-0.02222222222225254
4/17/14,10/24/14,191,2286.4,2195.4,-0.039800559832050386,-0.4789473684210526
10/28/14,11/10/14,14,2196.0,2194.8,-0.0005464480874316112,-0.09230769230767831
11/11/14,11/21/14,11,2194.6,2194.0,-0.0002733983413833542,-0.05999999999999091
4/19/15,12/9/15,235,2276.4,2179.2,-0.042698998418555734,-0.4153846153846166
12/29/15,1/4/16,7,2184.4,2184.0,-0.00018311664530309968,-0.06666666666668182
5/7/16,10/13/16,160,2302.8,2250.0,-0.022928608650338796,-0.33207547169811436
4/24/17,5/1/17,8,2364.8,2360.8,-0.0016914749661705005,-0.5714285714285714
5/10/17,5/23/17,14,2365.0,2360.6,-0.0018604651162791083,-0.3384615384615455
5/25/17,10/25/17,154,2360.8,2323.6,-0.01575737038292116,-0.24313725490196256
10/26/17,11/9/17,15,2323.6,2322.6,-0.000430366672404889,-0.07142857142857142
12/6/17,12/27/17,22,2324.2,2323.0,-0.0005163066861715076,-0.05714285714284848
2/23/18,2/28/18,6,2325.8,2325.6,-8.599191675994188e-05,-0.04000000000005457
4/19/18,4/28/18,10,2336.4,2336.2,-8.560178051715153e-05,-0.02222222222225254
4/29/18,11/22/18,208,2336.2,2298.6,-0.016094512456125296,-0.18164251207729426
12/4/18,12/10/18,7,2299.0,2298.8,-8.6994345367472e-05,-0.03333333333330302
6/4/19,6/17/19,14,2367.0,2364.8,-0.0009294465568229058,-0.16923076923075525
6/18/19,12/2/19,168,2364.8,2336.0,-0.01217861975642768,-0.17245508982036037
12/30/19,1/8/20,10,2338.2,2338.0,-8.553588230254816e-05,-0.02222222222220201
3/12/20,4/8/20,28,2343.0,2338.0,-0.002134016218523261,-0.18518518518518517
4/13/20,5/16/20,34,2338.6,2332.4,-0.0026511588129649443,-0.18787878787878237
5/20/20,11/18/20,183,2332.8,2284.0,-0.020919067215363588,-0.2681318681318691
11/19/20,1/5/21,47,2284.2,2280.6,-0.0015760441292355788,-0.07826086956521541
1/6/21,1/12/21,6,2280.8,2280.6,-8.768853034035112e-05,-0.04000000000005457
1/19/21,1/28/21,10,2281.2,2280.8,-0.00017534630896003691,-0.04444444444440402
4/25/21,4/30/21,6,2287.0,2286.2,-0.00034980323568000956,-0.1600000000000364
