Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,22,0.6547945205479452,10.863636363636363,5.002685229367548,-0.0001735073492351853,9.245893393455277e-05,-0.3499387979170249,0.2099580592470663,-3.6900000000005093
1998,25,0.7041095890410959,10.28,5.539097399396403,-0.00021003880826657814,0.00014554408436408676,-0.4551569474969835,0.41962341985571683,-6.850000000000364
1999,22,0.6109589041095891,10.136363636363637,2.581321975363761,-0.00018572214327602227,7.713464470188484e-05,-0.3421930014429638,0.15833286541298433,-3.1599999999998545
2000,23,0.6931506849315069,11.0,4.943155126909902,-0.0001675751772456579,0.00014818456418809738,-0.2640339575882901,0.18868230188599214,-7.5
2001,22,0.6027397260273972,10.0,4.221158824088691,-0.00021933181348410497,0.00022327620836273327,-0.3658207136430453,0.2504375522923632,-10.850000000000364
2002,19,0.5808219178082191,11.157894736842104,7.035722069663585,-0.0001641021564484141,0.00014488344181687315,-0.24729029961266286,0.11729505482817529,-6.0
2003,13,0.6027397260273972,16.923076923076923,12.58485988101783,-0.00025173081483812756,0.00023603967907636267,-0.24625932586205,0.16284579972961602,-9.290000000000873
2004,8,0.43561643835616437,19.875,16.66911440359085,-0.00028922094554959275,0.0003668727760560849,-0.15151643801469758,0.055616222465502414,-10.969999999999345
2005,7,0.42191780821917807,22.0,11.6373782025236,-0.00036275564814409285,0.00019210055314115685,-0.19117197646849257,0.04737000757115321,-5.889999999999418
2006,7,0.4301369863013699,22.428571428571427,13.32942119477643,-0.0002553551264230046,0.00019513714911859712,-0.23952598687566437,0.30437914173493236,-5.889999999999418
2007,9,0.43561643835616437,17.666666666666668,9.309493362512628,-0.00019338145388556315,0.00011603562678657896,-0.21299988155309546,0.16874137918946724,-3.8299999999999272
2008,7,0.536986301369863,28.0,25.37715508089904,-0.00046299061757229954,0.00038491468010155643,-0.5664769496858624,0.9089987562093942,-12.040000000000873
2009,5,0.3863013698630137,28.2,11.634431657799189,-0.0004363698818349148,0.00023593205811139377,-0.1594550324675285,0.05920677224649895,-7.040000000000873
2010,10,0.3917808219178082,14.3,7.029224708315989,-0.0001584058948102465,9.262104916190554e-05,-0.19927539760966717,0.12273989656173956,-3.0600000000013097
2011,6,0.4986301369863014,30.333333333333332,13.449494001221343,-0.0005204212083459514,0.0003132909827832892,-0.16693261962905584,0.03654094223789198,-9.579999999999927
2012,5,0.4246575342465753,31.0,19.60612149304395,-0.0004774561244512159,0.00038770309460246045,-0.15179687636767727,0.04502633080180609,-9.94000000000051
2013,4,0.6219178082191781,56.75,18.430613120566555,-0.0007155625914071268,0.0004259934914420621,-0.11872484756097731,0.050066069553866416,-13.05999999999949
2014,5,0.2410958904109589,17.6,13.720058308913996,-0.00023432155616431136,0.0001967728711602742,-0.19529047619037598,0.04124067516399459,-5.679999999998472
2015,5,0.38904109589041097,28.4,10.55651457631732,-0.00034725952918034916,0.00016749006019733167,-0.1390841071113817,0.029500393815923728,-5.539999999999054
2016,6,0.46301369863013697,28.166666666666668,17.667452812697388,-0.000358164520835047,0.0003374079780109808,-0.22086937911628537,0.22364744510068554,-9.010000000000218
2017,10,0.5808219178082191,21.2,20.355834544424848,-0.0002699308563454558,0.00030645547402992357,-0.15786754670771702,0.0766399747592444,-10.609999999998763
2018,3,0.29315068493150687,35.666666666666664,29.238483012784517,-0.0007200884285068859,0.0007319820964674748,-0.19106633906631834,0.02032932682155221,-16.139999999999418
2019,6,0.39452054794520547,24.0,22.55363976538303,-0.0004215369480497407,0.0004917641474522436,-0.1719260101009975,0.08046486370908357,-12.909999999999854
2020,6,0.536986301369863,32.666666666666664,25.084302306865588,-0.0006058506008082676,0.0005789398341176347,-0.21134552192956382,0.07179599373862015,-14.479999999999563
2021,1,0.04657534246575343,17.0,0.0,-0.0002899226800190798,0.0,-0.1899999999999896,0.0,-2.6599999999998545
