Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
7/28/02,9/13/02,48,1883.1,1879.65,-0.0018320853911103065,-0.07340425531914506,-3.449999999999818
6/29/03,8/19/03,53,1879.41,1872.01,-0.003937405888018096,-0.14230769230769405,-7.400000000000091
7/18/04,8/21/04,36,1870.72,1865.89,-0.002581893602463184,-0.13799999999999793,-4.829999999999927
6/27/09,7/13/09,18,1895.74,1894.7,-0.0005485984364944368,-0.06117647058823315,-1.0399999999999636
5/2/10,5/19/10,19,1894.22,1893.23,-0.0005226425652775333,-0.05500000000000051,-0.9900000000000091
7/26/10,9/14/10,52,1892.9,1888.82,-0.0021554228960854534,-0.08000000000000303,-4.080000000000155
8/24/13,9/12/13,21,1871.34,1870.1,-0.0006626267808094783,-0.06200000000000046,-1.240000000000009
6/3/18,6/30/18,29,1899.06,1894.86,-0.002211620485924639,-0.15000000000000163,-4.2000000000000455
7/4/18,7/29/18,27,1896.72,1893.37,-0.0017662069256401242,-0.1288461538461591,-3.3500000000001364
10/8/19,11/4/19,29,1898.87,1892.5,-0.003354626699036738,-0.2274999999999961,-6.369999999999891
