Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
3/22/97,3/31/97,10,1895,1894,-0.000527704,-0.111111111,-1,40
5/10/97,5/19/97,10,1895,1894,-0.000527704,-0.111111111,-1,31
6/19/97,6/28/97,10,1895,1894,-0.000527704,-0.111111111,-1,5
7/3/97,7/12/97,10,1894,1893,-0.000527983,-0.111111111,-1,6
7/18/97,7/31/97,14,1893,1891,-0.001056524,-0.153846154,-2,10
8/10/97,8/19/97,10,1891,1890,-0.000528821,-0.111111111,-1,9
8/28/97,9/6/97,10,1890,1889,-0.000529101,-0.111111111,-1,230
4/24/98,5/3/98,10,1895,1894,-0.000527704,-0.111111111,-1,32
6/4/98,6/10/98,7,1895,1894,-0.000527704,-0.166666667,-1,1
6/11/98,6/20/98,10,1895,1894,-0.000527704,-0.111111111,-1,7
6/27/98,7/6/98,10,1894,1893,-0.000527983,-0.111111111,-1,10
7/16/98,7/25/98,10,1893,1892,-0.000528262,-0.111111111,-1,3
7/28/98,8/6/98,10,1892,1891,-0.000528541,-0.111111111,-1,11
8/17/98,8/26/98,10,1891,1890,-0.000528821,-0.111111111,-1,7
9/2/98,9/11/98,10,1890,1889,-0.000529101,-0.111111111,-1,311
7/19/99,7/28/99,10,1895,1894,-0.000527704,-0.111111111,-1,14
8/11/99,8/20/99,10,1894,1893,-0.000527983,-0.111111111,-1,5
8/25/99,9/3/99,10,1893,1892,-0.000528262,-0.111111111,-1,279
6/8/00,6/17/00,10,1895,1894,-0.000527704,-0.111111111,-1,4
6/21/00,6/30/00,10,1894,1893,-0.000527983,-0.111111111,-1,5
7/5/00,7/14/00,10,1893,1892,-0.000528262,-0.111111111,-1,14
7/28/00,8/6/00,10,1891,1890,-0.000528821,-0.111111111,-1,1
8/7/00,8/16/00,10,1890,1889,-0.000529101,-0.111111111,-1,21
9/6/00,9/15/00,10,1888,1887,-0.000529661,-0.111111111,-1,291
7/3/01,7/12/01,10,1892,1891,-0.000528541,-0.111111111,-1,9
7/21/01,7/30/01,10,1890,1889,-0.000529101,-0.111111111,-1,9
8/8/01,8/17/01,10,1889,1888,-0.000529381,-0.111111111,-1,1
8/18/01,8/27/01,10,1888,1887,-0.000529661,-0.111111111,-1,2
8/29/01,9/7/01,10,1887,1886,-0.000529942,-0.111111111,-1,294
6/28/02,7/9/02,12,1888,1886,-0.001059322,-0.181818182,-2,2
7/11/02,7/22/02,12,1886,1884,-0.001060445,-0.181818182,-2,3
7/25/02,8/6/02,12,1884,1882,-0.001061571,-0.181818182,-2,3
8/9/02,8/22/02,14,1882,1880,-0.001062699,-0.153846154,-2,32
9/23/02,10/2/02,10,1880,1879,-0.000531915,-0.111111111,-1,266
6/25/03,7/4/03,10,1880,1879,-0.000531915,-0.111111111,-1,2
7/6/03,7/18/03,13,1879,1877,-0.001064396,-0.166666667,-2,1
7/19/03,7/29/03,11,1877,1875,-0.00106553,-0.2,-2,2
7/31/03,8/12/03,13,1875,1873,-0.001066667,-0.166666667,-2,1
8/13/03,8/22/03,10,1873,1872,-0.000533903,-0.111111111,-1,53
10/14/03,10/23/03,10,1872,1871,-0.000534188,-0.111111111,-1,221
5/31/04,6/4/04,5,1871,1870,-0.000534474,-0.25,-1,1
6/5/04,6/14/04,10,1871,1870,-0.000534474,-0.111111111,-1,7
6/21/04,6/30/04,10,1871,1870,-0.000534474,-0.111111111,-1,18
7/18/04,7/29/04,12,1871,1869,-0.001068947,-0.181818182,-2,3
8/1/04,8/12/04,12,1869,1867,-0.001070091,-0.181818182,-2,26
9/7/04,9/16/04,10,1866,1865,-0.000535906,-0.111111111,-1,217
4/21/05,4/27/05,7,1867,1866,-0.000535619,-0.166666667,-1,28
5/25/05,6/2/05,9,1867,1866,-0.000535619,-0.125,-1,30
7/2/05,7/11/05,10,1867,1866,-0.000535619,-0.111111111,-1,79
9/28/05,10/7/05,10,1866,1865,-0.000535906,-0.111111111,-1,284
7/18/06,7/27/06,10,1865,1864,-0.000536193,-0.111111111,-1,448
10/18/07,10/27/07,10,1871,1870,-0.000534474,-0.111111111,-1,601
6/19/09,6/28/09,10,1897,1896,-0.000527148,-0.111111111,-1,1
6/29/09,7/8/09,10,1896,1895,-0.000527426,-0.111111111,-1,21
7/29/09,8/7/09,10,1895,1894,-0.000527704,-0.111111111,-1,126
12/11/09,12/20/09,10,1894,1893,-0.000527983,-0.111111111,-1,131
4/30/10,5/10/10,11,1895,1893,-0.001055409,-0.2,-2,65
7/14/10,7/23/10,10,1893,1892,-0.000528262,-0.111111111,-1,3
7/26/10,8/6/10,12,1893,1891,-0.001056524,-0.181818182,-2,7
8/13/10,8/22/10,10,1891,1890,-0.000528821,-0.111111111,-1,1
8/23/10,9/1/10,10,1890,1889,-0.000529101,-0.111111111,-1,47
10/18/10,10/23/10,6,1889,1888,-0.000529381,-0.2,-1,4
10/27/10,11/5/10,10,1889,1888,-0.000529381,-0.111111111,-1,219
6/12/11,6/21/11,10,1892,1891,-0.000528541,-0.111111111,-1,9
6/30/11,7/9/11,10,1891,1890,-0.000528821,-0.111111111,-1,5
7/14/11,7/23/11,10,1890,1889,-0.000529101,-0.111111111,-1,2
7/25/11,8/3/11,10,1889,1888,-0.000529381,-0.111111111,-1,17
8/20/11,8/29/11,10,1888,1887,-0.000529661,-0.111111111,-1,4
9/2/11,9/14/11,10,1887,1886,-0.000529942,-0.111111111,-1,271
6/11/12,6/20/12,10,1889,1888,-0.000529381,-0.111111111,-1,7
6/27/12,7/10/12,14,1887,1885,-0.001059883,-0.153846154,-2,3
7/13/12,7/26/12,14,1885,1883,-0.001061008,-0.153846154,-2,6
8/1/12,8/10/12,10,1883,1882,-0.000531067,-0.111111111,-1,2
8/12/12,8/21/12,10,1882,1881,-0.00053135,-0.111111111,-1,7
8/28/12,9/6/12,10,1881,1880,-0.000531632,-0.111111111,-1,84
11/29/12,12/8/12,10,1880,1879,-0.000531915,-0.111111111,-1,12
12/20/12,12/29/12,10,1880,1879,-0.000531915,-0.111111111,-1,24
1/22/13,1/27/13,6,1880,1879,-0.000531915,-0.2,-1,14
2/10/13,2/19/13,10,1880,1879,-0.000531915,-0.111111111,-1,121
6/20/13,7/3/13,14,1880,1878,-0.00106383,-0.153846154,-2,1
7/4/13,7/15/13,12,1878,1876,-0.001064963,-0.181818182,-2,2
7/17/13,7/28/13,12,1876,1874,-0.001066098,-0.181818182,-2,9
8/6/13,8/15/13,10,1874,1873,-0.000533618,-0.111111111,-1,7
8/22/13,9/2/13,12,1872,1870,-0.001068376,-0.181818182,-2,147
1/27/14,1/31/14,5,1870,1869,-0.000534759,-0.25,-1,28
2/28/14,3/8/14,9,1870,1869,-0.000534759,-0.125,-1,5
3/13/14,3/22/14,10,1870,1869,-0.000534759,-0.111111111,-1,540
9/13/15,9/22/15,10,1871,1870,-0.000534474,-0.111111111,-1,330
8/17/16,8/26/16,10,1877,1876,-0.000532765,-0.111111111,-1,279
6/1/17,6/6/17,6,1895,1894,-0.000527704,-0.2,-1,7
6/13/17,6/22/17,10,1895,1894,-0.000527704,-0.111111111,-1,20
7/12/17,7/21/17,10,1894,1893,-0.000527983,-0.111111111,-1,4
7/25/17,8/3/17,10,1893,1892,-0.000528262,-0.111111111,-1,6
8/9/17,8/18/17,10,1892,1891,-0.000528541,-0.111111111,-1,8
8/26/17,9/4/17,10,1891,1890,-0.000528821,-0.111111111,-1,274
6/5/18,6/20/18,16,1899,1895,-0.002106372,-0.266666667,-4,14
7/4/18,7/17/18,14,1897,1894,-0.001581444,-0.230769231,-3,5
7/22/18,7/31/18,10,1894,1893,-0.000527983,-0.111111111,-1,16
8/16/18,8/25/18,10,1893,1892,-0.000528262,-0.111111111,-1,55
10/19/18,10/28/18,10,1894,1893,-0.000527983,-0.111111111,-1,102
2/7/19,2/16/19,10,1893,1892,-0.000528262,-0.111111111,-1,130
6/26/19,7/5/19,10,1897,1896,-0.000527148,-0.111111111,-1,6
7/11/19,7/20/19,10,1896,1895,-0.000527426,-0.111111111,-1,2
7/22/19,7/31/19,10,1895,1894,-0.000527704,-0.111111111,-1,2
8/2/19,8/11/19,10,1894,1893,-0.000527983,-0.111111111,-1,35
9/15/19,9/24/19,10,1900,1899,-0.000526316,-0.111111111,-1,15
10/9/19,10/29/19,21,1899,1893,-0.003159558,-0.3,-6,2
10/31/19,11/8/19,9,1893,1892,-0.000528262,-0.125,-1,2
11/10/19,11/14/19,5,1893,1892,-0.000528262,-0.25,-1,70
1/23/20,2/1/20,10,1893,1892,-0.000528262,-0.111111111,-1,98
5/9/20,5/11/20,5,1893,1892,-0.000528262,-0.25,-1,50
6/30/20,7/5/20,10,1893,1892,-0.000528262,-0.111111111,-1,35
8/9/20,8/14/20,10,1892,1891,-0.000528541,-0.111111111,-1,8
8/22/20,8/27/20,10,1891,1890,-0.000528821,-0.111111111,-1,
