Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,5,0.26575342465753427,19.4,12.705904139414873,-0.0005703803928106901,0.0006071763769221841,-0.04505420054199845,0.021484636110386965,-0.16000000000008185
1998,8,0.36164383561643837,16.5,8.06225774829855,-0.0004094522475540691,0.00037140050411139214,-0.039980158730153245,0.019802153409989847,-0.17000000000007276
1999,5,0.19726027397260273,14.4,3.4409301068170506,-0.00033793826034498816,0.0002047334642941673,-0.043835930151721776,0.01782305822754417,-0.11000000000012733
2000,6,0.3561643835616438,21.666666666666668,23.893281249943232,-0.0006866114290555767,0.0012048786970455653,-0.03732039732039603,0.022917486233131674,-0.12999999999988177
2001,4,0.23835616438356164,21.75,11.797775213996918,-0.000846326460157138,0.0007403048736348854,-0.057363483027622175,0.035270700466943104,-0.15000000000009095
2002,6,0.3041095890410959,18.5,20.81465829649865,-0.0008123839606427635,0.0015788323065148587,-0.0419890873015879,0.03862565954816441,-0.2300000000000182
2003,11,0.3452054794520548,11.454545454545455,6.527753844005907,-0.0004746463071302229,0.0006934626536392862,-0.06572261072261415,0.0641581485363385,-0.4900000000000091
2004,13,0.3835616438356164,10.76923076923077,6.588496340111956,-0.00032085066103932985,0.000679988729843765,-0.04135799684186746,0.036040337077850954,-0.2999999999999545
2005,13,0.32054794520547947,9.0,1.8810798862519205,-0.00012366525003455322,3.8639071823177363e-05,-0.03144799644799146,0.01611222079677641,-0.11999999999989086
2006,10,0.2684931506849315,9.8,0.4,-0.00010725701891992347,3.221353662160312e-08,-0.022777777777780433,0.0011111111111126273,-0.06999999999993634
2007,8,0.2136986301369863,9.75,1.299038105676658,-0.00012026083849160422,3.534185154764329e-05,-0.025726010101012792,0.005396065666635239,-0.09000000000014552
2008,2,0.030136986301369864,5.5,0.5,-0.00010649165315465161,3.3454062808819596e-07,-0.04500000000001023,0.0050000000000011355,-0.849999999999909
2009,10,0.32054794520547947,11.7,4.196427051671457,-0.0002743808529848396,0.00028760012682838644,-0.04240372046254724,0.02564289531230958,-0.39000000000010004
2010,10,0.38082191780821917,13.9,8.91571646027396,-0.0004331874579706494,0.0005813895965482469,-0.04763585434173375,0.029891888334610144,-1.0600000000001728
2011,6,0.25753424657534246,15.666666666666666,12.391753530294071,-0.0004938107781163093,0.0006276540829030923,-0.04745403581486953,0.026646473072384644,-0.14999999999986358
2012,10,0.46301369863013697,16.9,20.7,-0.0005509511854885554,0.0012990029160402574,-0.03299145299145058,0.025766643858190226,-0.17000000000007276
2013,8,0.38904109589041097,17.75,22.055328154439234,-0.0007185110648606427,0.0016186529047501688,-0.03733333333332919,0.0337660798457278,-0.21000000000003638
2014,11,0.28493150684931506,9.454545454545455,2.2305171175245992,-0.00011666646714516084,3.074192160970022e-05,-0.027393162393158567,0.008915241702252294,-0.049999999999954525
2015,10,0.26575342465753427,9.7,2.1,-0.00011760133188704897,3.2055092378940425e-05,-0.026489621489627514,0.008383685046358587,-0.05999999999994543
2016,6,0.15342465753424658,9.333333333333334,1.1055415967851334,-0.00010674857487283601,1.8046398408012451e-07,-0.024537037037038408,0.00406248351268486,-0.049999999999954525
2017,5,0.2684931506849315,19.6,11.001818031580054,-0.0005281283895979624,0.00043794497059703716,-0.0477353300294457,0.015256266317566661,-0.10999999999989996
2018,8,0.39452054794520547,18.0,9.041570660012562,-0.0008303915595957432,0.0008678081836871398,-0.07007375759498329,0.057162901707996136,-0.39000000000010004
2019,10,0.4136986301369863,15.1,13.967462188959022,-0.0006429235312336832,0.0010549980935702378,-0.06121697826373597,0.07123752632580205,-0.38999999999987267
2020,21,0.6027397260273972,10.476190476190476,2.3015325663989663,-0.00015101234956919297,6.977809904279978e-05,-0.030050690050690203,0.010138964194434375,-0.13000000000010914
2021,2,0.0547945205479452,10.0,0.0,-0.00010563566289441194,5.579446622002316e-09,-0.022222222222227275,0.0,-0.03000000000020009
