Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
7/28/02,9/13/02,48,1883.1,1879.62,-0.0018480165684244163,-0.07733333333333374,-3.480000000000018
6/29/03,8/19/03,53,1879.41,1871.74,-0.00408106799474307,-0.15340000000000145,-7.670000000000073
7/18/04,8/21/04,36,1870.72,1865.89,-0.002581893602463184,-0.15580645161290088,-4.829999999999927
6/27/09,7/13/09,18,1895.74,1894.65,-0.000574973361325877,-0.06812499999999488,-1.0899999999999181
5/2/10,5/19/10,19,1894.22,1893.15,-0.0005648763079261841,-0.07133333333332909,-1.0699999999999363
7/26/10,9/14/10,52,1892.9,1888.7,-0.0022188176871467302,-0.08571428571428664,-4.2000000000000455
8/24/13,9/12/13,21,1871.34,1870.04,-0.0006946893669776495,-0.07222222222221969,-1.2999999999999545
6/3/18,6/30/18,29,1899.06,1894.37,-0.0024696428759491827,-0.17370370370370572,-4.690000000000055
7/4/18,7/29/18,27,1896.72,1893.17,-0.0018716521152304791,-0.14791666666666478,-3.5499999999999545
10/8/19,11/4/19,29,1898.87,1892.46,-0.0033756918588422878,-0.2670833333333273,-6.4099999999998545
