Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
1/21/97,1/24/97,4,1199.2,1197.4,-1.7999999999999545
2/16/97,2/19/97,4,1195.4,1194.8,-0.6000000000001364
2/23/97,2/26/97,4,1195.2,1194.8,-0.40000000000009095
3/28/97,3/31/97,4,1198.6,1198.0,-0.599999999999909
4/22/97,4/24/97,3,1207.4,1207.2,-0.20000000000004547
4/30/97,5/3/97,4,1209.2,1208.8,-0.40000000000009095
5/21/97,5/23/97,3,1209.2,1208.8,-0.40000000000009095
5/28/97,5/30/97,3,1209.4,1209.0,-0.40000000000009095
6/3/97,6/4/97,2,1209.6,1208.8,-0.7999999999999545
6/30/97,7/2/97,3,1209.0,1208.8,-0.20000000000004547
7/3/97,7/6/97,4,1209.2,1208.6,-0.6000000000001364
7/22/97,7/25/97,4,1209.0,1208.8,-0.20000000000004547
8/4/97,8/5/97,2,1208.8,1208.6,-0.20000000000004547
8/18/97,8/19/97,2,1209.2,1209.0,-0.20000000000004547
8/29/97,9/1/97,4,1209.2,1208.8,-0.40000000000009095
9/12/97,9/14/97,3,1209.2,1208.8,-0.40000000000009095
9/17/97,9/20/97,4,1209.0,1208.8,-0.20000000000004547
9/28/97,9/29/97,2,1209.2,1209.0,-0.20000000000004547
10/5/97,10/7/97,3,1209.2,1209.0,-0.20000000000004547
11/13/97,11/14/97,2,1198.8,1198.6,-0.20000000000004547
11/26/97,11/28/97,3,1198.6,1198.0,-0.599999999999909
12/25/97,12/26/97,2,1198.4,1198.2,-0.20000000000004547
12/30/97,1/1/98,3,1198.4,1198.2,-0.20000000000004547
1/14/98,1/16/98,3,1199.6,1199.0,-0.599999999999909
1/26/98,1/28/98,3,1199.0,1198.2,-0.7999999999999545
1/29/98,1/30/98,2,1198.6,1198.4,-0.1999999999998181
3/7/98,3/10/98,4,1199.4,1198.4,-1.0
3/13/98,3/16/98,4,1200.2,1199.2,-1.0
3/17/98,3/20/98,4,1199.4,1198.4,-1.0
3/31/98,4/1/98,2,1198.8,1198.2,-0.599999999999909
4/4/98,4/7/98,4,1201.4,1201.2,-0.20000000000004547
4/24/98,4/25/98,2,1207.2,1206.8,-0.40000000000009095
5/12/98,5/13/98,2,1208.8,1208.6,-0.20000000000004547
5/15/98,5/17/98,3,1209.0,1208.8,-0.20000000000004547
5/19/98,5/20/98,2,1209.2,1209.0,-0.20000000000004547
5/21/98,5/22/98,2,1209.2,1209.0,-0.20000000000004547
5/24/98,5/26/98,3,1209.4,1208.8,-0.6000000000001364
5/29/98,6/1/98,4,1210.4,1208.4,-2.0
6/5/98,6/6/98,2,1209.2,1208.8,-0.40000000000009095
6/23/98,6/26/98,4,1209.4,1208.8,-0.6000000000001364
6/30/98,7/2/98,3,1209.4,1209.2,-0.20000000000004547
7/3/98,7/6/98,4,1209.4,1209.0,-0.40000000000009095
7/18/98,7/20/98,3,1209.2,1208.8,-0.40000000000009095
8/4/98,8/5/98,2,1209.2,1209.0,-0.20000000000004547
8/17/98,8/19/98,3,1209.2,1209.0,-0.20000000000004547
8/22/98,8/25/98,4,1209.2,1208.6,-0.6000000000001364
9/2/98,9/5/98,4,1209.0,1208.8,-0.20000000000004547
9/7/98,9/9/98,3,1209.0,1208.8,-0.20000000000004547
10/6/98,10/7/98,2,1209.2,1208.6,-0.6000000000001364
11/23/98,11/26/98,4,1199.6,1198.6,-1.0
11/27/98,11/28/98,2,1198.8,1198.4,-0.3999999999998636
11/30/98,12/1/98,2,1199.0,1198.4,-0.599999999999909
12/16/98,12/19/98,4,1199.0,1198.6,-0.40000000000009095
12/23/98,12/24/98,2,1198.8,1198.4,-0.3999999999998636
12/27/98,12/29/98,3,1198.6,1198.2,-0.3999999999998636
12/31/98,1/2/99,3,1198.8,1198.2,-0.599999999999909
1/4/99,1/6/99,3,1198.6,1198.2,-0.3999999999998636
1/17/99,1/18/99,2,1198.6,1198.4,-0.1999999999998181
1/20/99,1/21/99,2,1198.8,1198.2,-0.599999999999909
1/23/99,1/24/99,2,1198.6,1198.4,-0.1999999999998181
2/2/99,2/4/99,3,1198.4,1198.2,-0.20000000000004547
2/17/99,2/18/99,2,1198.8,1198.4,-0.3999999999998636
