Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,18,0.42191780821917807,8.555555555555555,4.716663394842472,-0.0017485054098096875,0.0028220814159363966,-0.2266506966068341,0.22005654156081103,-1.5399999999999636
1998,17,0.41643835616438357,8.941176470588236,7.572944009357136,-0.0020841353342871977,0.0029655262809373385,-0.26296622826034616,0.2857812489529718,-1.7200000000000273
1999,16,0.35342465753424657,8.0625,5.53927736713012,-0.0011191146636263924,0.0021840786871755447,-0.14236411736411786,0.1431473898477214,-0.9300000000000637
2000,20,0.5013698630136987,9.15,12.08418387811109,-0.0014676503515191374,0.003603021342710406,-0.17828787878787639,0.26318822447227086,-1.5199999999999818
2001,15,0.4246575342465753,10.333333333333334,5.5095876030385025,-0.0020693671879925364,0.0021982541803736624,-0.2434804639804648,0.24023596101874486,-1.6900000000000546
2002,23,0.536986301369863,8.521739130434783,5.5940151654314905,-0.0011031438564560283,0.0020801778963836916,-0.14365228370663247,0.21407579303834667,-1.5200000000002092
2003,18,0.36712328767123287,7.444444444444445,3.730091184798782,-0.0009757476233893791,0.0016146377166739092,-0.13719369229173398,0.13058320846648058,-1.3599999999999
2004,21,0.5452054794520548,9.476190476190476,6.932456773475026,-0.0011132367699215073,0.0019404564799258654,-0.14459372637944334,0.2777239349352446,-1.8999999999998636
2005,13,0.27945205479452057,7.846153846153846,7.583850796225376,-0.001454515768107139,0.0021865637088040162,-0.23347319347319084,0.20819627584507477,-1.150000000000091
2006,18,0.38082191780821917,7.722222222222222,4.735276074968898,-0.001260452555235684,0.0018343917603495968,-0.20492857142858495,0.2496466256625832,-1.6599999999998545
2007,21,0.5452054794520548,9.476190476190476,7.725154013684608,-0.0007577855518535314,0.0017468221048860485,-0.0760216679264359,0.05522283507916968,-1.0799999999999272
2008,20,0.4602739726027397,8.4,5.122499389946279,-0.000829738372793048,0.0016187491237070147,-0.0963303270803255,0.07610265862522782,-0.9200000000000728
2009,18,0.4821917808219178,9.777777777777779,10.824640386921537,-0.0013164494774557283,0.00215609741671127,-0.15905313821981232,0.14278259982580152,-1.2200000000000273
2010,18,0.44931506849315067,9.11111111111111,4.724509250104289,-0.0017851094650228937,0.0025445409330319326,-0.19962386379053035,0.2032129092222228,-1.0399999999999636
2011,18,0.4465753424657534,9.055555555555555,2.8180415228827553,-0.00102365108193584,0.0011975898578635406,-0.13246913580246225,0.12613357365381841,-0.8699999999998909
2012,21,0.5013698630136987,8.714285714285714,7.420325093268886,-0.0009633816884810489,0.0018789290986136083,-0.11980289551718906,0.09322646575203154,-1.2300000000000182
2013,17,0.4712328767123288,10.117647058823529,9.080569773138924,-0.0009160895975344049,0.002095384816105918,-0.08419087448498896,0.054476646192243496,-0.5900000000001455
2014,21,0.5150684931506849,8.952380952380953,4.999773237488261,-0.0011702571562052493,0.0012851823148485998,-0.1829449598021009,0.19038136166267736,-1.1799999999998363
2015,22,0.5534246575342465,9.181818181818182,5.227865579029046,-0.0011002161892613655,0.0020692542069390917,-0.1160556867375131,0.10364703745128834,-1.0100000000002183
2016,14,0.4,10.428571428571429,5.564097741185843,-0.0018357306676261664,0.0018040860886090206,-0.24753390750239257,0.19698756009806256,-0.9400000000000546
2017,17,0.43561643835616437,9.352941176470589,7.251297461757637,-0.0019276176216006288,0.0031748026798231743,-0.20851540616246383,0.24997248787407536,-1.9299999999998363
2018,19,0.4301369863013699,8.263157894736842,4.422931931400945,-0.0009082747356954291,0.0012113343149465774,-0.12388319283056322,0.07678337128661432,-0.650000000000091
2019,19,0.4767123287671233,9.157894736842104,6.761058449484128,-0.0019366094023054372,0.00234486164035696,-0.2595906432748578,0.2724460954041744,-1.509999999999991
2020,21,0.4876712328767123,8.476190476190476,4.737078139217482,-0.0008207534613231913,0.0015790431799364809,-0.10586041824137601,0.07663477325320699,-0.7300000000000182
2021,6,0.10136986301369863,6.166666666666667,1.7716909687891083,-0.0004448336839655254,0.00018434909779601596,-0.11240740740739276,0.05010448616249673,-0.38000000000010914
